Date,BIL,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,SPXL,SPXS,,,,,,,,4
5/30/2007,91.5,151.339996,39.830002,#N/A,66.82,30.479284,38.360001,25.07,27.559999,#N/A,40.950001,36.360001,39.380001,#N/A,#N/A,,,,,,,,
5/31/2007,91.580002,153.119995,40.77,#N/A,68.040001,30.706743,39.009998,25.559999,27.73,#N/A,41.599998,36.619999,39.939999,#N/A,#N/A,,,,,,,,
6/1/2007,91.620003,153.509995,41,#N/A,68.610001,30.77173,39.09,25.59,27.790001,#N/A,41.470001,36.639999,40.169998,#N/A,#N/A,,,,,,,,
6/4/2007,91.639999,153.479996,41.029999,#N/A,68.639999,30.74736,39.029999,25.559999,27.879999,#N/A,41.110001,36.599998,40.130001,#N/A,#N/A,,,,,,,,
6/5/2007,91.639999,152.860001,40.860001,#N/A,69.209999,30.576767,39.009998,25.49,27.77,#N/A,40.700001,36.43,39.959999,#N/A,#N/A,,,,,,,,
6/6/2007,91.639999,151.75,40.41,#N/A,68.5,30.32494,38.630001,25.35,27.610001,#N/A,40.119999,36.200001,39.66,#N/A,#N/A,,,,,,,,
6/7/2007,91.639999,149.059998,39.459999,#N/A,67.410004,29.805037,38.060001,24.93,27.299999,#N/A,38.950001,35.650002,38.919998,#N/A,#N/A,,,,,,,,
6/8/2007,91.620003,149.089996,39.299999,#N/A,66.790001,29.829407,38.07,24.950001,27.280001,#N/A,38.849998,35.389999,38.880001,#N/A,#N/A,,,,,,,,
6/11/2007,91.68,150.699997,39.669998,#N/A,67.75,30.064987,38.549999,25.27,27.459999,#N/A,39.209999,35.77,39.16,#N/A,#N/A,,,,,,,,
6/12/2007,91.639999,149.550003,39.549999,#N/A,67.599998,29.894394,38.200001,25.07,27.280001,#N/A,39.150002,35.57,38.869999,#N/A,#N/A,,,,,,,,
6/13/2007,91.639999,149.720001,39.759998,#N/A,67.800003,30.064987,38.439999,25.1,27.35,#N/A,39.450001,35.529999,38.98,#N/A,#N/A,,,,,,,,
6/14/2007,91.760002,152.029999,40.490002,#N/A,69.110001,30.422421,39.110001,25.389999,27.48,#N/A,39.93,35.509998,39.369999,#N/A,#N/A,,,,,,,,
6/15/2007,91.739998,152.929993,40.830002,#N/A,70.419998,30.39805,39.419998,25.73,27.450001,#N/A,40.25,35.950001,39.759998,#N/A,#N/A,,,,,,,,
6/18/2007,91.800003,152.660004,40.970001,#N/A,70.889999,30.341187,39.279999,25.719999,27.35,#N/A,40,35.799999,39.639999,#N/A,#N/A,,,,,,,,
6/19/2007,91.860001,152.360001,40.810001,#N/A,70.620003,30.259951,39.169998,25.690001,27.15,#N/A,39.84,35.830002,39.459999,#N/A,#N/A,,,,,,,,
6/20/2007,91.839996,150.960007,40.650002,#N/A,68.800003,29.894394,39.299999,25.549999,27,#N/A,39.07,35.360001,39.630001,#N/A,#N/A,,,,,,,,
6/21/2007,91.860001,150.25,40.25,#N/A,69.269997,29.65069,39.040001,25.48,27,#N/A,38.950001,35.16,39.25,#N/A,#N/A,,,,,,,,
6/22/2007,91.900002,149.850006,40.68,#N/A,69,29.48822,38.990002,25.43,26.93,#N/A,38.68,34.880001,39.240002,#N/A,#N/A,,,,,,,,
6/25/2007,91.900002,149.020004,40.25,#N/A,68.849998,29.236393,38.82,25.309999,26.860001,#N/A,38.700001,34.790001,39.080002,#N/A,#N/A,,,,,,,,
6/26/2007,91.900002,148.279999,39.700001,#N/A,67.610001,29.163282,38.709999,25.280001,26.84,#N/A,38.689999,35.009998,38.959999,#N/A,#N/A,,,,,,,,
6/27/2007,91.919998,148.059998,39.25,#N/A,66.949997,29.082047,38.419998,25.219999,26.709999,#N/A,38.400002,34.93,38.790001,#N/A,#N/A,,,,,,,,
6/28/2007,91.959999,149.669998,40.110001,#N/A,68.510002,29.374493,38.849998,25.610001,27,#N/A,39.25,35.310001,39.279999,#N/A,#N/A,,,,,,,,
6/29/2007,91.940002,149.149994,40.189999,#N/A,68.629997,29.082047,38.799999,25.43,26.91,#N/A,39.049999,34.959999,39.099998,#N/A,#N/A,,,,,,,,
7/2/2007,91.599998,150.770004,40.59,#N/A,69.110001,29.398863,38.889999,25.68,27.129999,#N/A,39.610001,34.799999,39.009998,#N/A,#N/A,,,,,,,,
7/3/2007,91.559998,151.990005,41.07,#N/A,70.129997,29.748173,39.5,25.889999,27.200001,#N/A,39.939999,35.540001,39.450001,#N/A,#N/A,,,,,,,,
7/5/2007,91.540001,151.630005,41.02,#N/A,69.860001,29.585703,39.41,25.969999,26.41,#N/A,39.540001,35.380001,39.400002,#N/A,#N/A,,,,,,,,
7/6/2007,91.639999,151.929993,41.110001,#N/A,70.849998,29.528839,39.5,26.07,27.15,#N/A,39.470001,35.43,39.02,#N/A,#N/A,,,,,,,,
7/9/2007,91.599998,152.619995,41.380001,#N/A,71.300003,29.618196,39.810001,26.120001,27.280001,#N/A,39.900002,35.439999,39.93,#N/A,#N/A,,,,,,,,
7/10/2007,91.660004,150.770004,40.779999,#N/A,71.400002,28.919577,39.34,25.950001,27.01,#N/A,39.369999,35.150002,39.18,#N/A,#N/A,,,,,,,,
7/11/2007,91.620003,150.520004,41,#N/A,71.07,28.870836,39.389999,25.879999,26.92,#N/A,39.369999,35.18,37.529999,#N/A,#N/A,,,,,,,,
7/12/2007,91.68,152.339996,41.75,#N/A,72.400002,29.260763,39.93,26.190001,27.24,#N/A,39.73,35.389999,39.540001,#N/A,#N/A,,,,,,,,
7/13/2007,91.699997,154.389999,42.5,#N/A,73.019997,29.634443,40.5,26.540001,27.42,#N/A,40.18,35.82,39.84,#N/A,#N/A,,,,,,,,
7/16/2007,91.720001,154.580002,42.48,#N/A,72.18,29.658813,40.700001,26.549999,27.549999,#N/A,40.150002,35.880001,39.799999,#N/A,#N/A,,,,,,,,
7/17/2007,91.720001,154.679993,42.810001,#N/A,72.029999,29.691307,40.990002,26.700001,27.450001,#N/A,40.110001,35.77,39.849998,#N/A,#N/A,,,,,,,,
