,cashModel,noCashModel,portfolio,bmSPY,EW
AnnRet(%),4.8,6.9,6.4,6.4,5.4
AnnRisk(%),7.932926129213216,8.164102132863375,7.926870408524868,7.358051972271499,6.819758616172754
AnnSharpe,0.5780116550652536,0.821750747515397,0.7806365585626492,0.8418870902591155,0.7654823454673485
Avg_DD(%),3.017,2.261,2.826,1.811,1.786
MaxDD(%),12.225,10.183,11.883,9.982,9.432
WinRate(%),64.0,72.0,70.3,68.0,64.0
Gain_to_Loss,0.9,0.756,0.811,0.848,0.997
RoMDD,0.393,0.68,0.539,0.642,0.576
Sortino(5%),0.588157613475572,0.8355329631814294,0.7948433252137314,0.8418870902591152,0.7696051175493046
Sterling_Ratio(over MDD),0.393,0.68,0.539,0.642,0.576
beta,0.8712274145242258,0.8634482996155788,0.7830137136304758,1.0,0.8674720938544633
ann_alpha,-0.6764127795405472,1.4133944240972252,1.4040925526338288,0.0,-0.12996535743334814
R_squared,0.6481537213091049,0.5988006231978982,0.5281330400244384,1.0,0.8732673862760321
p_value,0.7272351821093138,0.512128629148966,0.5333483883635672,5.073091708713727e-13,0.8969203907160105
tvalue,-0.3501489701463766,0.658750278588105,0.6258758586644015,-8.768009465825799,-0.13000455553061263
info_ratio,-0.09011701435613716,0.030140050814463294,-0.05157330390510376,0.0,-0.10687232208287871
1YrReturns,6.972568517155997,6.930007812983385,7.069513577916786,8.110338152275421,6.012250709548073
1YrRisk,7.5742906378636485,7.906896856850726,7.900890919906789,6.232435133874283,5.452822804397137
3YrReturns,3.240224091385069,5.053113528401476,3.0430175353181266,5.199374199437923,5.948559412045262
3YrRisk,7.497729385339069,7.342434518951481,7.45594930880829,7.288334042280672,6.6668965294736395
5YrReturns,3.953187698447591,5.1404127472663985,3.9011307979881726,5.799312338404117,5.1669086441004985
5YrRisk,7.887639442429053,7.956713636402848,8.034745076829699,7.124073769105957,6.538092254106371
10YrReturns,6.972568517155997,6.930007812983385,7.069513577916786,8.110338152275421,6.012250709548073
10YrRisk,7.5742906378636485,7.906896856850726,7.900890919906789,6.232435133874283,5.452822804397137
Total Return,0.3131963660191791,0.4403196054367765,0.4081657286611685,0.4061619948915277,0.3460017214838012
Best_Month,6.269979362768529,6.322802728018889,6.322802728018889,4.679805037825169,5.325764481168144
Worst_Month,-6.364633934970633,-6.126436152074076,-6.126436152074076,-5.835532693012646,-4.750231443984197
Best_Year,17.19066900082281,21.964428481587404,21.964428481587404,17.253016301024758,13.844919371431377
Worst_Year,-9.931945764164741,-7.283738209142121,-9.192945578957248,-3.2876797055490856,-3.525591691653747
