Date,ACWI,AGG,BIL,DBC,EEM,EMB,EWJ,GAL,GLD,GYLD,HDV,HYG,IEF,IEV,IJH,IJR,IVV,IXUS,IYLD,IYR,RWX,SHY,TLT,MAHIP
1/2/2001,,,,,,,37.109146,,,,,,,23.963516,39.470295,14.413799,91.929726,,,17.595884,,,,
1/3/2001,,,,,,,38.795929,,,,,,,25.257786,40.984043,14.955644,96.506134,,,17.80619,,,,
1/4/2001,,,,,,,36.898319,,,,,,,24.120401,40.183372,14.765669,95.412231,,,17.689356,,,,
1/5/2001,,,,,,,36.687458,,,,,,,24.355719,39.082451,14.398677,92.655258,,,17.490726,,,,
1/8/2001,,,,,,,36.898319,,,,,,,24.041958,39.107479,14.441854,92.800346,,,17.467367,,,,
1/9/2001,,,,,,,36.687458,,,,,,,23.728191,39.019913,14.403003,92.822678,,,17.549147,,,,
1/10/2001,,,,,,,36.476612,,,,,,,23.355606,39.983223,14.804523,94.128639,,,17.467367,,,,
1/11/2001,,,,,,,35.422379,,,,,,,23.963516,40.483624,15.020391,94.630913,,,17.490726,,,,
1/12/2001,,,,,,,35.422379,,,,,,,24.01745,40.658772,15.102429,94.385353,,,17.514091,,,,
1/16/2001,,,,,,,36.05492,,,,,,,23.590929,40.496117,15.214676,94.776016,,,17.52578,,,,
1/17/2001,,,,,,,36.687458,,,,,,,23.924292,40.683788,15.292397,95.244858,,,17.600557,,,,
1/18/2001,,,,,,,37.741695,,,,,,,24.100788,40.683788,15.30967,96.32756,,,17.549147,,,,
1/19/2001,,,,,,,37.109146,,,,,,,23.924292,40.371014,15.076525,95.992706,,,17.619247,,,,
1/22/2001,,,,,,,37.32,,,,,,,23.512487,40.508644,15.201726,96.093094,,,17.595884,,,,
1/23/2001,,,,,,,37.32,,,,,,,23.610535,41.603317,15.491,97.097733,,,17.75946,,,,
1/24/2001,,,,,,,36.898319,,,,,,,23.532097,41.653343,15.491,97.544212,,,17.817869,,,,
1/25/2001,,,,,,,36.898319,,,,,,,23.669369,41.334332,15.439187,97.019585,,,17.841244,,,,
1/26/2001,,,,,,,36.476612,,,,,,,23.492878,41.459446,15.460773,96.986115,,,17.829561,,,,
1/29/2001,,,,,,,37.210358,,,,,,,23.500721,42.122982,15.685117,97.510696,,,17.841244,,,,
1/30/2001,,,,,,,37.345299,,,,,,,23.710938,42.379192,15.722411,98.417923,,,17.911343,,,,
1/31/2001,,,,,,,37.109146,,,,,,,24.002739,42.034901,15.643658,97.796417,,,17.829561,,,,
2/1/2001,,,,,,,37.244087,,,,,,,23.996458,41.99889,15.738996,98.425049,,,17.841244,,,,
