,DBC,EEM,EMB,EWJ,GLD,HDV,HYG,IEF,IEV,IJH,IJR,IVV,IYR,RWX,SHY,TLT
2012-12-31,,,,,,,,,,,,,,,,
2013-01-31,,,,,,,,,,,,,,,,
2013-02-28,,,,,,,,,,,,,,,,
2013-03-29,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,,,,,,,,,,
2013-05-31,,,,,,,,,,,,,,,,
2013-06-28,,,,,,,,,,,,,,,,
2013-07-31,,,,,,,,,,,,,,,,
2013-08-30,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,,,,,,,,,,
2013-10-31,,,,,,,,,,,,,,,,
2013-11-29,,,,,,,,,,,,,,,,
2013-12-31,,,,,,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,
2014-01-31,,,,,,,0.3329177057356609,,0.13341645885286782,0.13341645885286782,0.13341645885286782,0.13341645885286782,,,0.13341645885286782,
2014-02-28,,,0.02641878669275927,,,,0.27103718199608606,,0.11448140900195695,0.11448140900195695,0.11448140900195695,0.11448140900195695,0.13013698630136988,,0.11448140900195695,
2014-03-31,,,0.026459854014598546,,,0.15784671532846717,0.15784671532846717,,0.01186131386861313,0.15784671532846717,0.15784671532846717,0.15784671532846717,0.17244525547445258,,,
2014-04-30,,,0.045673076923076907,,,0.21875000000000003,0.19951923076923075,,0.02644230769230768,0.02644230769230768,,0.21875000000000003,0.21875000000000003,,,0.045673076923076907
2014-05-30,,,0.1323828920570265,,,0.1323828920570265,0.11608961303462322,,0.030549898167006085,,,0.1323828920570265,0.2790224032586558,0.1771894093686354,,
2014-06-30,,,0.125,,,0.125,0.125,0.060185185185185196,,,,0.125,0.29166666666666663,0.04166666666666668,,0.10648148148148147
2014-07-31,,0.34767441860465115,0.1616279069767442,,,0.1616279069767442,,,,,,0.1616279069767442,0.1616279069767442,0.005813953488372051,,
2014-08-29,,0.251188589540412,0.12440570522979398,,,0.12440570522979398,,0.11648177496038031,,,,0.12440570522979398,0.12440570522979398,0.010301109350237734,,0.12440570522979398
2014-09-30,,,0.10519480519480519,0.2896103896103897,,0.10519480519480519,,0.08181818181818185,,,,0.10519480519480519,0.10519480519480519,,0.08181818181818185,0.12597402597402602
2014-10-31,,,0.13870967741935483,0.11935483870967738,,0.13870967741935483,,0.09354838709677417,,,,0.13870967741935483,0.13870967741935483,,0.09354838709677417,0.13870967741935483
2014-11-28,,,,,,0.1989100817438692,,0.0027247956403269715,,0.1989100817438692,,0.1989100817438692,0.1989100817438692,,0.0027247956403269715,0.1989100817438692
2014-12-31,,,,,,0.042229729729729736,,0.17736486486486486,,0.17736486486486486,0.042229729729729736,0.042229729729729736,0.17736486486486486,,0.042229729729729736,0.29898648648648646
2015-01-30,,,,,,0.0297872340425532,,0.2425531914893617,,0.10638297872340426,,0.0297872340425532,0.2425531914893617,,0.10638297872340426,0.2425531914893617
2015-02-27,,,,0.007824726134585295,,0.01721439749608763,,0.23317683881064163,,0.23317683881064163,0.007824726134585295,0.01721439749608763,0.23317683881064163,,0.01721439749608763,0.23317683881064163
2015-03-31,,,,0.07159716758457908,,,,0.17230527143981117,,0.17230527143981117,0.05900865460267506,0.06687647521636506,0.17230527143981117,0.05428796223446104,0.05900865460267506,0.17230527143981117
2015-04-30,,,,0.17352941176470588,,,,0.12647058823529414,0.15000000000000005,0.15000000000000005,0.06176470588235293,0.06176470588235293,,,0.15000000000000005,0.12647058823529414
2015-05-29,,,,0.33333333333333326,,,0.13207547169811318,0.06918238993710692,,0.13207547169811318,0.13207547169811318,0.049056603773584916,,,0.1522012578616352,
2015-06-30,,,0.10679611650485435,0.24801412180052954,,,0.12091791703442188,,0.12091791703442188,0.020300088261253305,0.12091791703442188,,,,0.2621359223300971,
