,ACWI,AGG,DBC,EEM,EWJ,GLD,HDV,IEF,IEV,IJH,IJR,IXUS,IYR,RWX,TLT
2012-03-30,,,,,,,,,,,,,,,
2012-04-30,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,,,,,,
2012-06-29,,,,,,,,,,,,,,,
2012-07-31,,,,,,,,,,,,,,,
2012-08-31,,,,,,,,,,,,,,,
2012-09-28,,,,,,,,,,,,,,,
2012-10-31,,,,,,,,,,,,,,,
2012-11-30,,,,,,,,,,,,,,,
2012-12-31,,,,,,,,,,,,,,,
2013-01-31,,,,,,,,,,,,,,,
2013-02-28,,,,,,,,,,,,,,,
2013-03-29,0.06341107871720117,,,,0.14067055393586006,,0.22230320699708456,,0.06341107871720117,0.14067055393586006,0.2325072886297376,,0.07361516034985424,0.06341107871720117,
2013-04-30,0.009090909090909089,,,,0.3727272727272727,,0.35454545454545455,,0.009090909090909089,0.027272727272727275,0.20909090909090908,,0.0090909090909091,0.009090909090909089,
2013-05-31,0.02919708029197084,,,,0.27007299270072993,,0.27007299270072993,,0.02919708029197084,0.05109489051094895,0.291970802919708,,0.02919708029197084,0.02919708029197084,
2013-06-28,0.024691358024691364,,,,0.24691358024691354,,0.26543209876543206,,0.024691358024691364,0.12345679012345677,0.26543209876543206,,0.024691358024691364,0.024691358024691364,
2013-07-31,0.08290155440414505,,,,0.10362694300518137,,0.10362694300518137,,0.07253886010362696,0.07253886010362696,0.3989637305699482,,0.08290155440414505,0.08290155440414505,
2013-08-30,0.03821656050955417,,,,0.0063694267515923796,,0.0063694267515923796,,0.28025477707006363,0.03821656050955417,0.6305732484076433,,,,
2013-09-30,0.11162079510703364,,,,0.09480122324159022,,,,0.3409785932721713,0.08868501529051988,0.363914373088685,,,,
2013-10-31,0.14175654853620956,,,0.14175654853620956,0.0662557781201849,,0.0662557781201849,,0.16486902927580893,0.0662557781201849,0.2110939907550077,0.14175654853620956,,,
2013-11-29,0.07615230460921843,,,0.07615230460921843,0.07615230460921843,,0.07615230460921843,,0.10621242484969941,0.07615230460921843,0.4368737474949899,0.07615230460921843,,,
2013-12-31,0.05365853658536583,,,0.05365853658536583,0.07804878048780481,,0.14146341463414633,,0.2146341463414634,0.1902439024390244,0.2146341463414634,0.05365853658536583,,,
2014-01-31,0.13043478260869568,,,0.13043478260869568,0.15217391304347827,,,,0.08695652173913042,0.2826086956521739,0.08695652173913042,0.13043478260869568,,,
2014-02-28,0.01281024819855885,,,0.13290632506004804,0.13290632506004804,,0.13290632506004804,,0.10728582866293035,0.22738190552441956,0.12089671737389915,0.01281024819855885,0.10728582866293035,0.01281024819855885,
2014-03-31,0.046511627906976716,,,0.046511627906976716,,,0.01744186046511626,,0.01744186046511626,0.2732558139534884,0.3081395348837209,0.046511627906976716,0.24418604651162792,,
2014-04-30,0.11851851851851852,,,,,,0.11851851851851852,,0.14074074074074075,0.05925925925925928,0.30370370370370375,0.11851851851851852,0.14074074074074075,,
2014-05-30,0.0475482912332838,,,,,,0.15304606240713226,,0.02526002971768201,0.2258543833580981,,,0.1976225854383358,0.17533432392273404,0.17533432392273404
2014-06-30,,,,,,0.15914489311163896,0.16152019002375298,,,0.15914489311163896,,,0.19714964370546317,0.16152019002375298,0.16152019002375298
2014-07-31,0.12710674157303373,,,0.1889044943820225,0.16783707865168543,,0.02176966292134831,,0.12710674157303373,,,0.12710674157303373,0.0835674157303371,0.0835674157303371,0.07303370786516857
2014-08-29,0.22151088348271442,,,0.20102432778489115,,,0.010243277848911629,,,0.1434058898847631,,0.22151088348271442,0.010243277848911629,0.010243277848911629,0.1818181818181818
2014-09-30,0.2610229276895945,,,0.05643738977072307,0.2945326278659613,,0.029982363315696602,,,0.00352733686067013,,,0.029982363315696602,0.029982363315696602,0.2945326278659613
2014-10-31,0.14326923076923087,,,0.10000000000000007,0.18846153846153849,,0.015384615384615344,,,0.15961538461538463,0.15961538461538463,,0.029807692307692275,0.029807692307692275,0.1740384615384616
2014-11-28,,,,,0.3452380952380953,,0.06462585034013603,,,0.0901360544217687,0.0901360544217687,,0.06462585034013603,,0.3452380952380953
2014-12-31,,,,,,,0.14271047227926073,0.026694045174538012,,0.1652977412731006,0.1652977412731006,,0.1652977412731006,,0.3347022587268994
2015-01-30,,,,,,,0.08936825885978429,0.14175654853620956,,0.16486902927580896,0.06625577812018488,,0.14175654853620956,,0.39599383667180277
2015-02-27,,,,,0.1513409961685824,,0.16475095785440613,,,0.12260536398467434,0.12260536398467434,,0.12260536398467434,0.16475095785440613,0.1513409961685824
2015-03-31,,,,,0.34150943396226413,,,0.05849056603773584,,0.08679245283018869,0.08679245283018869,,0.08679245283018869,0.22452830188679243,0.1150943396226415
2015-04-30,0.08114035087719297,,,0.08114035087719297,0.24561403508771928,,,,0.08114035087719297,0.06688596491228069,0.08114035087719297,0.24561403508771928,0.06688596491228069,,0.05043859649122806
2015-05-29,0.12107623318385652,,,,0.367713004484305,,,,,0.14349775784753366,0.14349775784753366,0.14349775784753366,,,0.08071748878923768
2015-06-30,0.04500000000000001,,,,0.48000000000000004,,,,0.04500000000000001,0.205,0.205,0.020000000000000004,,,
2015-07-31,0.11455399061032864,,,,0.18122065727699527,,0.12863849765258215,,0.026291079812206575,0.15305164319248826,0.1671361502347418,0.10046948356807511,,0.12863849765258215,
2015-08-31,,0.3170731707317073,,,0.04878048780487804,,,0.3170731707317073,,,,,,,0.3170731707317073
2015-09-30,,0.23464912280701755,,,,,,0.23464912280701755,,,,,,,0.5307017543859649
2015-10-30,,,,,0.20140845070422536,,0.1788732394366197,0.2,,0.009859154929577481,0.009859154929577481,,0.2,,0.2
2015-11-30,,0.1331877729257642,,,0.10043668122270741,,0.10043668122270741,0.1331877729257642,,0.1331877729257642,0.1331877729257642,,0.1331877729257642,,0.1331877729257642
2015-12-31,,0.16666666666666666,,,0.09624413145539909,,0.16666666666666666,0.16666666666666666,,,,,0.20187793427230047,,0.20187793427230047
2016-01-29,,0.25,,,,,0.25,0.25,,,,,,,0.25
2016-02-29,,0.19999999999999998,,,,0.19999999999999998,0.19999999999999998,0.19999999999999998,,,,,,,0.19999999999999998
2016-03-31,,,,,,0.12859560067681894,0.12859560067681894,,,,0.12859560067681894,,0.12859560067681894,0.35702199661590533,0.12859560067681894
2016-04-29,,0.18354430379746833,,,,0.13291139240506325,0.13291139240506325,0.18354430379746833,,,,,0.18354430379746833,,0.18354430379746833
2016-05-31,,0.2554112554112554,,,,0.038961038961038946,0.038961038961038946,0.2554112554112554,,,,,0.15584415584415584,,0.2554112554112554
2016-06-30,,0.16222222222222224,,,,0.17111111111111116,0.17111111111111116,0.16222222222222224,,,,,0.17111111111111116,,0.16222222222222224
2016-07-29,,,,0.11864406779661017,,0.05084745762711865,0.05084745762711865,,,0.30508474576271183,0.13559322033898305,,0.2711864406779661,,0.06779661016949153
2016-08-31,,,,0.22580645161290325,,,0.11290322580645161,,,0.2419354838709678,0.22580645161290325,,0.06451612903225808,,0.12903225806451613
2016-09-30,0.10776942355889725,,0.023182957393483708,0.11716791979949873,0.10776942355889725,0.07080200501253134,0.07080200501253134,,,0.03258145363408521,0.11716791979949873,0.10776942355889725,0.07080200501253134,,0.1741854636591479
2016-10-31,,,,0.18421052631578946,0.18421052631578946,,0.09210526315789475,,,0.06578947368421052,0.05263157894736842,,0.1973684210526316,,0.2236842105263158
2016-11-30,0.0588235294117647,,0.19327731092436976,0.21848739495798317,0.19327731092436976,,0.08403361344537814,,,0.033613445378151245,0.21848739495798317,,,,
2016-12-30,0.15342465753424656,,0.23698630136986298,0.05205479452054795,0.05205479452054795,,0.010958904109589043,,,0.23698630136986298,0.25753424657534246,,,,
2017-01-31,0.009615384615384628,,0.038461538461538484,0.038461538461538484,0.038461538461538484,,,,0.2980769230769231,0.2692307692307692,0.2980769230769231,0.009615384615384628,,,
2017-02-28,0.0555555555555555,,0.19444444444444453,0.19444444444444453,0.19444444444444453,,0.0555555555555555,,,0.0555555555555555,0.19444444444444453,0.0555555555555555,,,
