Date,EW_GTAA,EW_GTAA_Universe,RiskWt_GTAA,RiskWt_GTAA_Universe,MomoPortfoli_QO,MomoPortfolio_Q,70/30_QO_MP/RW_GTAA,70/30_QQQE/RW_GTAA_bm,60/40_ACWI/AGG,S&P500
2007,6.36,3.94,9.53,4.12,26.12,9.47,21.14,8.33,0.00,-2.86
2008,2.71,-25.95,11.61,-10.91,-66.81,-49.03,-43.28,-34.51,-20.50,-43.19
2009,13.40,20.41,10.98,16.12,38.37,37.47,30.15,33.31,20.22,26.10
2010,7.57,16.18,7.74,16.33,27.69,32.92,21.70,14.63,11.04,15.85
2011,2.93,1.31,0.48,0.99,13.57,4.04,9.64,2.01,-0.87,2.97
2012,-0.69,13.63,1.20,10.57,16.37,41.88,11.82,11.24,11.37,15.50
2013,4.32,2.21,13.06,3.40,55.54,44.97,42.80,24.92,11.60,28.67
2014,0.52,2.78,1.60,6.28,41.82,26.84,29.76,13.41,4.79,13.10
2015,-4.65,-4.71,-3.82,-4.26,16.31,10.83,10.27,1.38,-0.70,2.13
2016,2.12,6.72,11.29,2.09,31.81,20.79,25.66,8.90,6.14,12.00
2017,10.62,14.96,15.59,13.47,20.61,31.05,19.10,21.45,14.60,19.92
2018,-0.26,-0.39,-1.16,0.07,10.13,9.99,6.74,0.63,-0.88,-0.24
