Date,EW_GTAA,EW_GTAA_Universe,RiskWt_GTAA,RiskWt_GTAA_Universe,MomoPortfoli_QO,MomoPortfolio_Q,70/30_QO_MP/RW_GTAA,70/30_QQQE/RW_GTAA_bm,60/40_ACWI/AGG,S&P500
2007,7.55,10.32,7.87,5.52,18.71,15.59,14.66,12.49,0.00,9.95
2008,4.35,21.31,15.09,13.15,35.73,33.11,24.04,21.08,17.35,20.94
2009,8.67,19.81,12.72,15.69,24.31,26.28,19.16,14.15,17.34,22.10
2010,9.88,12.55,10.20,6.89,30.52,28.24,22.68,17.84,12.52,19.30
2011,5.91,12.65,8.38,8.62,20.97,15.94,14.69,10.68,11.29,15.65
2012,5.86,9.42,6.83,7.13,13.74,12.92,10.03,12.49,7.92,10.60
2013,5.96,8.47,9.64,6.63,17.70,15.94,14.72,8.04,6.49,8.78
2014,5.48,7.66,9.53,6.14,19.99,23.89,15.24,10.00,6.01,8.26
2015,3.19,8.03,10.74,5.92,17.58,20.05,13.83,11.83,8.14,13.75
2016,4.75,8.24,6.90,6.71,18.28,18.75,11.95,9.19,6.52,10.33
2017,2.07,2.76,2.65,1.91,14.02,14.32,10.23,5.16,1.62,3.95
2018,8.32,9.97,10.77,8.46,24.44,22.44,19.65,13.99,8.62,14.58
