,Average,bmSPY
AnnRet(%),6.9,6.2
AnnRisk(%),9.92585036161741,14.247132986212927
AnnSharpe(2.5%),0.6644786753960994,0.4115348685475944
Avg_DD(%),3.64,5.201
MaxDD(%),22.366,46.322
WinRate(%),60.199999999999996,63.800000000000004
Gain_to_Loss,1.171,0.816
RoMDD,0.309,0.133
Sortino(5%),0.6981342955605553,0.45215982901002183
Sterling_Ratio(over MDD),0.309,0.133
beta,0.4395051410075109,0.9999999999999998
ann_alpha,0.003272879356501173,2.1141942363467336e-18
R_squared,0.3930244828510109,1.0
p_value,0.03674002921842879,0.0009290561306448043
tvalue,2.1021226423191575,3.359180690918672
1YrReturns,12.693159831052592,16.136712992611415
1YrRisk,8.9682640992079,8.950113720776855
3YrReturns,9.639134433809682,12.388680764416971
3YrRisk,10.235754197663761,10.292786569715563
5YrReturns,11.114872004888587,12.983990842800065
5YrRisk,9.804553632285819,9.73253728284337
Total Return,1.2654574964174898,1.2366553540446064
Best_Month,9.50249455499909,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,30.102240126024704,28.660059746580323
Worst_Year,-17.90102622432365,-42.87458516954188
