,cashModel,noCashModel,portfolio,bmSPY,EW
AnnRet(%),10.4,11.700000000000001,12.7,7.1,7.3999999999999995
AnnRisk(%),11.5331948901987,14.211328188407698,11.994470137699992,14.139440936462123,12.65489131973766
AnnSharpe,0.8600388832742724,0.7951192081744869,1.0217478991058473,0.472469295690126,0.5467276318528086
Avg_DD(%),2.434,3.48,2.3,4.905,4.113
MaxDD(%),18.278,40.679,18.661,46.325,42.534
WinRate(%),57.699999999999996,57.699999999999996,57.099999999999994,65.5,66.4
Gain_to_Loss,1.539,1.485,1.758,0.795,0.818
RoMDD,0.567,0.289,0.681,0.154,0.173
Sortino(5%),0.9709638430405327,0.9085284741275258,1.1743662536851718,0.5179302420010738,0.5903009021578959
Sterling_Ratio(over MDD),0.567,0.289,0.681,0.154,0.173
beta,0.5906790836996506,0.802853526907252,0.6139070287288118,1.0,0.882939864863859
ann_alpha,5.856153268844899,5.885893785747998,7.970985612115311,0.0,0.9006377944657418
R_squared,0.5221900813896334,0.636956351400727,0.5230862133657808,1.0,0.972530290790465
p_value,0.002844922328666595,0.005162191538452338,0.00011688072399684855,1.6169678900121104e-159,0.07271637207080567
tvalue,3.0182659553908726,2.8252962154159267,3.923718133983317,76.54494576425736,1.8033349542071648
info_ratio,0.07743181599687488,0.13643795968748873,0.13856379325671517,0.0,0.002451798911636399
1YrReturns,19.789863535312826,19.438903393612073,16.846571905636697,14.614109134760334,13.467026148795824
1YrRisk,17.343121034564522,17.50247496592216,16.772699006845404,16.867732662456486,14.696034434888958
3YrReturns,16.00682557866935,19.252966502447542,16.99887951119816,14.878913969547614,11.49441428014022
3YrRisk,12.310492135449685,12.802349362579054,12.3350529957062,12.019807490155777,10.157008435381035
5YrReturns,12.537684538742111,13.909372274073917,12.288284028293983,10.73892021218632,9.002607917268612
5YrRisk,12.390627855159247,13.089418565561568,12.483452636287717,11.90078114659434,10.160701537799309
10YrReturns,12.284028913543077,15.14050955154811,15.212868115465138,13.630098585811323,12.02500778562583
10YrRisk,12.696696737742366,14.394711866779625,13.166701445220117,12.50944495544973,10.920533318128168
Total Return,1.9366625275267433,2.232329573785194,2.3331481227743684,1.4512269855746287,1.4553967588144974
Best_Month,14.322484570156268,16.971870264212676,14.322484570156268,10.924195223260648,10.143047582998976
Worst_Month,-10.383100887812754,-18.1879224262928,-10.383100887812754,-16.515348032857755,-15.10735628057714
Best_Year,29.28440075040994,29.043538804472647,28.053072289431153,28.658975805801457,24.85731031389135
Worst_Year,-10.013682616299294,-26.710883379071877,-10.013682616299294,-42.8682416774981,-36.11451934444807
