,Average,bmSPY,EW
AnnRet(%),8.5,6.2,7.3
AnnRisk(%),10.635276882626028,14.247132986212927,12.996911187504995
AnnSharpe,0.7735742435759942,0.4115348685475944,0.5345334106551164
Avg_DD(%),3.101,5.284,4.497
MaxDD(%),22.597,46.322,44.554
WinRate(%),63.0,63.800000000000004,65.7
Gain_to_Loss,1.126,0.816,0.831
RoMDD,0.378,0.133,0.163
Sortino(5%),0.8106540395411205,0.45215982901002183,0.5792622871097296
Sterling_Ratio(over MDD),0.378,0.133,0.163
beta,0.49293104402082144,0.9999999999999998,0.8910483453098623
ann_alpha,5.291977652477531,0.0,1.5948293289742344
R_squared,0.4300534885331688,1.0,0.9536597431852908
p_value,0.008398794354661569,0.0009290561306448043,0.019802022670026724
tvalue,2.6608799678394597,3.359180690918672,2.3481301785222293
info_ratio,0.04726151487481467,0.0,0.07706511888113626
1YrReturns,14.059215169758609,16.136712992611415,11.673909491224022
1YrRisk,9.462816016007253,8.950113720776855,7.428229540356844
3YrReturns,9.095925412587324,12.388680764416971,11.087824066555507
3YrRisk,10.063303851401782,10.292786569715563,8.843553183759214
5YrReturns,10.823500645073114,12.983990842800065,11.180411871257823
5YrRisk,9.333639886654394,9.73253728284337,8.305151093656248
10YrReturns,11.944137429420465,10.564702711135055,9.59045455109717
10YrRisk,10.212284155146376,14.719132512782295,13.827306842475481
Total Return,1.5466313643611436,1.2366553540446064,1.3864113108851837
Best_Month,9.09104765096324,10.914713010345256,11.728210191828262
Worst_Month,-10.54705492518791,-16.518625676257393,-16.57672797196878
Best_Year,25.3541332695599,28.660059746580323,25.883315290724536
Worst_Year,-15.530858125871056,-42.87458516954188,-36.196301696085506
