Date,XLRE,XLB,XLI,XLY,XLP,XLE,XLF,XLU,XLV,XLK,XLC,BIL,SHY,SPY
2001-01-02,,13.85,21.0,20.19,18.1,22.83,12.24,16.69,19.73,23.22,,,,89.92
2001-01-03,,13.94,21.91,21.79,17.27,22.14,12.9,16.34,21.28,26.96,,,,94.24
2001-01-04,,14.4,22.09,22.1,16.58,21.45,12.67,16.09,21.91,27.23,,,,93.23
2001-01-05,,14.1,21.45,21.37,16.69,21.91,12.41,15.93,21.32,25.58,,,,90.18
2001-01-08,,14.14,21.28,21.08,16.8,21.84,12.28,16.16,21.01,25.5,,,,90.88
2001-01-09,,13.57,21.34,20.91,16.99,21.4,12.07,16.24,21.27,26.07,,,,90.64
2001-01-10,,13.69,21.54,21.05,16.89,21.54,12.27,16.2,21.44,26.86,,,,92.23
2001-01-11,,13.32,21.8,21.23,16.55,21.77,12.3,15.82,21.92,27.99,,,,92.32
2001-01-12,,13.01,21.74,21.22,16.53,21.63,12.07,15.94,22.21,27.57,,,,92.15
2001-01-16,,13.44,21.95,21.71,16.76,21.62,12.28,15.69,22.45,27.25,,,,92.74
2001-01-17,,13.37,21.91,21.42,16.57,21.52,12.3,15.73,22.61,28.09,,,,93.16
2001-01-18,,13.3,22.06,21.1,16.7,21.11,12.12,16.01,22.54,29.56,,,,94.09
2001-01-19,,12.93,21.82,20.26,16.57,21.01,12.03,15.96,21.99,29.97,,,,93.55
2001-01-22,,13.03,21.78,21.02,16.67,21.24,12.25,15.93,21.84,29.42,,,,94.18
2001-01-23,,13.07,22.07,21.27,16.78,21.57,12.37,15.91,22.34,29.91,,,,94.92
2001-01-24,,13.12,21.95,21.29,16.72,21.55,12.44,15.93,22.13,30.28,,,,95.2
2001-01-25,,13.3,21.93,21.63,17.08,22.19,12.55,16.05,22.1,29.22,,,,94.96
2001-01-26,,13.16,21.57,21.39,16.91,21.82,12.6,15.89,21.87,29.42,,,,94.85
2001-01-29,,13.12,21.66,21.82,16.77,21.64,12.61,16.14,22.23,30.03,,,,95.36
2001-01-30,,13.62,22.01,21.88,16.96,21.82,12.72,16.14,22.19,30.1,,,,96.2
2001-01-31,,13.76,22.06,22.58,17.0,22.06,12.56,15.99,22.05,29.36,,,,95.65
2001-02-01,,13.83,21.77,22.55,17.15,21.77,12.58,16.19,22.34,29.34,,,,96.29
2001-02-02,,13.78,21.7,22.12,17.26,22.14,12.61,16.01,22.08,28.05,,,,94.1
2001-02-05,,13.91,21.81,22.0,17.25,22.58,12.7,16.13,22.06,27.88,,,,94.79
2001-02-06,,13.79,21.92,22.02,17.32,22.73,12.45,16.22,22.09,28.04,,,,94.51
2001-02-07,,13.79,21.73,22.07,17.36,22.79,12.42,16.23,22.3,27.32,,,,94.02
2001-02-08,,13.6,21.7,21.42,17.3,22.91,12.39,16.37,22.43,26.92,,,,92.93
2001-02-09,,13.59,21.18,21.14,17.45,23.28,12.44,16.35,22.07,25.67,,,,92.03
2001-02-12,,13.59,21.43,21.74,17.59,22.98,12.61,16.37,22.25,25.89,,,,93.09
2001-02-13,,13.55,21.66,22.03,17.36,22.93,12.54,16.5,22.28,25.45,,,,92.33
2001-02-14,,13.4,21.43,21.82,17.2,22.76,12.4,16.23,22.03,26.05,,,,92.19
2001-02-15,,13.91,21.8,21.81,17.04,22.47,12.4,16.25,22.12,26.84,,,,93.08
2001-02-16,,13.6,21.16,21.53,17.1,22.67,12.4,16.35,22.03,25.18,,,,91.03
2001-02-20,,13.56,21.23,21.82,17.18,22.54,11.94,16.42,22.0,23.82,,,,89.63
2001-02-21,,13.33,20.97,20.88,17.13,22.38,11.59,16.23,21.89,23.22,,,,87.69
2001-02-22,,13.43,20.78,20.55,17.0,22.27,11.67,16.4,21.48,23.26,,,,87.83
2001-02-23,,13.36,20.75,20.89,16.87,21.99,11.62,16.31,21.42,23.08,,,,87.23
2001-02-26,,13.85,21.16,21.53,17.03,22.23,11.87,16.49,21.53,23.45,,,,89.09
2001-02-27,,13.87,21.11,21.42,17.05,22.1,12.0,16.51,21.91,22.56,,,,88.27
2001-02-28,,13.93,20.74,20.97,17.11,21.79,11.72,16.33,21.63,22.04,,,,86.53
2001-03-01,,13.95,20.59,20.63,16.94,22.03,11.73,16.15,21.55,22.67,,,,86.98
2001-03-02,,14.28,20.71,20.79,17.11,22.54,11.75,16.19,21.59,21.88,,,,86.29
2001-03-05,,14.53,20.97,20.57,17.04,22.66,11.69,16.16,21.47,22.35,,,,87.08
2001-03-06,,14.5,21.28,21.09,16.69,22.78,11.72,16.14,21.54,23.3,,,,88.01
2001-03-07,,14.93,21.53,21.61,16.59,23.26,11.97,16.06,21.64,23.33,,,,88.64
2001-03-08,,14.98,21.66,21.96,16.73,23.5,12.02,16.36,21.76,22.86,,,,88.74
2001-03-09,,14.86,21.21,21.74,16.83,23.39,11.74,16.07,21.57,21.37,,,,86.12
2001-03-12,,14.26,20.04,20.93,16.31,22.61,11.16,16.26,20.49,20.23,,,,82.43
2001-03-13,,14.14,20.07,20.84,16.23,22.34,11.46,15.88,20.5,21.23,,,,83.78
2001-03-14,,13.78,19.65,20.39,15.83,22.01,10.93,15.33,20.11,20.71,,,,82.13
2001-03-15,,13.48,19.56,20.62,15.85,22.02,11.26,15.61,20.71,20.47,,,,82.15
2001-03-16,,13.42,19.05,20.2,15.65,21.65,11.11,15.48,20.43,20.02,,,,80.5
2001-03-19,,13.74,19.43,20.44,15.84,21.93,11.24,15.67,20.43,20.64,,,,82.14
2001-03-20,,13.82,19.04,20.48,15.46,22.12,10.93,15.45,20.0,19.65,,,,79.94
2001-03-21,,13.39,18.54,20.36,15.07,21.49,10.61,15.1,19.47,19.75,,,,78.58
2001-03-22,,12.96,18.04,19.72,14.91,20.86,10.34,14.91,19.04,20.65,,,,77.78
2001-03-23,,13.09,18.4,19.94,15.27,21.02,10.78,14.89,19.47,21.09,,,,80.13
2001-03-26,,13.22,18.73,20.29,15.47,21.3,10.95,15.38,19.81,20.82,,,,81.15
2001-03-27,,13.55,19.04,20.74,15.82,21.41,11.26,15.95,20.4,21.49,,,,82.81
2001-03-28,,13.51,18.69,20.4,15.87,21.1,11.2,15.61,19.98,19.9,,,,80.52
2001-03-29,,13.35,18.69,20.59,15.91,20.66,11.17,15.97,20.23,19.64,,,,80.83
2001-03-30,,13.24,18.75,20.67,15.92,21.14,11.37,16.09,20.24,19.52,,,,81.68
2001-04-02,,13.31,18.62,20.67,15.71,20.75,11.42,16.14,19.99,19.05,,,,79.94
2001-04-03,,13.04,17.84,19.98,15.42,20.17,11.03,16.07,19.55,17.77,,,,77.27
2001-04-04,,13.29,17.93,20.19,15.62,20.53,10.76,16.13,19.67,17.43,,,,77.59
2001-04-05,,13.73,18.97,20.64,15.78,21.07,11.16,16.02,20.16,19.27,,,,80.53
2001-04-06,,13.57,18.59,20.58,15.73,21.1,10.91,15.72,20.07,18.38,,,,79.31
2001-04-09,,13.79,18.92,20.39,15.86,21.59,10.9,16.07,20.32,18.42,,,,80.19
2001-04-10,,14.4,19.48,20.59,15.84,21.96,11.22,16.4,20.72,19.66,,,,81.65
2001-04-11,,14.22,19.26,20.36,15.54,21.57,11.32,16.18,20.47,20.38,,,,81.71
2001-04-12,,14.15,19.64,20.02,15.75,21.8,11.4,16.17,20.45,20.89,,,,83.19
2001-04-16,,14.18,19.61,20.11,15.75,22.23,11.32,16.43,20.6,20.38,,,,82.32
2001-04-17,,14.16,19.85,20.39,16.09,22.34,11.41,16.81,20.95,20.6,,,,83.48
2001-04-18,,14.75,20.71,21.64,15.94,22.23,11.89,16.46,21.79,22.47,,,,86.8
2001-04-19,,14.51,20.78,21.7,15.87,21.84,11.96,16.49,21.81,23.89,,,,87.95
2001-04-20,,14.47,20.72,21.47,15.7,22.07,11.75,16.29,21.87,23.61,,,,87.15
2001-04-23,,14.37,20.41,21.33,15.78,22.66,11.61,16.33,21.37,22.3,,,,85.56
2001-04-24,,14.44,20.2,20.96,15.49,22.7,11.55,16.4,21.43,21.96,,,,85.1
2001-04-25,,14.38,20.67,20.97,15.9,23.02,11.67,16.69,21.68,22.34,,,,86.21
2001-04-26,,14.85,20.96,21.5,16.05,23.48,11.72,16.84,21.95,22.03,,,,86.6
2001-04-27,,14.86,21.12,22.01,16.14,23.32,11.97,16.85,21.74,22.33,,,,88.04
2001-04-30,,14.65,20.9,21.62,16.23,23.32,11.78,16.87,21.74,22.67,,,,88.66
2001-05-01,,14.81,21.09,21.86,16.41,23.17,11.88,17.03,22.08,23.22,,,,88.93
2001-05-02,,14.81,21.1,22.04,16.31,22.27,11.97,16.81,22.14,23.68,,,,88.77
2001-05-03,,14.79,20.79,21.78,16.23,22.16,11.98,16.6,21.71,22.93,,,,87.64
2001-05-04,,15.04,21.1,21.98,16.37,22.51,12.12,16.76,21.78,23.26,,,,89.13
2001-05-07,,14.86,21.18,21.81,16.36,22.57,12.04,16.85,21.83,23.23,,,,88.36
2001-05-08,,14.9,21.22,21.8,16.31,22.55,11.92,16.61,21.47,23.34,,,,88.32
2001-05-09,,15.05,21.1,21.47,16.39,22.95,11.91,16.64,21.61,23.01,,,,87.95
2001-05-10,,15.36,21.33,22.08,16.31,22.78,11.91,16.65,21.75,22.67,,,,88.21
2001-05-11,,15.06,21.22,22.18,16.22,22.56,11.8,16.66,21.86,22.43,,,,87.6
2001-05-14,,15.16,21.32,22.12,16.36,22.91,11.9,16.88,21.76,22.12,,,,87.78
2001-05-15,,15.28,21.41,22.04,16.26,23.12,11.97,16.76,21.86,22.08,,,,88.18
2001-05-16,,16.07,22.1,22.31,16.76,23.31,12.29,17.12,22.46,22.97,,,,90.26
2001-05-17,,16.24,22.46,22.65,16.84,23.39,12.23,17.02,22.66,23.11,,,,90.4
2001-05-18,,16.16,22.54,22.64,16.75,23.88,12.16,17.12,22.72,23.21,,,,90.81
2001-05-21,,16.3,22.75,22.89,16.74,23.82,12.33,17.19,23.06,24.24,,,,92.15
2001-05-22,,15.99,22.68,22.97,16.57,23.58,12.45,17.12,23.09,24.19,,,,92.03
2001-05-23,,15.71,22.34,22.56,16.42,23.22,12.4,17.12,22.71,23.6,,,,90.47
2001-05-24,,15.28,22.31,22.48,16.49,23.18,12.45,17.07,22.99,23.78,,,,90.74
2001-05-25,,15.3,21.98,22.37,16.36,22.98,12.28,16.81,22.82,23.34,,,,89.66
2001-05-29,,15.51,21.92,22.19,16.49,22.95,12.29,16.8,22.65,22.46,,,,88.95
2001-05-30,,15.19,21.48,21.79,16.58,22.86,12.19,16.72,22.57,21.55,,,,87.71
2001-05-31,,15.21,21.77,22.14,16.47,23.1,12.3,16.99,22.57,21.75,,,,88.16
2001-06-01,,15.34,21.71,22.06,16.69,23.0,12.27,16.84,22.5,22.12,,,,88.71
2001-06-04,,15.51,21.85,21.99,16.71,23.31,12.37,16.85,22.53,22.07,,,,89.13
2001-06-05,,15.69,22.08,22.25,16.88,23.38,12.43,16.61,22.74,22.94,,,,90.15
2001-06-06,,15.41,21.83,22.02,16.61,22.78,12.33,16.47,22.56,22.72,,,,89.41
2001-06-07,,15.59,21.93,22.19,16.73,22.51,12.25,16.33,22.69,23.37,,,,89.73
