Date,IVV,BIL,avg_er,ER,c_exc_ret,c_avg_ret,compp,composite
2007-12-31,-0.030637443626308603,0.025028154963541382,-1.5511330000000072,-0.055665598589849985,0,0,0,0
2008-01-31,-0.077147304334927,0.02458303137647766,-7.634495285714294,-0.10173033571140466,0,0,0,0
2008-02-29,-0.07301406750597494,0.022175078566921025,-9.47385742857142,-0.09518914607289597,0,0,0,0
2008-03-31,-0.09078633328072605,0.02021633601421069,-8.627737999999994,-0.11100266929493674,0,0,0,0
2008-04-30,-0.08439745048360514,0.01761657262496441,-1.9892101428571465,-0.10201402310856955,0,0,0,0
2008-05-30,-0.08555215031810137,0.014601667429036347,0.9689642857142502,-0.10015381774713772,0,1,1,0
2008-06-30,-0.12632825786999813,0.012966202803031068,-6.409431142857173,-0.1392944606730292,0,0,0,0
2008-07-31,-0.1255899049978525,0.012480582276885865,-5.062525000000036,-0.13807048727473836,0,0,0,0
2008-08-29,-0.053222839354411855,0.009307297727634056,-2.6842717142857424,-0.06253013708204591,0,0,0,0
2008-09-30,-0.11286555079631266,0.012781630581118142,-10.25803171428575,-0.1256471813774308,0,0,0,0
2008-10-31,-0.2557170357916345,0.00807326430998967,-22.235585428571454,-0.2637903001016242,0,0,0,0
2008-11-28,-0.34297763236518,0.008226915010600688,-22.68478700000003,-0.35120454737578066,0,0,0,0
2008-12-31,-0.34495404755600845,0.007565526917666654,-16.36577700000005,-0.3525195744736751,0,0,0,0
2009-01-30,-0.3430893759989271,0.00719252025029804,-17.312830285714327,-0.3502818962492251,0,0,0,0
2009-02-27,-0.4080527810568252,0.0052623869001433565,-18.50908100000003,-0.41331516795696854,0,0,0,0
2009-03-31,-0.3698995970223221,0.00440890889652068,-8.06135128571431,-0.3743085059188428,0,0,0,0
2009-04-30,-0.23839235914245083,-6.099079614774183e-05,1.8856654285714143,-0.23833136834630309,0,1,1,0
2009-05-29,-0.03310614497425901,0.002379202685464765,6.509446999999966,-0.035485347659723776,0,1,1,0
2009-06-30,0.04528818504878185,0.002751143170778958,6.061811428571389,0.04253704187800289,1,1,2,1
2009-07-31,0.11159439597259446,0.0018124713535188075,10.563416428571387,0.10978192461907565,1,1,2,1
2009-08-31,0.25422040977620153,0.0005453039527756331,11.108256714285673,0.2536751058234259,1,1,2,1
2009-09-30,0.4531276783445437,0.0008509099660960473,10.2597984285714,0.45227676837844766,1,1,2,1
2009-10-30,0.31924356152971645,0.0009598430814348191,5.5379768571427945,0.3182837184482816,1,1,2,1
2009-11-30,0.2707631459179436,-6.547940715284639e-05,8.02917885714281,0.27082862532509644,1,1,2,1
2009-12-31,0.22357590044904474,0.00013085597367923363,7.3345011428570785,0.2234450444753655,1,1,2,1
2010-01-29,0.17771673995165926,0.0002616575828473522,1.8827507142856632,0.1774550823688119,1,1,2,1
2010-02-26,0.13125746541486683,0.0006762433474767349,3.188035428571382,0.1305812220673901,1,1,2,1
2010-03-31,0.15801349801975606,-2.1803370867656824e-05,6.971307714285672,0.15803530139062372,1,1,2,1
2010-04-30,0.13558159792415414,-0.0007192676824999689,6.8581335714285245,0.1363008656066541,1,1,2,1
2010-05-31,0.06522649988050366,-0.00032701716014837956,-2.025435428571484,0.06555351704065204,1,0,1,0
2010-06-30,-0.048749830236253455,0.00030526941523745244,-6.26644400000005,-0.04905509965149091,0,0,0,0
2010-07-30,-0.0013352004781574944,-0.00043592653769319867,-0.10365371428575543,-0.0008992739404642958,0,0,0,0
2010-08-31,-0.008752444871664933,-0.00043592653769319867,-4.154768571428633,-0.008316518333971734,0,0,0,0
2010-09-30,0.045784552822240254,-0.00021804953621251677,3.166934857142806,0.04600260235845277,1,1,2,1
2010-10-29,0.02342315819801577,0.0,6.595065142857095,0.02342315819801577,1,1,2,1
2010-11-30,0.006437621708071939,0.0004362117552103584,6.433900999999949,0.0060014099528615805,1,1,2,1
2010-12-31,0.16813803691722584,-0.00021804953621251677,11.089212714285665,0.16835608645343836,1,1,2,1
2011-01-31,0.2613537794595817,-0.00043592653769319867,10.296670142857081,0.2617897059972749,1,1,2,1
2011-02-28,0.21977001185618317,0.0,11.18186085714278,0.21977001185618317,1,1,2,1
2011-03-31,0.27623531277132995,0.0,7.630866142857073,0.27623531277132995,1,1,2,1
2011-04-29,0.20740410747687887,0.0,8.12222914285708,0.20740410747687887,1,1,2,1
2011-05-31,0.1488790886535707,0.0,4.555039428571362,0.1488790886535707,1,1,2,1
2011-06-30,0.13037008776554182,0.0,0.7060771428570689,0.13037008776554182,1,1,2,1
2011-07-29,0.03772736888388506,0.00021809709218234552,-2.140465571428649,0.037509271791702714,1,0,1,0
2011-08-31,-0.04160566677322863,0.00021809709218234552,-7.695803142857216,-0.04182376386541098,0,0,0,0
2011-09-30,-0.13651402503373244,0.0,-12.669692714285773,-0.13651402503373244,0,0,0,0
2011-10-31,-0.044513179442651096,-0.0004360391206660319,-1.3856025714286346,-0.044077140321985064,0,0,0,0
2011-11-30,-0.07488521045668028,-0.00021801956033307146,-0.4703665714286416,-0.07466719089634721,0,0,0,0
2011-12-30,-0.053745869711836924,-0.0006103969597841541,1.5926418571427803,-0.05313547275205277,0,1,1,0
2012-01-31,0.006787297022979866,-0.000828623673010509,6.576325142857073,0.007615920695990375,1,1,2,1
2012-02-29,0.07028718785460097,-0.0006103969597841541,10.313547428571354,0.07089758481438513,1,1,2,1
2012-03-30,0.17020437581659964,-0.000828623673010509,11.69851499999993,0.17103299948961015,1,1,2,1
2012-04-30,0.24710735641928405,-0.0003924329934038573,7.381438999999929,0.2474997894126879,1,1,2,1
2012-05-31,0.05932666893785421,4.362514953415442e-05,-0.9736144285714801,0.059283043788320056,1,0,1,0
2012-06-29,0.10742124389352425,-0.0006108404764139097,2.236264142857081,0.10803208436993816,1,1,2,1
2012-07-31,0.10934494029592967,-0.0004364651514969786,2.0153895714285284,0.10978140544742665,1,1,2,1
2012-08-31,0.08670338947056,-0.0002181527878333256,3.619897857142817,0.08692154225839333,1,1,2,1
2012-09-28,0.06709621964090795,-0.0004364651514969786,5.393489999999943,0.06753268479240493,1,1,2,1
2012-10-31,0.012152643469369728,0.0,2.5790428571427952,0.012152643469369728,1,1,2,1
2012-11-30,0.027720808978422884,-0.0004364651514969786,3.184255142857083,0.028157274129919863,1,1,2,1
2012-12-31,0.10375232069275753,-0.0004364651514969786,2.6617687142856568,0.1041887858442545,1,1,2,1
2013-01-31,0.11335014357219442,0.0,7.257655714285633,0.11335014357219442,1,1,2,1
2013-02-28,0.11458970780214317,0.0,7.07873671428564,0.11458970780214317,1,1,2,1
2013-03-29,0.1276393038429673,0.0,9.811339142857094,0.1276393038429673,1,1,2,1
2013-04-30,0.12358470685701106,-0.00021862162512842342,10.323210571428518,0.12380332848213949,1,1,2,1
2013-05-31,0.17429162902413675,-0.0002181527878333256,10.652861428571384,0.17450978181197008,1,1,2,1
2013-06-28,0.14571618926070462,-0.00021862162512842342,5.665607857142817,0.14593481088583304,1,1,2,1
2013-07-31,0.19616684338829593,-0.00021862162512842342,9.914308714285653,0.19638546501342435,1,1,2,1
2013-08-30,0.10340689499472466,-0.00021862162512842342,3.2659997142856696,0.10362551661985309,1,1,2,1
2013-09-30,0.12391171244799826,-0.00043673333266458503,5.6647668571428085,0.12434844578066284,1,1,2,1
2013-10-31,0.13404721058500635,-0.000655099998996933,10.032999999999987,0.13470231058400328,1,1,2,1
2013-11-29,0.1453803142527461,-0.0006549106216696687,11.823950714285672,0.14603522487441578,1,1,2,1
2013-12-31,0.1472158685167182,-0.000873389069173669,12.954132428571398,0.14808925758589186,1,1,2,1
2014-01-31,0.12500664340599976,-0.0006549106216696687,4.435633714285615,0.12566155402766943,1,1,2,1
2014-02-28,0.11615526160643275,-0.00043657381834605324,9.355252999999976,0.1165918354247788,1,1,2,1
2014-03-31,0.16118179193167825,-0.0006549106216696687,7.427671428571415,0.16183670255334792,1,1,2,1
2014-04-30,0.1331169069967031,-0.0004368465219465323,5.793326285714244,0.13355375351864962,1,1,2,1
2014-05-30,0.10790360396011822,-0.00021843216508798946,7.2914797142856855,0.10812203612520621,1,1,2,1
2014-06-30,0.09825928834296427,-0.000218468793267923,8.681621428571418,0.09847775713623219,1,1,2,1
2014-07-31,0.05586000661375379,-0.00043685992254960393,4.7928380000000175,0.05629686653630339,1,1,2,1
2014-08-29,0.13747083718820519,-0.000218468793267923,8.686242428571461,0.1376893059814731,1,1,2,1
