,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY
AnnRet(%),8.4,6.2,7.3,6.2,7.7,6.2,8.0,6.2,7.199999999999999,6.2,8.0,6.2,7.5,6.2,8.9,6.2,7.199999999999999,6.2,6.1,6.2,7.6,6.2,7.9,6.2,6.6000000000000005,6.2
AnnRisk(%),10.753808776233347,14.247132986212927,11.76353467085956,14.247132986212927,11.175774016642908,14.247132986212927,10.605393722753103,14.247132986212927,10.90872947701939,14.247132986212927,10.93008045822249,14.247132986212927,10.668676922056992,14.247132986212927,10.772114824217843,14.247132986212927,10.286241486556811,14.247132986212927,10.986361239063392,14.247132986212927,10.530869203650958,14.247132986212927,10.777246008218148,14.247132986212927,10.584608128564735,14.247132986212927
AnnSharpe,0.7521341724513839,0.4115348685475944,0.5976091648709738,0.4115348685475944,0.6592436097690265,0.4115348685475944,0.726981052912126,0.4115348685475944,0.6345298490499814,0.4115348685475944,0.7027743680118134,0.4115348685475944,0.6727128594194647,0.4115348685475944,0.796313842853137,0.4115348685475944,0.6693259257422502,0.4115348685475944,0.5226545501106477,0.4115348685475944,0.6953474687014443,0.4115348685475944,0.699329358525995,0.4115348685475944,0.5927543710636907,0.4115348685475944
Avg_DD(%),3.978,5.284,4.513,5.284,4.183,5.284,3.534,5.284,4.209,5.284,3.719,5.284,3.983,5.284,3.216,5.284,3.811,5.284,4.795,5.284,3.865,5.284,3.651,5.284,4.386,5.284
MaxDD(%),25.495,46.322,29.487,46.322,25.172,46.322,20.232,46.322,25.653,46.322,22.008,46.322,21.742,46.322,21.924,46.322,26.422,46.322,25.526,46.322,25.413,46.322,22.368,46.322,32.039,46.322
WinRate(%),61.1,63.800000000000004,56.89999999999999,63.800000000000004,61.1,63.800000000000004,60.699999999999996,63.800000000000004,60.699999999999996,63.800000000000004,64.0,63.800000000000004,60.699999999999996,63.800000000000004,63.5,63.800000000000004,59.199999999999996,63.800000000000004,57.8,63.800000000000004,60.199999999999996,63.800000000000004,63.5,63.800000000000004,58.8,63.800000000000004
Gain_to_Loss,1.184,0.816,1.313,0.816,1.114,0.816,1.206,0.816,1.128,0.816,1.026,0.816,1.166,0.816,1.119,0.816,1.223,0.816,1.173,0.816,1.209,0.816,1.045,0.816,1.185,0.816
RoMDD,0.33,0.133,0.249,0.133,0.305,0.133,0.397,0.133,0.282,0.133,0.363,0.133,0.345,0.133,0.406,0.133,0.273,0.133,0.237,0.133,0.301,0.133,0.351,0.133,0.206,0.133
Sortino(5%),0.7744551854254244,0.45215982901002183,0.6529233200597677,0.45215982901002183,0.6882522392178045,0.45215982901002183,0.7594596559033248,0.45215982901002183,0.6577442167830575,0.45215982901002183,0.7338710448313868,0.45215982901002183,0.6985922544189722,0.45215982901002183,0.8359075548539705,0.45215982901002183,0.6912591442049156,0.45215982901002183,0.5434716547131189,0.45215982901002183,0.7282592068519786,0.45215982901002183,0.7253217598697556,0.45215982901002183,0.613725120000991,0.45215982901002183
Sterling_Ratio(over MDD),0.33,0.133,0.249,0.133,0.305,0.133,0.397,0.133,0.282,0.133,0.363,0.133,0.345,0.133,0.406,0.133,0.273,0.133,0.237,0.133,0.301,0.133,0.351,0.133,0.206,0.133
beta,0.4688537094489378,0.9999999999999998,0.5382683631052462,0.9999999999999998,0.535974855325561,0.9999999999999998,0.4662488911226408,0.9999999999999998,0.4832390984955076,0.9999999999999998,0.5002505483989736,0.9999999999999998,0.46653710318915625,0.9999999999999998,0.4950969650696312,0.9999999999999998,0.43289905494732106,0.9999999999999998,0.5221892057552951,0.9999999999999998,0.47218579235599506,0.9999999999999998,0.4980797619254942,0.9999999999999998,0.4456280939920171,0.9999999999999998
ann_alpha,0.004345323101612227,2.1141942363467336e-18,0.0032247100075755084,2.1141942363467336e-18,0.0034500167582115207,2.1141942363467336e-18,0.004052730415375105,2.1141942363467336e-18,0.003372644841081569,2.1141942363467336e-18,0.0038708446107056332,2.1141942363467336e-18,0.0036433595611186967,2.1141942363467336e-18,0.004577974277441797,2.1141942363467336e-18,0.0035692575589945925,2.1141942363467336e-18,0.0022354932596871592,2.1141942363467336e-18,0.0037103763745434722,2.1141942363467336e-18,0.003757109126247088,2.1141942363467336e-18,0.0030439310050366167,2.1141942363467336e-18
R_squared,0.3801325292323947,1.0,0.42031764771828484,1.0,0.46307988591330596,1.0,0.3862655305798899,1.0,0.3925235136557592,1.0,0.4191544932112158,1.0,0.38249690258573577,1.0,0.42259920220477853,1.0,0.35401620735062767,1.0,0.4549406884629491,1.0,0.40290441009719913,1.0,0.427296182544458,1.0,0.3546046112166036,1.0
p_value,0.011597911161459024,0.0009290561306448043,0.07508068251696944,0.0009290561306448043,0.037359035422463716,0.0009290561306448043,0.01640477528751032,0.0009290561306448043,0.05037851133713537,0.0009290561306448043,0.02214549060807527,0.0009290561306448043,0.03218629268716693,0.0009290561306448043,0.006039896367898661,0.0009290561306448043,0.03329896572190808,0.0009290561306448043,0.1718693412460227,0.0009290561306448043,0.024596972441434512,0.0009290561306448043,0.023339562986921258,0.0009290561306448043,0.07696553385644998,0.0009290561306448043
tvalue,2.5465908127444563,3.359180690918672,1.7888903484366265,3.359180690918672,2.095184329886391,3.359180690918672,2.4193356045110463,3.359180690918672,1.9681027930247066,3.359180690918672,2.305047236378474,3.359180690918672,2.1565022019889923,3.359180690918672,2.7739183425586,3.359180690918672,2.1426310914484303,3.359180690918672,1.3709229145684645,3.359180690918672,2.2640596883676776,3.359180690918672,2.2846127624007395,3.359180690918672,1.7773464372886936,3.359180690918672
1YrReturns,16.041195607429692,16.136712992611415,13.79720607240127,16.136712992611415,13.702295095870687,16.136712992611415,14.054280419836406,16.136712992611415,14.684322364420899,16.136712992611415,14.624573341630898,16.136712992611415,14.494917874855284,16.136712992611415,15.8670998368706,16.136712992611415,13.69186403099052,16.136712992611415,13.347394802229484,16.136712992611415,14.684322364420899,16.136712992611415,15.364367821002634,16.136712992611415,14.71303362191807,16.136712992611415
1YrRisk,9.516636577056827,8.950113720776855,9.10268330889043,8.950113720776855,9.485233575793075,8.950113720776855,9.33711036638088,8.950113720776855,9.572602935936384,8.950113720776855,9.476908107246885,8.950113720776855,9.376508725900171,8.950113720776855,9.54897903317071,8.950113720776855,9.470749216556582,8.950113720776855,9.344930133907377,8.950113720776855,9.572602935936384,8.950113720776855,9.578258425514472,8.950113720776855,9.127660858920715,8.950113720776855
3YrReturns,8.45804172682929,12.388680764416971,8.993551417608181,12.388680764416971,6.8306597807054725,12.388680764416971,7.432553630494487,12.388680764416971,8.913071877022372,12.388680764416971,7.365111706300409,12.388680764416971,8.502249364552018,12.388680764416971,9.46622081335442,12.388680764416971,5.2741659395628915,12.388680764416971,7.340455448304417,12.388680764416971,9.238853020892668,12.388680764416971,7.496048893050511,12.388680764416971,9.760300509858165,12.388680764416971
3YrRisk,9.915862556563331,10.292786569715563,10.212426406712721,10.292786569715563,9.8859465353826,10.292786569715563,9.814396433948005,10.292786569715563,9.324612880928578,10.292786569715563,9.655208791988311,10.292786569715563,9.32927007055791,10.292786569715563,10.373302641374414,10.292786569715563,9.440731548154227,10.292786569715563,9.612764449173564,10.292786569715563,9.604570183553031,10.292786569715563,9.56962123084311,10.292786569715563,9.569161991643217,10.292786569715563
5YrReturns,10.462192501614043,12.983990842800065,10.692076546449435,12.983990842800065,9.17010479891147,12.983990842800065,10.005172361263504,12.983990842800065,10.990760852627979,12.983990842800065,9.92639816231522,12.983990842800065,10.650129792856845,12.983990842800065,11.200100801876411,12.983990842800065,8.025419599696072,12.983990842800065,9.506083241748309,12.983990842800065,10.881924674449127,12.983990842800065,10.026156063159952,12.983990842800065,11.576860069795014,12.983990842800065
5YrRisk,9.426136218962515,9.73253728284337,9.840226060663083,9.73253728284337,9.252736798620848,9.73253728284337,9.172912770255419,9.73253728284337,8.82940644039514,9.73253728284337,9.046568042438974,9.73253728284337,8.850736294430728,9.73253728284337,9.516129934421327,9.73253728284337,8.93942564904971,9.73253728284337,9.029813326726181,9.73253728284337,9.135241445720064,9.73253728284337,9.027968374042931,9.73253728284337,9.249059365659425,9.73253728284337
10YrReturns,11.628944207766189,10.564702711135055,10.931743766741642,10.564702711135055,10.44880851504233,10.564702711135055,10.746331217091921,10.564702711135055,10.442962841838765,10.564702711135055,11.039624138750526,10.564702711135055,10.459753367537461,10.564702711135055,12.564826280796915,10.564702711135055,9.724378721229755,10.564702711135055,7.860901447768276,10.564702711135055,10.06284662737842,10.564702711135055,10.856942932902713,10.564702711135055,9.682628682256889,10.564702711135055
