,Average,bmSPY,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
AnnRet(%),8.3,6.2,7.9,7.9,8.5,8,8,8.2,8.7,6.9,6.5,8.2,7.5,6.9
AnnRisk(%),10.67,14.25,11.81,10.91,10.5,10.76,10.72,10.59,10.51,10.15,10.93,10.51,10.5,10.7
AnnSharpe(2.5%),0.75,0.41,0.64,0.7,0.78,0.72,0.72,0.74,0.8,0.65,0.57,0.75,0.69,0.62
Avg_DD(%),4.21,5.28,4.58,4.29,3.43,3.98,3.57,3.83,3.2,3.94,4.89,3.77,3.59,4.53
MaxDD(%),25.15,46.32,27.33,24.43,19.59,25.23,20.81,22.19,20.68,25.07,25.7,25.22,21.31,31.49
WinRate(%),60.7,63.8,57.8,61.1,62.6,61.6,64,62.1,64,60.2,57.8,60.2,63.5,59.2
Gain_to_Loss,1.19,0.82,1.3,1.14,1.14,1.14,1.03,1.14,1.09,1.15,1.2,1.26,1.02,1.18
RoMDD,0.33,0.13,0.29,0.32,0.44,0.32,0.39,0.37,0.42,0.28,0.25,0.33,0.35,0.22
Sortino(5%),0.77,0.45,0.71,0.73,0.83,0.75,0.76,0.78,0.84,0.67,0.59,0.79,0.72,0.65
Sterling_Ratio(over MDD),0.33,0.13,0.29,0.32,0.44,0.32,0.39,0.37,0.42,0.28,0.25,0.33,0.35,0.22
beta,0.46,1,0.54,0.52,0.46,0.48,0.49,0.47,0.48,0.42,0.52,0.47,0.49,0.45
ann_alpha,0.0043,0,0.0036,0.0037,0.0044,0.004,0.0039,0.0042,0.0045,0.0034,0.0026,0.0042,0.0035,0.0033
R_squared,0.38,1,0.41,0.45,0.39,0.39,0.42,0.39,0.42,0.35,0.45,0.39,0.43,0.35
p_value,0.01,0,0.05,0.02,0.01,0.02,0.02,0.01,0.01,0.04,0.11,0.01,0.03,0.06
tvalue,2.54,3.36,2,2.28,2.68,2.38,2.38,2.49,2.78,2.05,1.6,2.54,2.22,1.9
1YrReturns,16.25,16.14,11.17,13.97,13.82,14.46,15.09,14.38,15.31,14.61,13.5,14.46,15.46,14.88
1YrRisk,9.58,8.95,9.04,9.55,9,9.07,9.2,8.98,9.17,9.57,9.42,9.07,9.24,9.05
3YrReturns,10.74,12.39,12.26,8.74,8.06,11.09,7.02,10.57,8.33,4.23,10.29,11.4,6.63,12.77
3YrRisk,10,10.29,11.74,9.96,9.94,9.42,9.83,9.22,10.15,9.35,9.87,9.5,9.53,9.99
5YrReturns,10.99,12.98,11.57,10.02,10.01,11.77,9.12,11.39,9.94,6.95,10.97,11.64,8.77,12.59
5YrRisk,9.74,9.73,10.97,9.38,9.27,8.88,9.2,8.77,9.41,8.97,9.26,9.06,9.09,9.8
10YrReturns,11.4,10.56,11.65,10.65,11.07,11.1,10.61,11.02,11.82,8.68,8.66,10.69,10,10.44
10YrRisk,10.22,14.72,11.35,11.02,10.53,10.34,10.77,10.25,10.48,9.76,10.83,10.4,10.55,10.44
Total Return,1.51,1.24,1.46,1.45,1.54,1.47,1.46,1.48,1.57,1.27,1.22,1.49,1.38,1.28
Best_Month,7.5,10.91,15.81,9.65,9.88,9.65,8.93,9.65,8.93,7.62,8.97,9.65,8.16,8.61
Worst_Month,-11.38,-16.52,-11.38,-11.38,-9.36,-11.38,-9.36,-11.38,-9.36,-11.68,-11.38,-11.38,-9.36,-11.38
Best_Year,28.51,28.66,28.5,29.16,28.2,28.59,26.29,28.58,26.55,27.26,28.21,28.64,26.24,30.21
Worst_Year,-20.92,-42.87,-27.86,-22.13,-14.13,-20.41,-14.92,-17.07,-15.3,-18.67,-24.41,-20.39,-15.54,-28.91
model,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.5, 0.5, 0.0, 0.0]","[0.0, 0.5, 0.25, 0.25]","[0.0, 0.0, 0.5, 0.5]","[0.0, 0.0, 0.8, 0.2]","[0.0, 0.0, 0.2, 0.8]","[0.0, 0.0, 0.7, 0.3]","[0.0, 0.0, 0.3, 0.7]","[0.0, 0.5, 0.0, 0.5]","[0.0, 0.5, 0.5, 0.0]","[0.0, 0.0, 0.9, 0.1]","[0.0, 0.0, 0.1, 0.9]","[0.3, 0.0, 0.7, 0.0]"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,1.535,1.595,1.641,1.602,1.67,,,,,
,,,,,,,,,,,,,,
,,,,,0.81,1.18,0.71,1.15,0.82,,,,,
,,,,,,,,,,,,,,
,,,,,1.08,1.33,0.99,1.3,1.06,,,,,
,,,,,,,,,,,,,,
,,,,,1.05,1.07,0.99,1.08,1.13,,,,,
