Date,Average,bmSPY,EW
1/31/2001,-0.00083,,
2/28/2001,-0.00083,-0.095387566,-0.048803397
3/30/2001,-0.00083,-0.056037444,-0.053615975
4/30/2001,-0.00083,0.085440306,0.078887997
5/31/2001,-0.00083,-0.005605459,0.017511373
6/29/2001,-0.00083,-0.02382972,-0.03229355
7/31/2001,-0.00083,-0.010195668,-0.005457858
8/31/2001,-0.00083,-0.059332207,-0.048673829
9/28/2001,-0.00083,-0.081630655,-0.092705259
10/31/2001,-0.00083,0.013021771,0.014358611
11/30/2001,-0.00083,0.077977352,0.072696991
12/31/2001,-0.00083,0.00563917,0.018254255
1/31/2002,-0.00083,-0.009798693,-0.012428854
2/28/2002,0.016723848,-0.017936042,0.005972501
3/29/2002,0.032938449,0.033270634,0.046920576
4/30/2002,-0.010340379,-0.058155542,-0.043251004
5/31/2002,0.006459463,-0.005933552,-0.000121811
6/28/2002,-0.080405925,-0.073807859,-0.05568734
7/31/2002,-0.085985148,-0.078819356,-0.088007894
8/30/2002,0.007048727,0.006800543,0.008953531
9/30/2002,-0.081929497,-0.104851675,-0.088488126
10/31/2002,0.025145656,0.082283353,0.049706166
11/29/2002,0.038578761,0.061681188,0.048633324
12/31/2002,-0.022712535,-0.056569845,-0.030671907
1/31/2003,-0.024703369,-0.024594942,-0.02645472
2/28/2003,-0.007128001,-0.013478432,-0.011532717
3/31/2003,0.032454731,0.002139639,0.012378758
4/30/2003,0.017881014,0.084611522,0.06398707
5/30/2003,0.037237907,0.054836371,0.052826185
6/30/2003,0.023937897,0.010651478,0.012519876
7/31/2003,0.025517881,0.018027403,0.012269253
8/29/2003,0.025330234,0.020625781,0.020256519
9/30/2003,-0.024790358,-0.010905995,-0.004424616
10/31/2003,0.06149842,0.053526831,0.042783051
11/28/2003,0.014500954,0.010921035,0.013563082
12/31/2003,0.048795472,0.050312817,0.054086323
1/30/2004,0.001710492,0.019770174,0.013281833
2/27/2004,0.017612608,0.01357033,0.020762629
3/31/2004,-0.002498365,-0.013245302,-0.005308434
4/30/2004,-0.045509029,-0.01892122,-0.025584814
5/31/2004,0.006026814,0.017122957,0.01809738
6/30/2004,0.037306623,0.018501316,0.023751628
7/30/2004,-0.019963991,-0.032218597,-0.020766041
8/31/2004,0.028799936,0.002436022,0.014257206
9/30/2004,0.013812007,0.010037245,0.014892407
10/29/2004,0.00671821,0.012884411,0.017153743
11/30/2004,0.057967162,0.044517288,0.041687029
12/31/2004,0.009998426,0.030121583,0.027078533
1/31/2005,-0.029300493,-0.022421071,-0.020896991
2/28/2005,0.045994599,0.020903848,0.029675118
3/31/2005,-0.007155827,-0.018292773,-0.012092888
4/29/2005,-0.002804785,-0.01873517,-0.012786379
5/31/2005,0.018234631,0.032224795,0.026328529
6/30/2005,0.048283575,0.001514752,0.009453092
7/29/2005,0.05924096,0.038261403,0.040355704
8/31/2005,-0.012315166,-0.009374603,-0.009931369
9/30/2005,0.034927363,0.008025378,0.0110279
10/31/2005,-0.074528724,-0.023650693,-0.02141923
11/30/2005,0.029599601,0.043952647,0.033909068
12/30/2005,0.003737085,-0.001913524,0.005325851
1/31/2006,0.049854135,0.024014039,0.034257901
2/28/2006,-0.006857966,0.00572533,0.000135811
3/31/2006,0.011867925,0.016504218,0.015390987
4/28/2006,-0.000180063,0.012631371,0.009870992
5/31/2006,-0.033595501,-0.030120774,-0.021383814
6/30/2006,0.012937432,0.002608434,0.010830175
7/31/2006,0.014211789,0.004478325,0.005841533
8/31/2006,0.010515046,0.021822398,0.020599869
9/29/2006,0.002313595,0.027001231,0.015516271
10/31/2006,0.039288993,0.031516976,0.036085413
11/30/2006,0.023826508,0.019885159,0.024781643
12/29/2006,0.000673251,0.013371296,0.005333097
1/31/2007,0.025445319,0.015040381,0.0225542
2/28/2007,-0.010462522,-0.019617244,-0.008579673
3/30/2007,0.005611537,0.011588449,0.012067157
4/30/2007,0.024777955,0.04429574,0.034079023
5/31/2007,0.0215888,0.033920449,0.029765128
6/29/2007,-0.024282317,-0.014621148,-0.021547131
7/31/2007,-0.005936478,-0.031310182,-0.032535394
8/31/2007,0.006606161,0.012832981,0.016904265
9/28/2007,0.052704687,0.038714512,0.03814032
10/31/2007,0.033090815,0.013566489,0.018148809
11/30/2007,-0.044866107,-0.038732426,-0.033032085
12/31/2007,0.008930617,-0.011260551,-0.007762986
1/31/2008,-0.068498168,-0.060461805,-0.046432786
2/29/2008,0.009501756,-0.025842076,-0.018083805
3/31/2008,-0.002754003,-0.008942152,0.003297928
4/30/2008,-0.009204808,0.047662065,0.041160029
5/30/2008,0.017568093,0.015116869,0.019513481
6/30/2008,0.01103088,-0.083576044,-0.067562774
7/31/2008,-0.105470549,-0.00898614,-0.009123881
8/29/2008,0.003833272,0.015454129,0.014045221
9/30/2008,0.006949603,-0.094173852,-0.080735937
10/31/2008,0.010216668,-0.165186257,-0.16576728
11/28/2008,0.010222057,-0.069606658,-0.076343471
12/31/2008,0.004800958,0.009796068,0.024070257
1/30/2009,-0.005199662,-0.082114382,-0.081455369
2/27/2009,-0.002281101,-0.107448781,-0.111806145
3/31/2009,0.004164436,0.083310569,0.077099043
4/30/2009,-0.002480692,0.099346258,0.117282102
5/29/2009,-0.0002697,0.058453378,0.052117427
6/30/2009,-0.001773524,-0.000654851,-0.006816905
7/31/2009,0.033818102,0.074605717,0.073162901
8/31/2009,0.003261931,0.036939422,0.042189193
9/30/2009,0.001532312,0.03545735,0.036556092
10/30/2009,0.000528893,-0.019225313,-0.02216587
11/30/2009,0.063184071,0.061606778,0.05835952
12/31/2009,0.024099166,0.01910106,0.024311163
1/29/2010,-0.050950613,-0.036342592,-0.034317952
2/26/2010,0.044828622,0.031194986,0.030455374
3/31/2010,0.058316043,0.060879402,0.056625791
4/30/2010,0.029592858,0.01547016,0.02004489
5/31/2010,-0.080825652,-0.07945465,-0.06854477
6/30/2010,-0.07599264,-0.051740882,-0.046322943
7/30/2010,0.090910477,0.068300623,0.071113127
8/31/2010,-0.038253249,-0.044980572,-0.032135042
9/30/2010,0.061315873,0.089554693,0.073250417
10/29/2010,0.04206391,0.038202177,0.035100454
11/30/2010,-0.000673442,0,-0.000858788
12/31/2010,0.068951045,0.066852104,0.058048978
1/31/2011,0.028715995,0.023300163,0.018523823
2/28/2011,0.040823114,0.034737363,0.031799967
3/31/2011,0.004796469,0.000120275,0.002566892
4/29/2011,0.023848309,0.028961386,0.031350507
