,XLRE,XLB,XLI,XLY,XLP,XLE,XLF,XLU,XLV,XLK,XLC,SHY
2001-01-31,,,,,,,,,,,,
2001-02-28,,,,,,,,,,,,
2001-03-30,,,,,,,,,,,,
2001-04-30,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,
2001-06-29,,,,,,,,,,,,
2001-07-31,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,
2001-09-28,,,,,,,,,,,,
2001-10-31,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,
2001-12-31,,,,,,,,,,,,
2002-01-31,,,,,,,,,,,,
2002-02-28,,,,,,,,,,,,
2002-03-29,,,,,,,,,,,,
2002-04-30,,,,,,,,,,,,
2002-05-31,,,,,,,,,,,,
2002-06-28,,,,,,,,,,,,
2002-07-31,,,,,,,,,,,,
2002-08-30,,,,,,,,,,,,
2002-09-30,,,,,,,,,,,,
2002-10-31,,,,,,,,,,,,
2002-11-29,,,,,,,,,,,,
2002-12-31,,,,,0.24999999999999997,,,0.24999999999999997,0.5,,,
2003-01-31,,0.25,0.25,0.12499999999999999,0.12499999999999999,,,,0.25,,,
2003-02-28,,0.25,,0.25,0.25,,,,0.25,,,
2003-03-31,,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,
2003-04-30,,,,,0.1,0.8,,,0.1,,,
2003-05-30,,0.0,,,1.0,,,,0.0,,,
2003-06-30,,0.15384615384615383,,,0.15384615384615383,0.5384615384615384,,,0.15384615384615383,,,
2003-07-31,,0.19444444444444445,,,0.19444444444444445,0.5555555555555556,,,0.05555555555555558,,,
2003-08-29,,,,,0.22000000000000006,0.5000000000000001,0.13999999999999999,,0.13999999999999999,,,
2003-09-30,,0.11111111111111112,,0.11111111111111112,,0.6388888888888888,,,0.1388888888888889,,,
2003-10-31,,,,0.09090909090909088,,0.4545454545454545,0.09090909090909088,,0.18181818181818182,0.18181818181818182,,
2003-11-28,,0.19230769230769232,,,,0.5000000000000001,,,0.15384615384615383,0.15384615384615383,,
2003-12-31,,,,,,0.39999999999999997,,,0.39999999999999997,0.19999999999999996,,
2004-01-30,,0.5384615384615383,,,,0.1538461538461539,,,0.1538461538461539,0.1538461538461539,,
2004-02-27,,0.2592592592592592,,,,0.0740740740740741,,,0.40740740740740744,0.2592592592592592,,
2004-03-31,,0.2777777777777778,,,,0.2222222222222222,,,0.2222222222222222,0.2777777777777778,,
2004-04-30,,0.25,,0.25,,,0.25,,,0.25,,
2004-05-31,,0.22222222222222227,,0.22222222222222227,,0.027777777777777794,0.027777777777777794,0.27777777777777785,,0.22222222222222227,,
2004-06-30,,0.20754716981132074,,0.20754716981132074,,0.0188679245283019,0.0188679245283019,0.16981132075471692,0.16981132075471692,0.20754716981132074,,
2004-07-30,,0.11111111111111109,0.2962962962962963,0.11111111111111109,,,0.11111111111111109,,0.07407407407407407,0.2962962962962963,,
2004-08-31,,0.08333333333333334,0.25,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,,0.08333333333333334,0.25,,
2004-09-30,,,,0.03448275862068965,0.3103448275862069,,0.3103448275862069,,0.03448275862068965,0.3103448275862069,,
2004-10-29,,0.04999999999999998,0.04999999999999998,0.2,0.3,,0.04999999999999998,,0.3,0.04999999999999998,,
2004-11-30,,,,,0.15384615384615383,,0.15384615384615383,,0.5384615384615384,0.15384615384615383,,
2004-12-31,,0.07894736842105263,0.07894736842105263,,0.07894736842105263,0.3421052631578947,,,0.3421052631578947,0.07894736842105263,,
2005-01-31,,0.07999999999999999,0.07999999999999999,0.12000000000000002,,0.27999999999999997,0.07999999999999999,,0.27999999999999997,0.07999999999999999,,
2005-02-28,,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693,,
2005-03-31,,0.1836734693877551,0.020408163265306117,0.1836734693877551,,0.1836734693877551,0.1836734693877551,0.22448979591836737,,0.020408163265306117,,
2005-04-29,,0.11999999999999997,0.11999999999999997,0.31999999999999995,0.07999999999999999,0.11999999999999997,0.11999999999999997,,,0.11999999999999997,,
2005-05-31,,0.27999999999999997,0.08,0.27999999999999997,0.12,0.08,0.08,,,0.08,,
2005-06-30,,0.27941176470588236,0.13235294117647062,0.27941176470588236,0.014705882352941178,0.161764705882353,,,,0.13235294117647062,,
2005-07-29,,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,,,,,,
2005-08-31,,0.2753623188405797,0.13043478260869568,0.13043478260869568,0.13043478260869568,0.1594202898550725,0.1594202898550725,0.014492753623188408,,,,
2005-09-30,,0.24242424242424243,0.09090909090909091,0.24242424242424243,,0.2121212121212121,0.2121212121212121,,,,,
2005-10-31,,0.08333333333333333,0.08333333333333333,0.25,,0.25,,0.08333333333333333,0.25,,,
2005-11-30,,,0.11111111111111112,0.3333333333333333,,0.11111111111111112,,0.11111111111111112,0.3333333333333333,,,
2005-12-30,,,0.0731707317073171,0.17073170731707316,,0.17073170731707316,,0.41463414634146345,,0.17073170731707316,,
2006-01-31,,,0.0681818181818182,0.1590909090909091,0.0681818181818182,0.1590909090909091,,0.38636363636363635,,0.1590909090909091,,
2006-02-28,,0.12499999999999997,,0.05357142857142858,0.12499999999999997,0.4107142857142857,,0.23214285714285718,,0.05357142857142858,,
2006-03-31,,0.13333333333333336,,,0.13333333333333336,0.3666666666666667,,0.3666666666666667,,,,
2006-04-28,,0.046875000000000014,,,0.20312500000000003,0.26562500000000006,,0.26562500000000006,0.10937499999999999,0.10937499999999999,,
2006-05-31,,0.033333333333333326,,0.13333333333333333,,0.19999999999999998,0.19999999999999998,0.033333333333333326,0.19999999999999998,0.19999999999999998,,
2006-06-30,,0.18181818181818182,,0.12121212121212123,,0.0303030303030303,0.18181818181818182,0.12121212121212123,0.18181818181818182,0.18181818181818182,,
2006-07-31,,0.2368421052631579,0.10526315789473685,0.026315789473684202,,0.026315789473684202,0.10526315789473685,0.15789473684210525,0.10526315789473685,0.2368421052631579,,
2006-08-31,,0.1323529411764706,0.1323529411764706,0.014705882352941173,,0.014705882352941173,0.1323529411764706,0.16176470588235298,0.1323529411764706,0.27941176470588236,,
2006-09-29,,0.28124999999999994,0.125,,,0.125,,0.18749999999999997,,0.28124999999999994,,
2006-10-31,,0.4,0.2,,,0.2,0.0,,,0.2,,
2006-11-30,,0.3076923076923077,0.1153846153846154,,0.1153846153846154,0.1153846153846154,0.07692307692307691,,0.2692307692307692,,,
