,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2001-01-31,,,,,,,,,,,
2001-02-28,,,,,,,,,,,
2001-03-30,,,,,,,,,,,
2001-04-30,,,,,,,,,,,
2001-05-31,,,,,,,,,,,
2001-06-29,,,,,,,,,,,
2001-07-31,,,,,,,,,,,
2001-08-31,,,,,,,,,,,
2001-09-28,,,,,,,,,,,
2001-10-31,,,,,,,,,,,
2001-11-30,,,,,,,,,,,
2001-12-31,,,,,,,,,,,
2002-01-31,0.4,,,,,,0.14545454545454545,,,,0.4545454545454546
2002-02-28,0.16666666666666669,,,,,,0.13333333333333336,,,0.19999999999999998,0.5
2002-03-29,0.10980392156862746,,,,,,,,,0.46274509803921565,0.42745098039215684
2002-04-30,0.05167173252279637,,,0.0790273556231003,,,,,,0.5714285714285713,0.2978723404255319
2002-05-31,0.060240963855421686,,0.060240963855421686,,,,,,,0.5753012048192772,0.3042168674698795
2002-06-28,0.2558139534883721,,0.023255813953488365,,,,,,,0.46511627906976744,0.2558139534883721
2002-07-31,0.05468750000000001,,,0.26562499999999994,,,0.1796875,,,0.49999999999999994,
2002-08-30,0.13684210526315788,,,0.31315789473684214,,,,,,0.5499999999999999,
2002-09-30,0.09780439121756487,,,0.08183632734530938,,,0.11776447105788425,,,0.4411177644710579,0.26147704590818366
2002-10-31,0.21379310344827587,,,0.19999999999999998,,,,,,0.3862068965517241,0.19999999999999998
2002-11-29,0.20229007633587792,,,0.10687022900763359,,0.16793893129770995,,,,0.416030534351145,0.10687022900763359
2002-12-31,,,,,,,0.5,,,0.5,
2003-01-31,,,0.05714285714285714,0.4244897959183674,,0.09387755102040816,,,,0.4244897959183674,
2003-02-28,,,0.2149122807017544,,,0.5701754385964912,,,,0.2149122807017544,
2003-03-31,0.13414634146341467,,0.1951219512195122,,,0.5,,,,0.17073170731707318,
2003-04-30,0.4857142857142857,,,,,,,,0.4857142857142857,0.028571428571428574,
2003-05-30,,,0.07216494845360824,0.07216494845360824,,,,,0.8556701030927835,,
2003-06-30,,,,0.13871635610766045,,0.2153209109730849,,,0.40165631469979296,0.028985507246376798,0.2153209109730849
2003-07-31,0.013333333333333326,,,0.16666666666666669,0.21333333333333332,0.21333333333333332,,,,,0.3933333333333333
2003-08-29,0.15702479338842973,,,,0.3429752066115702,0.15702479338842973,,,,,0.3429752066115702
2003-09-30,0.01526717557251909,,,0.01526717557251909,0.19083969465648856,0.41984732824427484,,,0.16793893129770993,,0.19083969465648856
2003-10-31,0.008620689655172407,,,0.008620689655172407,0.24137931034482757,0.5,,,,,0.24137931034482757
2003-11-28,0.14965986394557826,,,0.034013605442176874,0.3333333333333333,0.35374149659863946,,,,,0.12925170068027209
2003-12-31,0.29518072289156627,,,0.06626506024096383,0.29518072289156627,0.2771084337349397,,,,,0.06626506024096383
2004-01-30,0.19,,0.08,,0.19,0.46,,,0.08,,
2004-02-27,0.26857142857142857,,0.14285714285714288,0.26857142857142857,,,,,0.32,,
2004-03-31,0.1707317073170731,,0.28048780487804875,0.28048780487804875,,,,,,,0.2682926829268293
2004-04-30,,,0.7341040462427746,,,,0.2658959537572254,,,,
2004-05-31,,,0.674757281553398,,0.3252427184466019,,,,,,
2004-06-30,,,0.6024096385542169,,0.3132530120481928,,0.08433734939759034,,,,
2004-07-30,0.19117647058823528,,0.3676470588235294,,0.3897058823529412,,,,0.05147058823529414,,
2004-08-31,,,0.319327731092437,,0.6596638655462185,,,,0.021008403361344512,,
2004-09-30,0.3473053892215569,,0.16766467065868262,,0.32934131736526945,,,,0.15568862275449102,,
2004-10-29,0.583596214511041,,0.044164037854889586,,0.29968454258675076,,,,0.07255520504731862,,
2004-11-30,0.3929411764705882,,0.20235294117647057,,0.20235294117647057,,,,0.20235294117647057,,
2004-12-31,0.4406779661016949,,0.01694915254237287,,0.01694915254237287,,,,0.4915254237288136,,0.03389830508474577
2005-01-31,0.04385964912280702,,0.12280701754385964,,,,,,0.8333333333333333,,
2005-02-28,0.06666666666666668,,0.4666666666666667,,,,,,0.4666666666666667,,
2005-03-31,0.1908831908831909,,0.06552706552706554,,0.1908831908831909,,,,0.5527065527065528,,
2005-04-29,,,0.017006802721088426,,,,,,0.6292517006802721,0.35374149659863946,
2005-05-31,,,0.1842105263157895,,,,,,0.40789473684210525,0.40789473684210525,
2005-06-30,,,0.17241379310344826,,,,,,0.8275862068965517,,
2005-07-29,,,0.25,,,,,,0.5833333333333333,0.16666666666666669,
2005-08-31,,,0.2406779661016949,,,0.09491525423728817,,,0.4847457627118644,0.17966101694915249,
2005-09-30,,,0.5154639175257733,,,,,,0.4845360824742268,,
2005-10-31,,,0.521551724137931,0.17241379310344826,,0.1336206896551724,,,0.17241379310344826,,
2005-11-30,,,0.3924050632911393,0.46835443037974683,,0.08860759493670889,,,0.050632911392405076,,
2005-12-30,0.2664233576642336,,0.20072992700729925,0.2664233576642336,0.2664233576642336,,,,,,
2006-01-31,0.36231884057971014,,0.3188405797101449,0.3188405797101449,,,,,,,
2006-02-28,0.13553113553113552,,,0.4322344322344322,0.4322344322344322,,,,,,
2006-03-31,0.3412073490813649,,0.08398950131233594,0.10498687664041995,0.3412073490813649,0.12860892388451445,,,,,
2006-04-28,0.35654596100278557,,0.1309192200557103,0.1309192200557103,0.38161559888579394,,,,,,
2006-05-31,0.08841463414634146,,0.3628048780487805,0.18597560975609753,0.3628048780487805,,,,,,
2006-06-30,0.1978798586572438,,0.5159010600706714,,0.1978798586572438,,0.08833922261484099,,,,
2006-07-31,,,0.368,0.11199999999999999,,,0.15199999999999997,,0.368,,
2006-08-31,0.11047619047619046,,0.2647619047619047,0.21523809523809523,,,0.1276190476190476,,0.2819047619047619,,
2006-09-29,,,,0.10454545454545455,,,0.2636363636363636,,0.6318181818181818,,
2006-10-31,,,,,,,0.2636363636363636,,0.6727272727272728,,0.06363636363636363
2006-11-30,0.18811881188118812,,,,,0.21039603960396036,,,0.38861386138613857,,0.21287128712871284
2006-12-29,,,,0.02209944751381216,,0.4751381215469614,,,0.4751381215469614,,0.027624309392265196
2007-01-31,0.18811881188118815,,,0.23514851485148514,,0.3886138613861386,,,,,0.18811881188118815
2007-02-28,0.4886363636363636,,,,,,,,0.022727272727272728,,0.4886363636363636
2007-03-30,0.660377358490566,,0.018867924528301886,,,,,,0.32075471698113206,,
2007-04-30,0.46236559139784944,,0.026881720430107534,,,,,,0.510752688172043,,
