,cashModel,noCashModel,portfolio,bmSPY,EW
AnnRet(%),9.6,11.1,12.2,6.6000000000000005,7.000000000000001
AnnRisk(%),11.492402311894658,14.307864687406207,12.0313512560067,14.19970651931712,12.745748338544253
AnnSharpe,0.805622780243703,0.7507433529585323,0.9857631353614744,0.4406541901935009,0.5202242246644712
Avg_DD(%),2.495,3.606,2.37,5.053,4.253
MaxDD(%),18.281,40.682,18.666,46.322,42.535
WinRate(%),56.89999999999999,57.3,56.699999999999996,64.9,66.4
Gain_to_Loss,1.53,1.46,1.742,0.794,0.801
RoMDD,0.527,0.273,0.656,0.143,0.165
Sortino(5%),0.9097107710825721,0.8579554792167926,1.132968613462252,0.4832795604009884,0.5618028161051556
Sterling_Ratio(over MDD),0.527,0.273,0.656,0.143,0.165
beta,0.5791810999543743,0.8010654209241619,0.6070946176493065,1.0,0.8855113470478764
ann_alpha,5.545977110454237,5.714991377712542,7.908174516120736,0.0,0.96899525771732
R_squared,0.5092971351324173,0.6307719843396993,0.5125613605491284,1.0,0.9726403981990802
p_value,0.005987977131851918,0.008666515797930516,0.00021781104013344192,5.024379881133022e-78,0.05996257346684173
tvalue,2.776831081558362,2.6499318949429167,3.763326131746322,-30.1405886459631,1.8913355694524545
info_ratio,0.06976064577167305,0.13122836649714267,0.13741690689182406,0.0,0.016640685519934105
1YrReturns,-0.39904469673726073,7.493646914403018,4.007006832657889,-2.427370121433148,-2.347210634157537
1YrRisk,16.5998438785629,17.400545738352886,16.426524032113203,16.322091149758073,14.270303930096784
3YrReturns,13.494954320373154,16.84508092918746,15.112816386579219,13.92334952983525,12.293395952614738
3YrRisk,11.519465077933425,12.20368127602518,11.775865703070615,11.083685217223696,9.691950740718651
5YrReturns,11.11391671017472,13.448843379805453,12.293526504398656,10.837224248916822,9.214512825733244
5YrRisk,11.927214474553095,12.74465306087553,12.217857358715206,11.213712124488119,9.764056592557738
10YrReturns,10.196406186196194,14.135878616319397,14.261983020268243,14.860490767843704,13.294528255638461
10YrRisk,12.27695507124167,14.774880526968776,12.923466441887943,13.442390955096176,12.014431137137233
Total Return,1.7385737833296129,2.0431532558964527,2.1646392480674383,1.311403009826207,1.3384578632054265
Best_Month,14.329917936491194,16.985238155589453,14.329917936491194,10.91471943621043,10.142051210489353
Worst_Month,-10.391943516646364,-18.19339759258164,-10.391943516646364,-16.518658370220287,-15.110243014325075
Best_Year,29.277230660820475,29.00797690541321,28.09612506254162,28.66005932775738,24.86288761927168
Worst_Year,-10.003753825480901,-26.711734465959765,-10.003753825480901,-42.87456237729466,-36.104559308461994
