,cashModel,noCashModel,portfolio,bmSPY,EW
AnnRet(%),7.000000000000001,8.6,7.7,6.6000000000000005,7.199999999999999
AnnRisk(%),12.312229395732336,13.243059754447719,12.795004181544838,14.19970651931712,12.9289517155461
AnnSharpe,0.5352247658108468,0.6228777325629847,0.5725120566885976,0.4406541901935009,0.5276674964856495
Avg_DD(%),4.355,4.341,4.489,5.053,4.258
MaxDD(%),24.99,34.143,24.99,46.322,42.629
WinRate(%),64.0,60.199999999999996,62.4,64.9,65.9
Gain_to_Loss,0.897,1.113,0.982,0.794,0.823
RoMDD,0.279,0.253,0.308,0.143,0.169
Sortino(5%),0.5668001119629263,0.6691268895811183,0.6129124924080236,0.4832795604009884,0.5722980158515021
Sterling_Ratio(over MDD),0.279,0.253,0.308,0.143,0.169
beta,0.6790464926052109,0.7892625058471557,0.6969634078344873,1.0,0.8980669926020326
ann_alpha,2.3558935968231998,3.265194076224809,2.9880807929340447,0.0,1.0853468195190397
R_squared,0.6120192848991335,0.7150591202913813,0.5999952074119603,1.0,0.9723709444532751
p_value,0.21013565734818906,0.061242944762310396,0.13240250451567956,5.024379881133022e-78,0.03900310855877927
tvalue,1.257057874858578,1.8818741096067497,1.5105933401769378,-30.1405886459631,2.0772233704505303
info_ratio,0.0018642202437398228,0.06474583250564946,0.023493562241786316,0.0,0.0397950945430752
1YrReturns,-6.829411828792676,-4.889149127025727,-5.942722240039977,-2.427370121433148,-2.3200693956307195
1YrRisk,15.775121271499978,16.428087269381017,15.819345661482167,16.322091149758073,14.287788936126375
3YrReturns,10.087098848923315,15.346040232519286,13.767002706111642,13.92334952983525,12.418043998953543
3YrRisk,11.435059009643945,12.606019504474306,12.119223458596721,11.083685217223696,9.707687408266956
5YrReturns,7.85863223276031,12.396037665969907,10.381106680678688,10.837224248916822,9.380886993325266
5YrRisk,10.987948617780576,11.953342393577497,11.62426081672015,11.213712124488119,9.787070590820026
10YrReturns,9.547228420238207,13.917060901228751,11.36011898406335,14.860490767843704,13.56805466832316
10YrRisk,12.285114256682885,13.548580929107121,13.023767577392315,13.442390955096176,12.022532714796093
Total Return,1.3215517488234887,1.6146807622348083,1.4523691831415833,1.311403009826207,1.374361363197732
Best_Month,8.42365475699999,9.482944382904233,9.482944382904233,10.91471943621043,10.15127233169419
Worst_Month,-10.952285713336543,-12.127775664856305,-10.952285713336543,-16.518658370220287,-15.448810150396236
Best_Year,30.62660027516135,30.7506976768739,30.7506976768739,28.66005932775738,25.12788960417834
Worst_Year,-19.182795488450296,-27.510994967719437,-19.182795488450296,-42.87456237729466,-35.95586286347145
