,Average,bmSPY,EW
AnnRet(%),7.199999999999999,6.2,7.3
AnnRisk(%),10.508539287111152,14.247132986212927,12.996911187504995
AnnSharpe,0.6557573274840611,0.4115348685475944,0.5345334106551164
Avg_DD(%),3.963,5.284,4.497
MaxDD(%),22.02,46.322,44.554
WinRate(%),57.8,63.800000000000004,65.7
Gain_to_Loss,1.291,0.816,0.831
RoMDD,0.327,0.133,0.163
Sortino(5%),0.6789894491731259,0.45215982901002183,0.5792622871097296
Sterling_Ratio(over MDD),0.327,0.133,0.163
beta,0.46211330444699167,0.9999999999999998,0.8910483453098623
ann_alpha,4.1944747897531665,0.0,1.5948293289742344
R_squared,0.38689060252633456,1.0,0.9536597431852908
p_value,0.03981578479541859,0.0009290561306448043,0.019802022670026724
tvalue,2.068583331055023,3.359180690918672,2.3481301785222293
info_ratio,0.013070137202903263,0.0,0.07706511888113626
1YrReturns,12.80773677991407,16.136712992611415,11.673909491224022
1YrRisk,9.28143968836555,8.950113720776855,7.428229540356844
3YrReturns,8.511879204686279,12.388680764416971,11.087824066555507
3YrRisk,9.003811774727884,10.292786569715563,8.843553183759214
5YrReturns,10.427592767407612,12.983990842800065,11.180411871257823
5YrRisk,8.671734454346995,9.73253728284337,8.305151093656248
10YrReturns,10.035106471141875,10.564702711135055,9.59045455109717
10YrRisk,9.94440659780649,14.719132512782295,13.827306842475481
Total Return,1.3252918236057136,1.2366553540446064,1.3864113108851837
Best_Month,9.005230822951601,10.914713010345256,11.728210191828262
Worst_Month,-11.424074928300797,-16.518625676257393,-16.57672797196878
Best_Year,26.079447766177783,28.660059746580323,25.883315290724536
Worst_Year,-14.839335853594376,-42.87458516954188,-36.196301696085506
