,Average,bmSPY,EW
AnnRet(%),8.4,6.2,7.9
AnnRisk(%),13.151754967700342,14.247132986212927,14.128961700651127
AnnSharpe,0.6116406220296589,0.4115348685475944,0.5362091937795114
Avg_DD(%),4.51,5.284,4.854
MaxDD(%),41.905,46.322,48.184
WinRate(%),58.3,63.800000000000004,65.2
Gain_to_Loss,1.215,0.816,0.851
RoMDD,0.2,0.133,0.164
Sortino(5%),0.648548817892529,0.45215982901002183,0.5888851290810813
Sterling_Ratio(over MDD),0.2,0.133,0.164
beta,0.7455281518348318,0.9999999999999998,0.9687117405855126
ann_alpha,3.673243258352521,0.0,1.821441757038622
R_squared,0.6481724945262565,1.0,0.9541252917917639
p_value,0.05643483005465921,0.0009290561306448043,0.014030167495180837
tvalue,1.9183069908322254,3.359180690918672,2.477325677057182
info_ratio,0.06415745566086367,0.0,0.15119527624613688
1YrReturns,16.483208939116878,16.136712992611415,12.91333275171378
1YrRisk,9.414811633387263,8.950113720776855,8.190843677473246
3YrReturns,14.139341087411772,12.388680764416971,12.18099426850614
3YrRisk,10.8832664461496,10.292786569715563,9.744957966759427
5YrReturns,13.495672155889427,12.983990842800065,12.271611357964506
5YrRisk,10.242341343465787,9.73253728284337,9.147618588108426
10YrReturns,11.15833506527315,10.564702711135055,10.354969065962738
10YrRisk,14.161136190348438,14.719132512782295,15.236951156482311
Total Return,1.5714541726700182,1.2366553540446064,1.5173405338099493
Best_Month,9.323976292944495,10.914713010345256,12.917538131996182
Worst_Month,-18.19518910172919,-16.518625676257393,-18.34486744998908
Best_Year,30.711347828442488,28.660059746580323,28.43553240987734
Worst_Year,-36.25368814888874,-42.87458516954188,-40.46141981065959
