,SHY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2001-01-31,,,,,,,,,,,,
2001-02-28,,,,,,,,,,,,
2001-03-30,,,,,,,,,,,,
2001-04-30,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,
2001-06-29,,,,,,,,,,,,
2001-07-31,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,
2001-09-28,,,,,,,,,,,,
2001-10-31,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,
2001-12-31,,,,,,,,,,,,
2002-01-31,,,,,,,,,,,,
2002-02-28,,,,,,,,,,,,
2002-03-29,,,,,,,,,,,,
2002-04-30,,,,,,,,,,,,
2002-05-31,,,,,,,,,,,,
2002-06-28,,,,,,,,,,,,
2002-07-31,,,,,,,,,,,,
2002-08-30,,,,,,,,,,,,
2002-09-30,,,,,,,,,,,,
2002-10-31,,,,,,,,,,,,
2002-11-29,,,,,,,,,,,,
2002-12-31,,,,,,,,0.24999999999999997,,0.24999999999999997,0.5,
2003-01-31,,0.33333333333333337,,,,0.33333333333333337,,0.16666666666666666,,,,0.16666666666666666
2003-02-28,,0.25,,,,,,0.25,,,0.25,0.25
2003-03-31,,,,0.3333333333333333,,,,0.3333333333333333,,,0.3333333333333333,
2003-04-30,,,,0.8,,,,0.1,,,0.1,
2003-05-30,,0.0,,,,,,1.0,,,0.0,
2003-06-30,,0.15384615384615383,,0.5384615384615384,,,,0.15384615384615383,,,0.15384615384615383,
2003-07-31,,0.19444444444444445,,0.5555555555555556,,,,0.19444444444444445,,,0.05555555555555558,
2003-08-29,,,,0.5,0.13999999999999999,,,0.22000000000000003,,,0.13999999999999999,
2003-09-30,,0.11111111111111113,,0.638888888888889,,,,,,,0.13888888888888892,0.11111111111111113
2003-10-31,,,,0.4545454545454545,0.09090909090909088,,0.18181818181818182,,,,0.18181818181818182,0.09090909090909088
2003-11-28,,0.19230769230769235,,0.5000000000000001,,,0.15384615384615385,,,,0.15384615384615385,
2003-12-31,,,,0.39999999999999997,,,0.19999999999999996,,,,0.39999999999999997,
2004-01-30,,0.5384615384615383,,0.15384615384615388,,,0.15384615384615388,,,,0.15384615384615388,
2004-02-27,,0.25925925925925924,,0.07407407407407411,,,0.25925925925925924,,,,0.4074074074074075,
2004-03-31,,0.2777777777777778,,0.2222222222222222,,,0.2777777777777778,,,,0.2222222222222222,
2004-04-30,,0.25,,,0.25,,0.25,,,,,0.25
2004-05-31,,0.2222222222222222,,0.02777777777777779,0.02777777777777779,,0.2222222222222222,,,0.2777777777777778,,0.2222222222222222
2004-06-30,,0.20754716981132074,,0.0188679245283019,0.0188679245283019,,0.20754716981132074,,,0.16981132075471692,0.16981132075471692,0.20754716981132074
2004-07-30,,0.11111111111111112,,,0.11111111111111112,0.29629629629629634,0.29629629629629634,,,,0.07407407407407408,0.11111111111111112
2004-08-31,,0.08333333333333334,,0.08333333333333334,0.08333333333333334,0.25,0.25,0.08333333333333334,,,0.08333333333333334,0.08333333333333334
2004-09-30,,,,,0.31034482758620696,,0.31034482758620696,0.31034482758620696,,,0.03448275862068965,0.03448275862068965
2004-10-29,,0.04999999999999999,,,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.3,,,0.3,0.2
2004-11-30,,,,,0.15384615384615383,,0.15384615384615383,0.15384615384615383,,,0.5384615384615384,
2004-12-31,,0.07894736842105263,,0.3421052631578947,,0.07894736842105263,0.07894736842105263,0.07894736842105263,,,0.3421052631578947,
2005-01-31,,0.08,,0.28,0.08,0.08,0.08,,,,0.28,0.12000000000000005
2005-02-28,,0.07692307692307693,,,0.23076923076923078,0.07692307692307693,0.07692307692307693,,,0.23076923076923078,0.23076923076923078,0.07692307692307693
2005-03-31,,0.1836734693877551,,0.1836734693877551,0.1836734693877551,0.02040816326530612,0.02040816326530612,,,0.22448979591836737,,0.1836734693877551
2005-04-29,,0.12,,0.12,0.12,0.12,0.12,0.08,,,,0.32
2005-05-31,,0.27999999999999997,,0.08,0.08,0.08,0.08,0.11999999999999997,,,,0.27999999999999997
2005-06-30,,0.2794117647058823,,0.16176470588235295,,0.13235294117647056,0.13235294117647056,0.014705882352941176,,,,0.2794117647058823
2005-07-29,,0.33333333333333337,,0.11111111111111112,,0.11111111111111112,,0.11111111111111112,,,,0.33333333333333337
2005-08-31,,0.27536231884057966,,0.15942028985507248,0.15942028985507248,0.13043478260869565,,0.13043478260869565,,0.014492753623188406,,0.13043478260869565
2005-09-30,,0.24242424242424243,,0.2121212121212121,0.2121212121212121,0.09090909090909091,,,,,,0.24242424242424243
2005-10-31,,0.08333333333333333,,0.25,,0.08333333333333333,,,,0.08333333333333333,0.25,0.25
2005-11-30,,,,0.11111111111111112,,0.11111111111111112,,,,0.11111111111111112,0.3333333333333333,0.3333333333333333
2005-12-30,,,,0.17073170731707316,,0.0731707317073171,0.17073170731707316,,,0.41463414634146345,,0.17073170731707316
2006-01-31,,,,0.1590909090909091,,0.0681818181818182,0.1590909090909091,0.0681818181818182,,0.38636363636363635,,0.1590909090909091
2006-02-28,,0.12499999999999997,,0.4107142857142857,,,0.05357142857142858,0.12499999999999997,,0.23214285714285718,,0.05357142857142858
2006-03-31,,0.13333333333333336,,0.3666666666666667,,,,0.13333333333333336,,0.3666666666666667,,
2006-04-28,,0.046875000000000014,,0.26562500000000006,,,0.10937499999999999,0.20312500000000003,,0.26562500000000006,0.10937499999999999,
2006-05-31,,0.033333333333333326,,0.19999999999999998,0.19999999999999998,,0.19999999999999998,,,0.033333333333333326,0.19999999999999998,0.13333333333333333
2006-06-30,,0.18181818181818182,,0.0303030303030303,0.18181818181818182,,0.18181818181818182,,,0.12121212121212123,0.18181818181818182,0.12121212121212123
2006-07-31,,0.23684210526315794,,0.026315789473684206,0.10526315789473686,0.10526315789473686,0.23684210526315794,,,0.15789473684210528,0.10526315789473686,0.026315789473684206
2006-08-31,,0.1323529411764706,,0.014705882352941176,0.1323529411764706,0.1323529411764706,0.27941176470588236,,,0.16176470588235295,0.1323529411764706,0.014705882352941176
2006-09-29,,0.28125,,0.12500000000000003,,0.12500000000000003,0.28125,,,0.1875,,
2006-10-31,,0.4,,0.2,0.0,0.2,0.2,,,,,
2006-11-30,,0.3076923076923077,,0.1153846153846154,0.07692307692307691,0.1153846153846154,,0.1153846153846154,,,0.2692307692307692,
2006-12-29,,0.14285714285714288,,0.32142857142857145,0.21428571428571427,0.03571428571428571,0.14285714285714288,0.14285714285714288,,,,
