Date,AAP,AMZN,APTV,AZO,BBY,BKNG,BWA,CCL,CMG,CPRI,DG,DHI,DLTR,DRI,EBAY,EXPE,F,FL,GM,GPC,GPS,GRMN,HAS,HBI,HD,HLT,HOG,HRB,JWN,KMX,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,MGM,MHK,NCLH,NKE,NWL,ORLY,PHM,PVH,RCL,RL,ROST,SBUX,TGT,TIF,TJX,TPR,TSCO,UA,UAA,ULTA,VFC,WHR,WYNN,YUM,XLY
1/2/1998,,4.9583,,28.81,2.8931,,5.2304,16.7991,,,,2.6137,5.7689,3.0485,,,13.3629,13.4019,,16.5719,10.8288,,13.0989,,13.3302,,9.7442,6.055,8.8802,4.7815,12.8972,4.5799,10.5385,8.1912,,4.6556,14.4335,9.9945,20.3323,14.4189,7.3058,22.13,,3.8232,23.9192,6.1875,4.5665,12.3897,18.7787,20.5013,1.7921,2.0321,11.8892,6.7928,1.6498,,0.8375,,,,6.7239,31.9829,,3.742,
1/5/1998,,4.75,,28.13,3.0322,,5.2243,16.9907,,,,2.5662,5.6667,3.0976,,,13.4322,13.7319,,16.7244,10.9651,,13.2816,,13.1457,,9.5908,5.8579,8.9759,4.6875,13.0756,4.6035,10.4616,8.3093,,4.6241,14.2869,10.0656,19.7291,14.3796,7.1269,21.56,,4.0856,23.9865,6.4075,4.7008,12.2311,18.6213,21.0395,1.7887,2.0051,12.0407,6.8861,1.6812,,0.8375,,,,6.7797,32.4632,,3.629,
1/6/1998,,4.8383,,27.38,3.0124,,5.2425,16.6817,,,,2.652,5.6489,3.1131,,,13.2079,13.6923,,16.6014,10.8876,,13.8339,,13.23,,9.366,5.6185,9.07,4.625,12.8137,4.6597,10.4765,8.2407,,4.6065,14.1572,9.9298,20.1976,14.4189,7.0252,21.69,,4.0799,23.4984,6.9075,4.6675,12.2311,18.353,20.8259,1.7673,1.9273,12.0738,7.0486,1.6343,,0.8375,,,,6.743,32.7597,,3.4761,
1/7/1998,,4.7817,,27.25,3.3201,,5.2618,17.1451,,,,2.7286,5.6859,3.1466,,,13.05,13.4019,,16.508,11.0426,,13.4685,,13.3735,,9.4766,5.7813,8.6389,4.25,12.8383,4.6942,10.4294,8.1912,,4.5082,14.1368,9.9751,19.5244,14.3039,7.1147,21.63,,4.0446,23.3581,6.9375,4.6073,12.0637,18.2422,20.6124,1.7549,1.8733,11.8892,7.1662,1.6408,,0.7949,,,,6.7885,31.9059,,3.4684,
1/8/1998,,4.615,,27.06,3.3599,,5.1919,17.1853,,,,2.7669,5.6756,3.1466,,,12.4795,13.7319,,16.7834,11.4672,,13.4133,,13.3166,,9.2768,5.7389,8.9,3.9065,12.9807,4.7958,10.4616,8.1912,,4.4522,14.7747,9.8749,19.3897,14.0405,7.013,21.38,,4.0264,23.9192,7,4.5998,11.6759,18.2422,20.6124,1.7857,1.9306,11.9989,7.1419,1.6812,,0.7949,,,,6.7518,32.0956,,3.3322,
1/9/1998,,4.2608,,26,3.2406,,5.0219,16.4501,,,,2.6903,5.4578,3.1311,,,12.1167,12.9928,,16.326,11.1573,,12.8907,,12.8472,,9.3446,5.5158,8.8423,3.7815,12.5764,4.716,10.5087,8.0007,,4.3362,14.263,9.3058,19.1905,13.7378,6.9114,20.5,,3.7697,23.0046,6.765,4.4053,11.0679,17.8845,20.023,1.7921,1.8971,11.661,6.8264,1.6093,,0.7915,,,,6.4671,30.9453,,3.34,
1/12/1998,,4.3025,,25.56,3.4545,,5.0219,16.4315,,,,2.7868,5.5926,3.1311,,,12.5321,12.4979,,16.5375,11.2348,,13.1541,,13.2459,,9.3196,5.6787,8.6282,3.969,12.7301,4.6706,10.6005,8.0502,,4.3235,14.2016,9.0859,19.9607,14.0405,6.8362,20.88,,3.8117,23.1112,6.75,4.4998,11.2882,18.0633,19.6471,1.7857,1.8971,11.8561,6.8973,1.5624,,0.7949,,,,6.6329,29.9432,,3.3567,
1/13/1998,,4.6458,,24.31,3.4545,,5.1484,16.2184,,,,2.8925,5.7407,3.2266,,,13.05,12.6629,,16.7539,11.6625,,13.7277,,13.4738,,9.2554,5.7211,8.0271,3.875,12.9086,4.716,10.5236,8.1683,,4.4345,14.6485,9.3607,20.4346,14.2676,6.887,22.19,,3.9071,23.5993,6.7825,4.5998,11.0679,18.2851,19.8607,1.8045,1.9203,12.0965,7.0262,1.6592,,0.7807,,,,6.6872,31.9474,,3.3567,
1/14/1998,,4.875,,25.44,3.5436,,5.2304,16.3728,,,,2.9691,5.5556,3.2602,,,13.4322,13.1974,,16.7244,11.6811,,13.7532,,13.6014,,9.3196,5.7307,7.7417,3.844,12.92,4.8067,10.6773,8.2636,,4.5136,14.4984,9.5612,21.0756,14.2464,7.1025,22.88,,3.931,23.2851,7.11,4.6739,11.1296,18.7787,21.142,1.8323,1.9003,12.1505,7.1307,1.6872,,0.8091,,,,6.6696,32.5759,,3.3567,
1/15/1998,,4.9533,,26.69,3.6183,,5.3316,16.3728,,,,2.9691,5.3896,3.2757,,,13.4654,13.0324,,16.6014,11.8174,,13.7277,,13.5148,,9.4552,5.7307,7.514,3.6875,13.3471,4.8411,10.7864,8.3093,,4.4516,14.6485,9.5548,21.2425,14.1707,7.3688,22.56,,3.9491,23.0383,7.0475,4.5869,10.4687,18.8681,21.0395,1.8293,1.8361,12.1069,7.0953,1.7311,,0.8091,,,,6.6138,32.315,,3.4363,
