Date,AAP,AMZN,APTV,AZO,BBY,BKNG,BWA,CCL,CMG,CPRI,DG,DHI,DLTR,DRI,EBAY,EXPE,F,FL,GM,GPC,GPS,GRMN,HAS,HBI,HD,HLT,HOG,HRB,JWN,KMX,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MCD,MGM,MHK,NCLH,NKE,NWL,ORLY,PHM,PVH,RCL,RL,ROST,SBUX,TGT,TIF,TJX,TPR,TSCO,UA,UAA,ULTA,VFC,WHR,WYNN,YUM,XLY
1/2/1998,,4.9583,,28.81,2.8708,,5.2054,16.638,,,,2.6047,5.7689,3.0485,,,13.3629,13.4019,,16.4473,10.8288,,13.012,,13.2387,,9.6356,5.9993,8.7765,4.7815,12.7195,4.5207,10.428,8.1912,,4.6556,14.1875,9.9559,14.3351,7.2698,22.13,,3.8123,23.5158,6.1875,4.5511,12.3854,18.6704,20.3775,1.7875,2.0228,11.7834,6.7506,1.6425,,0.8346,,,,6.2935,31.6902,,3.7264,
1/5/1998,,4.75,,28.13,3.0089,,5.1994,16.8277,,,,2.5574,5.6667,3.0976,,,13.4322,13.7319,,16.5987,10.9651,,13.1935,,13.0554,,9.4839,5.8041,8.871,4.6875,12.8954,4.544,10.352,8.3093,,4.6241,14.0433,10.0268,14.2959,7.0918,21.56,,4.074,23.582,6.4075,4.6849,12.2269,18.5139,20.9124,1.784,1.9959,11.9336,6.8433,1.6738,,0.8346,,,,6.3457,32.1661,,3.6139,
1/6/1998,,4.8383,,27.38,2.9892,,5.2175,16.5217,,,,2.6429,5.6489,3.1131,,,13.2079,13.6923,,16.4766,10.8876,,13.7422,,13.1391,,9.2616,5.5668,8.964,4.625,12.6371,4.5995,10.3667,8.2407,,4.6065,13.9159,9.8915,14.3351,6.9907,21.69,,4.0683,23.1021,6.9075,4.6517,12.2269,18.2472,20.7001,1.7627,1.9185,11.9664,7.0048,1.6271,,0.8346,,,,6.3114,32.4599,,3.4616,
1/7/1998,,4.7817,,27.25,3.2946,,5.2367,16.9806,,,,2.7192,5.6859,3.1466,,,13.05,13.4019,,16.3839,11.0426,,13.3792,,13.2817,,9.371,5.7282,8.5379,4.25,12.6614,4.6335,10.3201,8.1912,,4.5082,13.8958,9.9366,14.2207,7.0797,21.63,,4.0331,22.9642,6.9375,4.5918,12.0595,18.137,20.4878,1.7504,1.8647,11.7834,7.1217,1.6336,,0.7922,,,,6.3539,31.6139,,3.454,
1/8/1998,,4.615,,27.06,3.334,,5.1672,17.0204,,,,2.7574,5.6756,3.1466,,,12.4795,13.7319,,16.6572,11.4672,,13.3243,,13.2251,,9.1734,5.6861,8.796,3.9065,12.8018,4.7337,10.352,8.1912,,4.4522,14.5229,9.8368,13.9588,6.9785,21.38,,4.015,23.5158,7,4.5843,11.6719,18.137,20.4878,1.781,1.9217,11.8921,7.0976,1.6738,,0.7922,,,,6.3196,31.8019,,3.3184,
1/9/1998,,4.2608,,26,3.2156,,4.998,16.2922,,,,2.6811,5.4578,3.1311,,,12.1167,12.9928,,16.2032,11.1573,,12.8052,,12.7589,,9.2404,5.4652,8.739,3.7815,12.4031,4.655,10.3986,8.0007,,4.3362,14.0199,9.2699,13.6579,6.8774,20.5,,3.759,22.6167,6.765,4.3904,11.0641,17.7813,19.902,1.7875,1.8884,11.5572,6.784,1.6023,,0.7888,,,,6.0531,30.6621,,3.326,
1/12/1998,,4.3025,,25.56,3.4279,,4.998,16.2739,,,,2.7772,5.5926,3.1311,,,12.5321,12.4979,,16.4132,11.2348,,13.0669,,13.155,,9.2157,5.6265,8.5274,3.969,12.5547,4.6102,10.4894,8.0502,,4.3235,13.9595,9.0508,13.9588,6.8025,20.88,,3.8009,22.7215,6.75,4.4847,11.2843,17.9592,19.5284,1.781,1.8884,11.7505,6.8545,1.5556,,0.7922,,,,6.2083,29.6692,,3.3427,
1/13/1998,,4.6458,,24.31,3.4279,,5.1239,16.0628,,,,2.8826,5.7407,3.2266,,,13.05,12.6629,,16.628,11.6625,,13.6366,,13.3813,,9.1522,5.6685,7.9333,3.875,12.7307,4.655,10.4133,8.1683,,4.4345,14.3988,9.3246,14.1846,6.8531,22.19,,3.896,23.2014,6.7825,4.5843,11.0641,18.1796,19.7407,1.7998,1.9115,11.9888,6.9825,1.652,,0.778,,,,6.2592,31.655,,3.3427,
1/14/1998,,4.875,,25.44,3.5163,,5.2054,16.2158,,,,2.9589,5.5556,3.2602,,,13.4322,13.1974,,16.5987,11.6811,,13.662,,13.508,,9.2157,5.678,7.6513,3.844,12.7419,4.7445,10.5654,8.2636,,4.5136,14.2512,9.5243,14.1635,7.0675,22.88,,3.9198,22.8925,7.11,4.6581,11.1258,18.6704,21.0143,1.8275,1.8916,12.0423,7.0864,1.6798,,0.8063,,,,6.2427,32.2777,,3.3427,
1/15/1998,,4.9533,,26.69,3.5905,,5.3062,16.2158,,,,2.9589,5.3896,3.2757,,,13.4654,13.0324,,16.4766,11.8174,,13.6366,,13.422,,9.3498,5.678,7.4263,3.6875,13.1632,4.7785,10.6734,8.3093,,4.4516,14.3988,9.5179,14.0883,7.3325,22.56,,3.9379,22.6498,7.0475,4.5714,10.4651,18.7593,20.9124,1.8246,1.8277,11.9992,7.0512,1.7235,,0.8063,,,,6.1905,32.0192,,3.422,
1/16/1998,,4.7917,,27.56,3.6102,,5.281,16.5982,,,,2.9773,5.3156,3.3247,,,13.5707,13.1578,,16.5059,11.9724,,13.873,,13.422,,9.2828,5.796,6.7331,3.75,13.0359,4.7552,10.9335,7.9283,,4.6051,14.439,9.7079,14.314,7.6622,23.44,,3.9198,22.8263,7.1875,4.6913,10.8439,18.6277,21.2775,1.8181,1.8293,12.1183,7.0623,1.7608,,0.7922,,,,6.2688,31.8371,,3.4463,
