Date,ADM,BF-B,CAG,CHD,CL,CLX,COST,COTY,CPB,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,LW,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT,XLP
1/2/1998,13.5367,3.5598,12.4592,1.8135,11.8961,22.9109,15.8316,,33.3741,9.755,9.5731,2.7769,19.032,26.3584,,24.5981,19.5139,7.4118,,,9.1021,0.0377,3.4247,21.941,23.548,,13.7007,6.6074,6.7054,11.15,16.2429,11.465,13.6772,
1/5/1998,13.5741,3.5358,11.5658,1.8332,12.1608,22.9109,16.1483,,32.9863,9.8975,9.5241,2.7137,18.9332,25.8598,,24.1981,19.3682,7.1341,,,9.4229,0.0371,3.4678,22.2458,24.0193,,13.8484,6.6229,6.6769,10.9216,15.7589,11.4872,13.8057,
1/6/1998,13.2621,3.5112,11.6371,1.8173,11.6833,22.6039,15.7885,,31.7891,9.8861,9.54,2.6766,19.1278,26.2894,,23.8277,19.2778,7.2233,,,9.1823,0.0365,3.458,21.4474,23.9465,,13.7007,6.5932,6.7609,10.7164,15.4623,11.4168,13.8925,
1/7/1998,14.0796,3.4912,11.6371,1.8332,11.633,22.3868,15.6301,,31.3339,9.6257,9.4367,2.7137,19.1463,25.9924,,24.3215,19.2953,7.2598,,,9.2433,0.0358,3.5434,21.8679,23.6934,,13.6326,6.667,6.9484,10.5278,15.0721,11.3945,13.8508,
1/8/1998,14.0047,3.5196,11.6596,1.8173,11.3277,22.2623,16.1231,,31.1259,9.6732,9.4034,2.7137,19.1463,25.8598,,23.9808,19.4236,7.2983,,,9.1823,0.0378,3.5192,21.8679,23.4199,,13.6326,6.786,6.8179,10.0942,15.2672,11.1389,13.6529,
1/9/1998,13.6552,3.4342,11.5658,1.7619,11.0435,22.4418,15.6517,,29.7883,9.5173,9.3033,2.6395,18.6645,25.2975,,23.4573,18.6948,6.982,,,9.1021,0.0339,3.4013,21.1792,22.9486,,13.7007,6.5289,6.6394,9.8063,15.6575,11.1648,13.2639,
1/12/1998,13.8862,3.5798,12.035,1.7619,11.024,22.297,15.7417,,31.1596,9.4108,9.4874,2.6184,19.0876,25.8598,,24.6919,19.2574,7.1584,,,9.224,0.0312,3.5056,21.5632,23.9465,,13.5644,6.6003,6.7339,10.0115,15.4623,11.5576,13.7189,
1/13/1998,13.8487,3.5598,12.0838,1.746,11.0435,22.3317,15.6733,,30.9123,9.601,9.4367,2.6817,19.2636,25.9287,,25.803,19.0592,7.1969,,,9.686,0.0312,3.619,22.2458,23.6032,,13.5644,6.9646,6.6964,10.8587,15.0721,11.5798,13.7189,
1/14/1998,13.7676,3.5358,12.0613,1.7696,11.2773,22.8935,15.5834,,30.9854,9.6599,9.5874,2.6505,19.1648,25.6953,,25.3092,18.8405,7.2233,,,9.5833,0.0306,3.5525,22.3616,23.4374,,13.6326,6.7265,6.7714,10.1372,14.5881,11.9281,13.7848,
1/15/1998,13.7301,3.5073,12.1552,1.774,11.2367,22.4418,15.4718,,30.3166,9.5534,9.5954,2.6243,18.9919,25.7272,,25.0623,18.584,7.1726,,,9.4229,0.0339,3.4013,21.9045,23.257,,13.8484,6.4289,6.7519,10.4252,14.393,11.6725,13.8717,
1/16/1998,13.6927,3.5675,12.1552,1.7817,11.4803,22.4418,16.0115,,30.8786,9.601,9.6875,2.7027,18.9919,25.9606,,25.65,18.9484,7.3105,,,9.5448,0.0352,3.4247,22.3616,23.0737,,14.0586,6.436,6.8089,10.3855,14.2915,12.0208,13.9377,
