Date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
1998-01-30,,,,,,,,,,
1998-02-27,,,,,,,,,,
1998-03-31,,,,,,,,,,
1998-04-30,,,,,,,,,,
1998-05-29,,,,,,,,,,
1998-06-30,,,,,,,,,,
1998-07-31,,,,,,,,,,
1998-08-31,,,,,,,,,,
1998-09-30,,,,,,,,,,
1998-10-30,,,,,,,,,,
1998-11-30,,,,,,,,,,
1998-12-31,,,,,,,,,,
1999-01-29,,,,,,,,,,
1999-02-26,,,,,,,,,,
1999-03-31,,,,,,,,,,
1999-04-30,,,,,,,,,,
1999-05-31,,,,,,,,,,
1999-06-30,,,,,,,,,,
1999-07-30,,,,,,,,,,
1999-08-31,,,,,,,,,,
1999-09-30,,,,,,,,,,
1999-10-29,,,,,,,,,,
1999-11-30,,,,,,,,,,
1999-12-31,,,,,,,,,,
2000-01-31,,,,,,,,,,
2000-02-29,,,,,,,,,,
2000-03-31,,,,,,,,,,
2000-04-28,,,,,,,,,,
2000-05-31,,,,,,,,,,
2000-06-30,,,,,,,,,,
2000-07-31,,,,,,,,,,
2000-08-31,,,,,,,,,,
2000-09-29,,,,,,,,,,
2000-10-31,,,,,,,,,,
2000-11-30,,,,,,,,,,
2000-12-29,,,,,,,,,,
2001-01-31,,,,,,,,,,
2001-02-28,,,,,,,,,,
2001-03-30,,,,,,,,,,
2001-04-30,,,,,,,,,,
2001-05-31,,,,,,,,,,
2001-06-29,,,,,,,,,,
2001-07-31,,,,,,,,,,
2001-08-31,,,,,,,,,,
2001-09-28,,,,,,,,,,
2001-10-31,,,,,,,,,,
2001-11-30,,,,,,,,,,
2001-12-31,,,,,,,,,,
2002-01-31,,,,,,,,,,
2002-02-28,,,,,,,,,,
2002-03-29,,,,,,,,,,
2002-04-30,,,,,,,,,,
2002-05-31,,,,,,,,,,
2002-06-28,,,,,,,,,,
2002-07-31,,,,,,,,,,
2002-08-30,,,,,,,,,,
2002-09-30,,,,,,,,,,
2002-10-31,,,,,,,,,,
2002-11-29,,,,,,,,,,
2002-12-31,,,,,,,,,,
2003-01-31,,,,,,,,,,
2003-02-28,,,,,,,,,,
2003-03-31,,,,,,,,,,
2003-04-30,,,,,,,,,,
2003-05-30,,,,,,,,,,
2003-06-30,,,,,,,,,,
2003-07-31,,,,,,,,,,
2003-08-29,,,,,,,,,,
2003-09-30,,,,,,,,,,
