Date,APA,APC,BHGE,COG,COP,CVX,CXO,DVN,EOG,FANG,FTI,HAL,HES,HFC,HP,KMI,MPC,MRO,NBL,NOV,OKE,OXY,PSX,PXD,SLB,VLO,WMB,XEC,XOM,XLE
1/2/1998,11.679,12.5855,,1.4194,9.4832,18.6129,,15.8787,4.5631,,,18.6251,13.7069,0.8303,11.3863,,,6.0691,7.3366,12.9893,3.6296,7.1057,,27.3764,28.0985,4.8839,11.403,,17.623,
1/5/1998,11.3601,12.2685,,1.3821,9.3113,18.0755,,15.2829,4.4237,,,17.4412,13.483,0.8285,10.7208,,,5.901,7.3366,12.7006,3.5784,7.0276,,26.1837,27.0329,4.8839,11.6017,,17.4265,
1/6/1998,11.1441,11.6747,,1.3261,8.928,17.6123,,15.6966,4.3419,,,16.7126,13.1014,0.8303,10.2714,,,5.7669,7.1023,11.6422,3.4412,6.769,,26.1837,26.0509,4.7186,11.3513,,16.8028,
1/7/1998,11.0378,11.9515,,1.3679,8.9893,18.2403,,14.6375,4.3817,,,17.463,13.4042,0.8229,10.3365,,,5.8903,7.1293,12.6775,3.3891,6.7398,,23.9126,26.5315,4.6796,11.1049,,17.3382,
1/8/1998,10.9726,11.7149,,1.3447,8.8036,17.5526,,14.0666,4.4237,,,16.4139,13.2134,0.8193,9.8631,,,5.7776,7.1147,11.9309,3.3378,6.5715,,23.5023,25.64,4.6796,10.8545,,16.9623,
1/9/1998,10.7806,11.5818,,1.2984,8.5448,16.9866,,13.8101,4.2158,,,15.4377,12.5138,0.8004,8.683,,,5.6882,6.8306,11.4998,3.0983,6.3422,,22.6626,24.2889,4.4846,10.7074,,16.555,
1/12/1998,10.8458,11.1739,,1.2745,8.606,17.5072,,13.6528,4.2711,,,15.4377,12.7834,0.7893,8.7482,,,5.6775,6.8182,10.5377,3.3662,6.2958,,22.1855,24.2227,4.3192,10.6081,,16.7316,
1/13/1998,10.9315,11.8987,,1.3492,8.8293,17.8224,,13.9135,4.3751,,,16.0752,13.3558,0.7855,9.3691,,,5.5988,7.0111,10.3914,3.3269,6.4788,,23.0825,25.0306,4.3879,10.7829,,17.1047,
1/14/1998,11.1647,12.0974,,1.3918,8.8905,18.0302,,14.1452,4.3884,,,16.301,13.3075,0.7986,9.4789,,,5.7115,7.2184,10.3914,3.3836,6.5397,,23.1397,25.64,4.4159,10.7313,,17.3183,
1/15/1998,11.1441,11.8987,,1.3731,8.7917,18.1639,,14.0417,4.4305,,,16.301,13.4525,0.8211,9.3691,,,5.7669,7.2703,10.2721,3.3378,6.5861,,22.9012,25.9639,4.4269,10.5842,,16.9452,
1/16/1998,12.0013,12.6003,,1.4478,8.8668,18.3287,,14.5837,4.4858,,,16.9385,13.6102,0.8247,9.9489,,,5.8456,7.6332,10.7763,3.315,6.6617,,22.9012,27.1409,4.3879,10.7074,,17.3183,
1/20/1998,12.4505,12.9426,,1.5644,8.9162,18.6129,,15.6966,4.6099,,,17.667,13.8977,0.8211,10.3983,,,6.1138,7.685,11.3305,3.3269,6.6178,,23.5023,27.9035,4.5049,10.7074,,17.3382,
1/21/1998,12.0219,12.8898,,1.4665,8.853,18.3884,,15.2043,4.7074,,,17.5323,13.6433,0.8193,10.0792,,,6.0566,7.4133,11.1612,3.2583,6.6007,,23.197,28.3806,4.8355,10.8545,,17.3895,
1/22/1998,11.3155,11.8459,,1.3679,8.7423,18.0158,,14.7409,4.4991,,,15.8457,13.483,0.8097,9.9077,,,5.7115,7.0505,9.5486,3.2583,6.4178,,22.7199,24.9192,4.7966,11.3274,,16.9623,
1/23/1998,11.4013,11.5289,,1.4008,8.6435,17.672,,14.7409,4.4172,,,15.6854,13.4525,0.7947,9.9489,,,5.6542,7.0774,9.1906,3.2354,6.2202,,21.5939,24.463,4.6016,11.3791,,16.8199,
1/26/1998,11.487,12.0318,,1.4052,8.7186,18.0445,,14.7533,4.4039,,,16.0278,13.8799,0.7986,9.6058,,,5.6328,7.206,9.6217,3.2583,6.2348,,19.924,25.1595,4.7778,11.3513,,17.1588,
1/27/1998,11.2298,12.1776,,1.4008,8.853,18.2547,,14.4017,4.4593,,,15.802,13.913,0.7481,9.3279,,,5.7669,7.2848,9.9103,3.2638,6.2665,,20.6397,25.0306,4.8355,11.3513,,17.1958,
1/28/1998,11.679,12.2558,,1.4897,8.7917,18.1806,,14.5051,4.4438,,,16.5524,13.8341,0.7666,9.1118,,,5.8223,7.3739,9.9835,3.2107,6.1909,,21.1168,25.9012,4.9525,11.3513,,16.8569,
1/29/1998,11.8744,12.52,,1.4941,8.6613,18.3741,,14.8444,4.4858,,,17.2117,14.0885,0.7855,9.1358,,,5.9904,7.855,10.7032,3.2172,6.2348,,20.9355,26.4862,4.8948,11.403,,17.3012,
1/30/1998,11.3601,12.4671,,1.48,8.7609,17.8511,,14.4306,4.4305,,,16.3702,13.913,0.7816,8.7687,,,6.0011,7.544,10.199,3.1535,6.2202,,20.6969,25.6609,4.9229,11.3274,,16.8911,
2/2/1998,11.5075,12.52,,1.4755,8.9222,18.0612,,14.2983,4.2931,,,16.1662,14.0554,0.7744,8.4257,,,5.9904,7.4527,10.4646,3.2458,6.2348,,20.3343,25.5286,4.9619,11.3513,,17.23,
2/3/1998,11.295,12.9426,,1.5128,8.96,18.1352,,14.352,4.3485,,,16.21,14.3734,0.7816,8.8339,,,5.8563,7.4776,10.8494,3.3555,6.2958,,20.5156,25.748,5.0695,11.5262,,17.3183,
2/4/1998,11.487,13.3927,,1.5173,8.9978,18.1496,,14.2238,4.4858,,,17.3938,14.6431,0.778,9.4549,,,6.0906,7.5958,11.4267,3.315,6.3129,,20.3343,26.7265,5.0399,11.3791,,17.5318,
2/5/1998,11.703,13.6167,,1.4897,8.8724,18.4194,,14.0666,4.5412,,,17.7362,14.6609,0.7816,9.6916,,,5.901,7.7368,12.0772,3.3786,6.3129,,20.9927,26.8135,5.1569,11.3513,,17.6401,
2/6/1998,12.0013,13.7096,,1.5128,8.9222,18.5532,,14.2486,4.652,,,17.5541,14.8822,0.7816,9.6916,,,5.9797,7.8156,12.3158,3.3897,6.3739,,21.3553,26.7718,5.16,11.4268,,17.7739,
2/9/1998,11.9807,13.2469,,1.48,8.7609,18.2547,,14.4306,4.6099,,,17.1206,14.6914,0.7855,9.7122,,,6.0566,7.6083,12.0772,3.2799,6.2958,,21.05,26.2494,5.1991,11.6494,,17.7739,
2/10/1998,12.1316,13.3124,,1.5173,8.96,18.0302,,14.7906,4.6099,,,17.4412,14.6609,0.778,9.7122,,,5.9117,7.8281,11.6422,3.326,6.3275,,22.071,26.4862,5.2976,11.6494,,17.7911,
2/11/1998,11.7887,13.2722,,1.4882,9.1093,18.2236,,14.3769,4.5545,,,17.4412,14.437,0.7762,9.7156,,,5.935,7.8799,11.3536,3.3325,6.2958,,21.5271,26.3783,5.2867,11.9236,,17.9717,
2/12/1998,11.5727,13.325,,1.4972,9.1969,18.4791,,14.352,4.5545,,,17.0077,14.4217,0.7723,9.7362,,,5.8778,7.8364,10.9225,3.3094,6.2812,,21.4603,26.1832,5.3367,12.4443,,18.0778,
2/13/1998,11.7236,13.5237,,1.5069,9.3463,18.5985,,14.3769,4.5545,,,17.3938,14.3734,0.7855,9.9735,,,5.9046,7.6682,11.3305,3.2744,6.2958,,21.336,26.5524,5.3164,12.6192,,18.0979,
2/17/1998,11.5727,13.2997,,1.5204,9.3702,18.4935,,13.9135,4.4172,,,16.5742,14.2615,0.7855,9.5436,,,5.8596,7.7201,10.6801,3.2974,6.3422,,21.1638,25.6609,5.1803,13.1677,,17.8112,
2/18/1998,11.7887,13.6948,,1.5346,9.408,18.952,,13.9631,4.5146,,,16.8474,14.5006,0.7816,9.9529,,,5.9946,7.8239,10.8725,3.3205,6.3739,,20.9821,26.0753,5.3461,13.0405,,18.2928,
2/19/1998,11.679,13.5892,,1.5301,9.3582,18.8629,,14.0666,4.4593,,,16.3921,14.5337,0.7816,9.8016,,,5.8038,7.7201,11.088,3.2283,6.1299,,21.0395,26.3149,5.4336,13.116,,18.2412,
2/20/1998,11.6584,13.6167,,1.5765,9.3961,19.0579,,14.0666,4.4858,,,16.3484,14.4853,0.7893,9.695,,,5.838,7.7845,10.9225,3.2283,6.1739,,21.0395,26.0077,5.4821,13.6128,,18.4361,
2/23/1998,11.3361,13.194,,1.5069,9.185,18.5308,,13.9383,4.4172,,,15.8457,14.4217,0.8004,9.5436,,,5.7804,7.5001,10.0797,3.2744,6.1129,,20.9247,25.1559,5.4821,13.2909,,17.9173,
2/24/1998,11.3361,13.1666,,1.4972,9.1093,18.9664,,13.9135,4.4858,,,15.6417,14.6609,0.7965,9.3923,,,5.7696,7.5375,10.1259,3.2569,6.1299,,20.8578,24.7195,5.4821,13.1677,,17.9889,
2/25/1998,11.3155,13.1137,,1.4972,9.2845,19.1325,,13.8845,4.4858,,,16.0278,14.5973,0.8079,9.523,,,5.7588,7.6288,10.1028,3.1877,6.069,,21.0969,25.704,5.5118,13.0683,,18.0061,
2/26/1998,11.6584,13.511,,1.5488,9.5334,19.313,,14.352,4.6941,,,16.9385,14.8975,0.8043,10.2762,,,6.0738,7.9402,10.3914,3.2864,6.1299,,21.9385,26.4894,5.6291,13.0683,,18.0778,
2/27/1998,11.6584,13.6293,,1.572,9.7564,19.4646,,14.1203,4.7362,,,16.9604,15.0247,0.8097,9.9529,,,6.2195,8.0959,10.7763,3.2283,6.2348,,22.6557,26.4022,5.5509,13.0405,,18.2756,
3/2/1998,11.703,13.8808,,1.5862,9.6828,19.8689,,14.3769,4.8469,,,17.4394,15.1519,0.8154,10.2762,,,6.4229,8.0564,11.0188,3.2403,6.2202,,22.7705,27.1632,5.6979,12.8934,,18.2039,
3/3/1998,12.087,14.0519,,1.605,9.9436,20.1553,,14.6623,4.9023,,,18.2611,15.2638,0.8211,10.5754,,,6.5453,8.1228,11.954,3.2744,6.3129,,23.0096,27.5577,5.6291,12.9689,,18.4189,
