Date,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BK,BLK,BRK-B,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,FRC,GS,HBAN,HIG,ICE,IVZ,JEF,JPM,KEY,L,LNC,MCO,MET,MKTX,MMC,MS,MSCI,MTB,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RE,RF,RJF,SCHW,SIVB,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,ZION,XLF
1/2/1998,4.3049,549.7919,,8.1979,27.3628,18.8419,,28.3312,19.6514,16.4965,15.4739,9.6016,18.1653,,30.58,173.2518,19.3599,,,22.0088,33.3109,,14.5618,,56.8508,21.4675,,,18.5661,29.8624,,10.1327,5.4476,19.4755,17.4774,14.3086,24.2267,6.5396,,,14.5694,17.267,,28.3055,,23.7241,3.2011,,25.2929,30.3063,,29.416,18.1392,8.5564,7.041,13.4375,,42.8206,21.4821,,13.0397,9.7337,23.2414,35.8288,14.5579,10.7676,,33.6,
1/5/1998,4.3152,546.2964,,8.2578,26.9875,18.927,,28.0534,19.6935,16.9554,15.4298,9.6693,18.6005,,31.1,172.0537,19.1687,,,21.8309,33.4024,,14.4947,,62.7242,21.7967,,,18.8844,29.9045,,9.8684,5.4476,19.7959,17.5246,14.2811,24.3042,6.5031,,,14.6671,17.893,,27.5073,,23.8501,3.1533,,25.0169,30.4406,,29.5104,18.5398,8.8056,7.0743,13.6575,,43.2368,21.4598,,13.117,9.9199,23.5246,35.0023,14.501,10.6605,,34.2499,
1/6/1998,4.3152,543.7996,,8.2267,26.7053,18.927,,28.3312,19.2902,16.7354,15.2606,9.8538,18.3241,,31.18,172.8632,19.8213,,,21.7662,32.3738,,14.6128,,60.9399,21.7651,,,18.6621,29.7816,,9.7803,5.5375,18.8716,16.9653,14.3909,24.1864,6.5396,,,14.925,17.6344,,27.6301,,23.3633,3.1584,,25.0806,29.6343,,29.1473,17.9559,8.8056,6.9973,13.7725,,42.6699,21.0659,,12.981,9.7822,23.1536,34.6321,14.218,10.5561,,33.696,
1/7/1998,4.2723,538.806,,8.2123,26.7233,17.8217,,28.4189,19.1108,16.8359,15.0473,9.5808,18.0446,,31.46,167.1961,19.3599,,,21.5722,31.8027,,14.2263,,61.8072,21.3042,,,18.1569,29.6619,,9.758,5.5182,19.0811,16.6397,14.2674,23.9228,6.8912,,,14.6554,17.1935,,27.2617,,22.6382,3.1046,,24.9956,28.9624,,28.2394,17.5809,8.4881,6.9203,13.75,,41.7652,20.3933,,12.9625,9.646,23.0658,34.7114,13.7578,10.3785,,33.1422,
1/8/1998,4.1599,535.8099,,8.1068,26.462,18.0244,,27.9023,18.723,16.6675,14.8022,9.4782,17.511,,31.8,162.7272,18.85,,,21.1194,31.1145,,14.2424,,60.5681,21.0724,,,17.8386,29.2154,,9.7803,5.5583,18.3434,16.3438,14.24,23.5326,6.8912,,,14.435,17.3229,,26.8318,,22.2978,3.0517,,24.8045,28.1561,,26.9683,17.2356,8.433,6.8014,13.5775,,41.0475,20.4156,,12.8079,9.3518,22.5701,34.3412,13.5394,10.5561,,30.6462,
1/9/1998,4.0639,515.3363,,8.1236,25.3721,17.9459,,26.8057,18.1691,16.0212,14.6012,9.0764,17.0346,,31.44,154.437,18.1005,,,20.5857,30.5655,,14.0411,,56.6773,20.809,,,16.8636,28.9534,,9.5747,5.5278,17.935,16.0331,13.7598,22.7521,6.7844,,,13.9551,16.4588,,26.7127,,21.5114,2.9826,,23.9763,27.3821,,26.5543,16.9416,7.8818,6.2976,12.9375,,39.8051,19.1373,,12.1125,8.5895,21.4372,32.8139,13.3532,10.0627,,29.2136,
1/12/1998,4.0639,505.3491,,8.0924,25.6543,18.0702,,27.2931,18.1137,15.766,14.4639,8.9399,16.9552,,31.24,153.0121,18.2127,,,21.1841,30.5655,,14.1941,,56.0577,20.809,,,17.0505,29.2381,,9.3256,5.4877,18.067,15.971,14.1851,22.8489,6.6803,,,14.1262,16.1649,,26.3406,,21.5318,2.9664,,24.1462,27.1778,,27.1499,16.6773,7.7165,6.4183,12.61,,40.6374,19.5089,,12.3443,8.3548,21.9669,33.4288,13.3132,10.3249,,29.9077,
1/13/1998,4.0261,504.3504,,8.1835,26.462,18.5149,,27.5368,18.3486,15.766,14.6625,9.0491,17.4507,,31.44,160.7194,18.6435,,,21.8309,30.8876,,14.4786,,56.6029,21.2041,,,17.3031,29.5389,,9.2963,5.6177,18.2448,16.1276,14.4183,22.8864,6.5762,,,14.2383,16.4411,,26.6937,,22.1718,3.0944,,24.847,28.054,,27.6002,16.2511,8.2125,6.8224,12.595,,41.1259,20.672,,12.5761,8.9996,22.1623,33.7197,13.8871,10.2037,,30.0923,
1/14/1998,4.117,502.353,,8.1523,26.7413,18.8877,,27.142,18.4749,16.5127,14.8316,9.1375,17.6889,,31.38,162.7272,19.1687,,,21.3619,31.5721,,14.7792,,56.3799,20.0187,,,17.5557,29.6619,,9.288,5.568,18.3769,16.3911,14.5967,23.1205,6.7844,,,14.3485,16.6234,,26.8933,,21.6169,3.0568,,25.0169,28.5969,,27.6002,16.8904,8.1442,6.6807,13.25,,41.8798,21.0882,,12.8079,9.1952,22.0745,34.0503,14.1779,10.5195,,31.2,
1/15/1998,4.1119,501.8536,,8.0924,26.3479,19.2932,,26.7765,18.0317,16.3281,14.6616,8.9945,17.4316,,31.44,161.108,19.263,,,21.4266,31.4586,,15.9871,,55.909,19.9687,,,17.1162,29.1151,,9.3397,5.5872,18.1779,16.2519,14.3497,23.005,6.7506,,,14.1026,16.353,,27.2617,,21.5761,3.062,,25.0806,28.0554,,27.7382,16.8606,7.8686,6.2976,14.125,,41.2767,20.4156,,13.0985,8.9026,22.0915,33.7197,13.9918,10.4321,,32.8173,
1/16/1998,4.1222,506.8472,,8.138,26.6122,19.2932,,27.2346,18.1691,16.6838,14.6764,9.1714,17.9875,,31.74,164.1521,19.1993,,,21.3943,32.2127,,16.022,,56.6773,20.2163,,,17.2425,29.5195,,9.4572,5.6177,18.574,16.3762,14.4046,23.2204,6.7168,,,14.4095,16.5742,,27.3231,,21.702,3.1157,,25.0593,28.2612,,27.1499,17.1035,7.8818,6.364,14.345,,41.916,20.4156,,12.9625,9.0966,22.1283,33.8056,14.2348,10.449,,32.5367,
1/20/1998,4.2242,518.8318,,8.3777,26.8914,19.7837,,27.9315,18.2666,17.0558,14.7848,9.1037,18.2638,,32.64,164.3464,19.9488,,,21.6368,33.3584,,16.3065,,57.7677,20.4139,,,17.6214,30.2895,,9.3761,5.6274,18.8716,16.6073,14.2537,23.8448,6.7506,,,14.7163,17.1641,,27.1425,,22.1275,3.19,,25.5903,28.364,,27.0119,17.0481,7.7716,6.385,14.265,,42.1813,20.7649,,13.2128,9.3518,24.1109,34.3808,14.1288,10.6069,,32.448,
1/21/1998,4.2508,520.8292,,8.3921,26.7233,19.7837,,27.3223,18.0871,16.5318,14.5852,9.036,17.9544,,33.36,161.9176,19.8851,,,21.4751,32.4653,,16.073,,59.329,20.5139,,,17.2425,29.4192,,9.1706,5.6883,18.5089,16.0654,14.1302,23.5701,6.6437,,,14.4842,17.1641,,27.0197,,21.7667,3.1473,,24.847,27.7846,,27.099,16.9671,7.6062,6.3081,14.0625,,41.3491,20.4156,,13.2901,9.1655,23.9494,33.7197,13.9103,10.2375,,32.4923,
1/22/1998,4.2242,523.8253,,8.5576,26.0867,19.6594,,27.3564,17.7392,16.2086,14.4004,8.6801,17.6352,,33,156.4448,19.8545,,,20.9253,32.3042,,15.5845,,58.7095,20.5456,,,16.7979,29.5195,,9.1788,5.6177,18.354,16.1276,13.9382,23.6668,6.61,,,14.2737,16.2055,,26.8626,,21.2356,3.0517,,24.6558,27.6168,,27.1935,16.8904,7.3725,6.1016,13.735,,40.8605,20.3004,,13.0397,8.7351,24.5697,32.9874,13.7824,10.184,,32.0788,
1/23/1998,4.1925,532.3144,,8.8117,26.1408,19.6594,,26.8349,17.5177,16.0728,14.3068,8.4071,17.1979,,32.94,155.4409,19.7907,,,20.6342,31.7771,,15.3671,,54.5212,20.053,,,16.4847,29.1151,,9.1341,5.5776,18.1779,15.8169,13.7324,23.5888,6.5762,,,14.2383,15.9459,,26.8626,,20.9361,3.0406,,24.3798,27.1457,,26.7867,16.4642,7.2072,6.0457,13.72,,40.7098,20.345,,12.8666,8.5692,24.8897,32.4901,13.7333,10.0261,,31.8499,
