,A,ABBV,ABC,ABMD,ABT,AGN,ALGN,ALXN,AMGN,ANTM,BAX,BDX,BIIB,BMY,BSX,CAH,CELG,CERN,CI,CNC,COO,CVS,DGX,DHR,DVA,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,NKTR,PFE,PKI,PRGO,REGN,RMD,SYK,TFX,TMO,UHS,UNH,VAR,VRTX,WAT,WCG,XRAY,ZBH,ZTS,XLV
1/2/1998,,,5.9126,8.125,8.8874,31.1214,,2.97,11.3032,,9.3643,18.1108,5.645,22.498,11.5625,18.4605,0.3594,2.75,16.9247,,19.7053,12.3856,3.4911,5.6349,9.0433,,1.0736,,5.2975,6.9118,19.6556,4.015,,21.375,,,19.5552,4.5232,36.5899,45.227,18.4874,25.2023,17,8.3046,12.845,13.044,7.9895,12.6863,8.875,1.5447,7.8793,26.3207,35.7535,11.4136,5.3742,5.4751,16.69,9.39,,8.7508,,,
1/5/1998,,,5.8686,8.155,8.9361,32.5084,,2.97,11.2634,,9.5044,18.2013,5.6667,22.7785,11.75,18.7769,0.375,2.9688,16.9149,,19.7639,12.7629,3.4523,5.6575,9,,1.0981,,5.3125,6.6667,19.7672,3.97,,21.125,,,19.5371,4.5232,38.1822,44.8024,18.9268,25.3662,16.75,8.3046,13.94,13.754,8.3453,12.794,9,1.5447,7.9449,26.3207,35.025,11.3422,5.3666,5.6054,16.565,9.14,,8.4213,,,
1/6/1998,,,5.7591,8.25,8.7885,32.152,,3,11.1335,,9.469,18.1796,5.8333,22.914,11.5325,18.7165,0.3776,3.07,16.905,,19.8225,12.2398,3.3892,5.68,8.9167,,1.1017,,5.36,6.7412,19.3021,3.9375,,20.5,,,19.2366,4.2114,37.5187,43.953,18.4874,25.0149,16.69,8.2011,15.69,13.3129,8.1311,12.4618,8.5,1.5447,7.9195,26.413,34.818,11.2984,5.3947,5.5167,16.44,9.8125,,8.5684,,,
1/7/1998,,,5.8174,8.53,8.8465,31.4874,,3,11.1461,,9.5157,18.042,5.7083,22.9283,11.5625,18.5354,0.401,2.68,16.6791,,20.2519,12.3001,3.3382,5.8098,8.6867,,1.0947,,5.2975,6.7647,20.2323,3.97,,20.44,,,19.4259,4.0542,36.7863,43.7407,18.3489,24.6167,16.56,8.3584,15.5,13.4645,7.9895,12.2912,8.25,1.5447,7.8265,26.2781,34.0978,11.2984,5.4412,5.4204,16.315,9.515,,8.4213,,,
1/8/1998,,,5.8491,8.69,8.9612,32.2098,,2.9375,11.1859,,9.5269,18.339,5.875,22.4219,12.3125,17.9316,0.3802,2.7037,16.7479,,20.4666,12.1173,3.3382,5.8378,8.4167,,1.1122,,5.0325,6.7157,19.3579,3.72,,20.125,,,19.6513,4.366,36.3564,44.2163,18.0938,24.8744,17.25,8.4619,16,13.3784,8.1081,12.399,8.25,1.5585,7.8265,25.7028,33.27,11.2708,5.4618,5.3864,16.565,10.2975,,8.3654,,,
1/9/1998,,,5.664,8.125,8.8623,30.2834,,3.0325,11.0287,,9.3401,17.9514,5.99,21.352,11.8275,17.1323,0.3646,2.5238,16.7086,,19.6126,12.0939,3.2608,5.4997,8.1667,,1.0806,,5.0325,6.3725,18.2602,3.345,,19.69,,,19.4259,4.2114,35.3639,43.0018,17.5836,24.1014,16.88,8.2798,15.405,12.7424,7.5341,12.0129,8.688,1.5447,7.6022,25.0778,33.0631,11.1994,5.3536,5.2014,16.405,10.0475,,7.9595,,,
1/12/1998,,,5.4973,8.125,9.1667,29.6766,,3,11.0937,,9.0953,17.9297,5.8333,21.9916,11.47,17.4197,0.3698,2.485,16.8559,,19.4613,12.2514,3.273,5.4375,7.9167,,1.0418,,4.9375,5.9078,18.6044,3.22,,18,,,19.8197,3.8995,36.2237,42.4158,17.2619,24.8744,17,8.0479,14.625,13.1733,7.8211,11.3395,8.375,1.5722,7.6551,25.3903,32.6988,11.2846,5.2584,5.3109,15.94,10.14,,7.9419,,,
1/13/1998,,,5.5873,7.875,9.2077,29.6188,,3.25,10.8841,,9.0953,17.9768,6.23,21.8869,11.0625,17.3424,0.3594,2.6563,16.907,,20.1933,12.2514,3.273,5.4321,8.1267,,1.084,,5.3125,6.0549,18.3719,3.39,,19,,,19.9519,3.8995,36.0592,43.0528,17.1214,24.8978,18.75,8.1514,15.345,13.3232,7.8211,11.6179,8.375,1.5722,7.708,25.2553,33.477,11.5011,5.1914,5.4269,16.5,10.11,,8.0889,,,
1/14/1998,,,5.6957,8.125,9.2327,30.6398,,3.25,10.4776,,9.3176,18.339,6.5,21.8727,10.8125,17.1612,0.3672,2.6412,16.9542,,20.4666,12.6404,3.2873,5.4041,8.2933,,1.0629,,5.4075,6.0294,18.9579,3.47,,20.065,,,19.988,4.366,36.2927,44.2163,17.3544,25.741,18.25,8.4619,14.875,13.4094,8.089,11.4473,8.563,1.5722,8.0655,25.2553,33.5266,11.3997,5.2865,5.4543,17.25,10.1875,,8.2007,,,
1/15/1998,,,5.8359,8.19,9.1589,30.6398,,3.375,10.268,,9.3756,18.9475,6.5417,21.8727,10.765,17.1323,0.3516,2.625,16.7577,,20.5886,12.5431,3.3239,5.3762,8.2933,,1.0806,,5.22,6.0784,18.5486,3.4525,,20.5,,,19.7445,4.0542,35.5603,44.8533,16.87,25.4599,18,8.4371,14.97,13.0647,8.0659,11.564,8.375,1.5722,7.9724,25.0778,33.3197,11.1418,5.0832,5.3317,17.815,10.2025,,8.3272,,,
1/16/1998,,,5.9259,8.375,9.2406,32.152,,3.375,10.268,,9.7137,19.9219,6.4583,22.215,11.64,17.1468,0.3594,2.6637,16.7577,,21.4426,12.7629,3.3504,5.3699,8.3133,,1.1017,,5.2825,6.4216,18.7812,3.595,,21.625,,,20.3637,4.2114,35.5603,43.953,17.5836,25.7176,17.75,8.0728,15.44,13.2698,8.1621,11.564,8.125,1.586,7.9449,25.298,33.5266,11.098,5.2043,5.4543,18.25,10.25,,8.4566,,,
1/20/1998,,,5.8041,8,9.4227,31.9112,,3.3125,10.465,,9.5978,19.9907,7.2083,22.9877,11.8125,17.2675,0.375,2.75,17.2783,,22.4772,13.0779,3.3239,5.3536,8.3333,,1.1245,,5.25,6.7412,18.6044,3.5325,,22.515,,,20.8326,4.9898,36.9561,43.5284,18.2084,27.0526,18,8.0231,15.375,13.9264,8.6436,11.5011,8.5,1.6208,7.9597,25.2553,33.9405,11.1119,5.1849,5.3798,18.25,10.3125,,8.8243,,,
1/21/1998,,,5.9514,8,9.3237,31.786,,3.595,10.3854,,9.4223,20.4652,7.0633,22.467,12.125,17.0574,0.3646,2.7813,17.2096,,23.1799,12.796,3.2873,5.3365,8.3133,,1.0699,,5.125,6.6667,18.5486,3.61,,22.125,,,20.4779,5.4588,36.7863,43.5284,17.8609,26.7013,18.12,7.8658,14.625,13.6145,8.8362,11.1689,7.875,1.6136,7.8011,25.298,33.5763,11.0105,5.1849,5.2495,17.875,10.5475,,8.6419,,,
1/22/1998,,,5.932,7.875,9.2657,32.0846,,3.25,9.8762,,9.3643,21.1896,7,22.7357,12.1725,16.9053,0.362,2.6875,17.3471,,22.3259,12.7219,3.3239,5.3194,8.2933,,1.077,,5.0625,6.7412,18.4277,3.625,,21.75,,,20.2134,5.3016,36.0273,44.2163,17.9792,26.3734,17.75,8.0231,14.655,13.5507,8.763,11.1151,7.938,1.6136,7.7482,25.0352,33.1624,10.9115,5.1914,5.3317,17.875,10.5,,8.6037,,,
1/23/1998,,,5.798,8.19,9.2169,33.8955,,3.25,10.1633,,9.3756,21.8235,7,23.166,12.3275,17.2071,0.3516,2.57,17.1408,,22.2966,12.5895,3.2873,5.3699,8.27,,1.0823,,5.1875,6.7902,18.1393,3.6875,,21.75,,,20.1022,5.1469,35.4966,42.7895,17.7241,26.4437,18.12,7.5553,14.905,13.4525,8.8825,10.9984,7.938,1.6616,7.6953,24.9429,32.6491,10.9253,5.1167,5.2627,18.375,10.6575,,8.4949,,,
1/26/1998,,,5.8942,8.22,9.1259,33.7702,,3.14,10.2031,,9.5624,21.3707,6.8333,23.1066,12.235,17.48,0.3281,2.5475,17.2194,,22.4772,12.5408,3.2995,5.3699,8,,1.0787,,5.1875,6.6549,18.3719,3.72,,21.375,,,20.1954,5.1469,35.194,42.73,17.6095,26.7013,17.88,7.4269,14.845,13.399,9.0982,10.8906,7.5,1.6274,7.6149,25.0352,32.3346,10.7964,5.0627,5.2353,18.25,10.735,,8.5684,,,
1/27/1998,,,5.753,8.25,9.3488,33.8955,,3.2825,10.2953,,9.5381,22.3451,6.9267,23.1803,12.515,17.509,0.3333,2.7262,17.1506,,22.6919,12.6382,3.4014,5.4095,7.75,,1.1034,,5.125,6.4961,18.5486,3.7825,,21.44,,,20.2705,4.6779,35.2312,42.1525,17.7241,26.8184,17.62,7.3731,15.375,13.561,9.1251,11.1689,7.438,1.6274,7.6805,24.8576,32.6988,10.6375,5.1914,5.4204,18.625,11.5,,8.789,,,
1/28/1998,,,5.887,8.125,9.3567,34.6757,,3.095,10.5426,,9.7025,22.4139,7.125,23.7295,12.75,18.446,0.349,2.7575,17.1899,,23.3312,12.8934,3.4523,5.5394,7.6267,,1.1792,,5.125,6.5451,18.6602,3.875,,21.875,,,20.1022,4.9898,36.16,42.7895,18.5559,27.5445,17.75,7.4021,16.375,13.754,9.414,10.9176,7.125,1.7515,7.8011,24.6375,32.8561,10.7227,5.2725,5.5572,19.125,11.75,,8.8243,,,
1/29/1998,,,5.8297,8.22,9.4807,34.4926,,3.2825,10.3602,,9.936,22.9101,7.145,24.1313,12.86,18.8373,0.3698,2.7662,17.0229,,23.3019,12.8193,3.4014,5.579,8.1033,,1.1825,,4.9375,6.6667,18.7254,3.5625,,22,,,20.1022,4.9898,36.0592,41.7788,18.7408,27.6148,17.62,7.3483,16.875,14.035,9.3639,10.8906,7,1.7587,7.8265,25.6531,32.0779,10.7227,5.3536,5.6186,19.5,11.5,,8.8625,,,
1/30/1998,,,5.7909,8.25,9.3396,35.3981,,3.3125,10.4776,,10.403,22.8667,6.9583,23.701,12.6875,18.702,0.3568,2.6012,16.6595,,24.2144,12.7706,3.3892,5.6917,8.1267,,1.1403,,4.845,6.4706,18.6602,3.4225,,21.69,,,20.1202,4.9898,35.8946,40.6661,18.8776,27.4977,17.88,7.4518,16.19,14.0884,9.2908,10.4417,7,1.7863,7.8138,25.3903,32.2849,10.7388,5.5429,5.5846,19.625,11.5325,,8.7508,,,
2/2/1998,,,5.9709,8.19,9.3897,36.8429,,3.1575,11.3158,,10.7654,23.928,7.1867,24.3452,13.25,19.1995,0.349,2.7037,16.6988,,24.9464,13.1602,3.3117,5.8603,8.6667,,1.091,,4.6875,6.251,19.1905,3.75,,23.5,,,20.6823,4.9898,36.8234,43.953,19.5024,27.5913,19,7.4518,16.44,14.24,9.4602,11.3395,7.375,1.8343,8.1839,26.3207,33.5266,10.8378,5.6651,5.7357,19.065,11.515,,8.6772,,,
2/3/1998,,,5.9259,8.03,9.2908,37.0837,,3.0625,11.2236,,10.7056,23.928,7.0833,23.7747,12.845,19.4555,0.349,2.9613,17.0327,,24.3413,13.2576,3.3117,5.973,9.5833,,1.1122,,5.25,6.5196,19.0137,3.9075,,24.5,,,20.8897,5.3016,36.4891,43.8511,19.8943,27.24,18.81,7.6339,16.125,14.228,9.4602,11.6717,7.5,1.7653,8.1712,26.2781,33.5266,10.9967,5.637,5.8452,18.75,11.2825,,8.6772,,,
2/4/1998,,,5.9381,8,9.2829,37.5075,,3.095,11.0937,,10.5188,23.3846,7.0833,23.7747,13.5625,18.8687,0.3412,2.9688,17.1506,,24.3999,13.355,3.3382,6.0686,9.9167,,1.1122,,5.1725,6.5686,19.0695,4.2425,,25.19,,,20.6282,5.3016,36.2927,42.8404,19.9202,26.9355,19,7.7126,16,14.0574,9.5835,9.8222,7.5,1.7929,8.2241,26.1005,33.1127,11.098,5.6716,5.9,18.155,11.36,,8.586,,,
2/5/1998,,,6.0087,7.905,9.3158,36.8429,,3.1575,10.7395,,10.4497,22.7073,6.9167,23.4323,13.595,18.5813,0.3438,2.5863,17.4649,,24.6146,13.3803,3.3239,6.0911,9.6867,,1.0384,,5.3125,6.7157,20.1765,4.22,,24.375,,,20.7033,5.4588,35.3957,43.9021,19.8943,26.5373,19,7.7871,16,13.7758,9.9186,9.4272,7.125,1.8343,8.1839,26.1431,32.8064,11.098,5.6445,5.9339,17.03,11.5,,8.6596,,,
2/6/1998,,,6.1621,7.94,9.4715,37.5653,,3.25,11.3032,,10.5076,23.4317,6.9583,23.2849,14.0775,19.1102,0.3333,2.6325,17.6319,,24.5219,13.7446,3.2995,6.1876,9.7067,,1.1158,,5.86,6.6176,19.5346,4.1875,,25,,,20.9648,5.3016,35.4276,45.0147,19.9202,26.7716,19.38,8.2011,16.94,13.971,9.8955,8.9783,7.125,1.8492,8.3553,26.2354,33.1624,11.0681,5.651,5.8792,18.11,11.6875,,8.5684,,,
2/9/1998,,,6.1304,8,9.4556,36.2457,,3.0625,11.0937,,10.3675,23.3194,7.23,23.2849,14.2025,19.0039,0.3333,2.6412,17.6909,,24.2486,13.6472,3.2873,6.221,9.7067,,1.0699,,5.9375,6.7902,20.2323,4.2825,,25.065,,,20.7033,5.3016,34.4988,45.278,19.7094,27.1229,19.25,7.8906,17.125,13.9485,9.9687,9.3733,7.375,1.8757,8.3024,26.2781,33.0134,11.1556,5.8608,5.8244,17.815,12,,8.6772,,,
2/10/1998,,,5.9443,7.845,9.7023,35.6389,,3.095,11.5379,,10.5655,23.6128,7.3133,23.9411,14.5,19.5159,0.3412,2.6012,17.6909,,24.4291,13.7212,3.2873,6.2038,9.6467,,1.0454,,5.97,6.8627,19.7672,4.4075,,24.155,,,20.9648,5.3016,33.7026,45.4903,20.1494,27.4977,20.12,7.8906,16.97,14.5099,10.0611,9.5439,7.5,1.8216,8.5139,27.0309,32.3925,11.3145,5.8814,5.9679,18,11.9075,,8.6772,,,
2/11/1998,,,6.0343,7.565,9.6535,35.3403,,3.1575,11.4855,,10.6477,23.4752,7.0833,23.6558,14.61,19.6367,0.3255,2.625,17.6319,,24.3999,14.2316,3.2995,6.2155,9.6667,,1.0488,,6.0625,7.0706,20.2323,4.4075,,23.69,,,20.7965,5.3016,35.2047,46.1273,21.3288,27.5211,20,7.7871,16.31,14.4564,10.0149,9.8222,9.5,1.8205,8.5795,26.9457,32.4422,11.5011,5.8068,5.8726,18.065,11.875,,8.9361,,,
2/12/1998,,,6.0915,7.75,9.7445,36.0049,,3.1875,11.5254,,10.4851,23.6128,7.0833,23.5512,14.47,19.7888,0.3281,2.4925,17.6123,,24.0973,14.5004,3.2873,6.266,9.6667,,1.0525,,6,7.0706,20.93,4.4375,,23.565,,,20.9739,5.1469,34.4381,46.9767,21.351,27.5913,19.94,7.7374,16.81,14.5635,9.9918,9.8222,8.938,1.8619,8.5012,26.9457,32.6491,11.2408,6.0566,5.9405,18.125,12,,8.8243,,,
2/13/1998,,,6.1365,7.69,9.7682,35.2825,,3.25,11.2508,,10.4609,23.3194,7.2917,23.418,14.375,19.6681,0.3203,2.5,17.6123,,24.1559,14.2316,3.2608,6.2264,9.9367,,1.0418,,6.0625,7.0843,22.6788,4.72,,23.75,,,20.8231,4.9898,33.9057,47.2485,20.8888,27.5679,20.06,7.6588,17.06,14.446,9.9918,9.7683,8.563,1.869,8.5541,27.4286,32.8064,11.3859,6.2935,5.9274,19,11.985,,8.8625,,,
2/17/1998,,,6.2777,7.47,9.9252,34.8587,,3.0625,11.276,,10.4964,23.2941,7.25,23.6273,14.625,19.4266,0.3177,2.4688,17.5141,,23.5459,14.4147,3.273,6.294,9.8133,,1.0181,,6.0625,7.1078,22.3253,4.235,,23.5,,,20.9558,5.1469,32.8729,46.9257,21.0737,28.0832,20.56,7.7623,17.125,14.5963,10.0149,9.5978,8.813,1.8757,8.4885,28.2312,31.9207,11.6162,6.1442,5.9405,19,11.985,,9.1743,,,
2/18/1998,,,6.29,7.47,9.8764,35.6389,,3.375,11.5254,,10.6122,23.3194,7.48,23.7295,14.8125,19.6825,0.2943,2.3825,17.4748,,23.8533,14.4517,3.2485,6.3508,9.9167,,1.0119,,6.11,7.2804,22.7904,4.3125,,23.5,,,21.2573,4.9898,31.9413,47.0871,20.704,29.1138,20.19,8.0231,16.94,14.921,10.0149,9.5978,8.688,1.8757,8.607,28.1388,32.1276,11.8327,6.3205,5.9953,18.75,12.345,,9.2655,,,
2/19/1998,,,6.3605,7.25,9.7273,35.3981,,3.2975,11.5254,,10.4964,22.979,7.48,23.2397,14.9375,19.6536,0.3177,2.4375,17.4355,,23.3946,14.0991,3.2608,6.3165,9.8733,,1.0032,,5.97,7.5,22.7904,4.085,,23.125,,,21.2754,4.9898,32.1756,48.1488,19.3175,28.6453,20.12,8.3046,16.97,14.8779,10.0149,9.8222,8.875,1.8757,8.4885,28.3661,32.4422,11.8603,6.34,6.0566,18.815,12.375,,9.2655,,,
2/20/1998,,,6.201,7.125,9.7933,35.0417,,3.3125,11.3682,,10.3917,23.6346,7.4167,23.418,14.5,19.4869,0.3594,2.5238,17.406,,22.9066,14.5238,3.2485,6.3337,10.3333,,1.0401,,5.9375,7.598,23.5439,4.0325,,23.375,,,21.1246,4.9898,32.8091,46.501,19.6429,29.2075,19.88,8.4868,17.03,15.0817,10.1613,9.5439,8.625,1.8343,8.5139,29.4314,32.4422,11.9478,6.34,6.0916,18.75,12.3125,,9.2655,,,
2/23/1998,,,6.4822,6.905,9.8843,34.7335,,3.1725,11.408,,10.5431,23.5657,7.25,23.8935,13.8275,20.7693,0.3828,2.5075,17.3471,,22.0819,14.4887,3.2608,6.3733,10.3733,,1.0505,,5.7825,7.5863,23.6648,3.9525,,23.44,,,21.7096,4.9898,34.5019,47.5118,19.8277,30.5894,20,8.2798,17.06,15.4393,10.1844,9.6516,8.438,1.8205,8.5795,29.1047,32.6491,11.759,6.4481,6.1321,18.625,12.5,,9.3391,,,
2/24/1998,,,6.156,7,9.8672,34.8587,,3.235,11.1063,,10.4142,23.2723,6.9683,23.9173,13.9525,19.2744,0.3594,2.5075,17.4453,,21.4719,14.3777,3.1711,6.4914,10.25,,1.0153,,5.625,7.6235,23.609,3.75,,23.19,,,22.0503,4.8351,34.0388,45.1761,19.6651,29.957,19.5,8.3584,16,15.1145,10.1844,9.7683,8.375,1.8216,8.4356,28.4355,32.6491,11.6439,6.4481,6.1048,18.28,12.375,,8.8978,,,
2/25/1998,,,5.9893,6.78,9.8592,34.9165,,3.3125,11.1712,,10.5076,23.2289,7.25,23.7604,14.7025,19.6536,0.3672,2.5162,18.3195,,22.2039,14.3777,3.1466,6.5708,10.1867,,1.0418,,5.9375,7.6471,23.3765,3.985,,23.5,,,22.388,4.9898,34.8054,45.227,19.7797,29.7228,19.5,8.3046,15.125,15.2665,10.2537,9.7055,8.5,1.8271,8.6726,29.1902,33.9405,11.6439,6.5433,6.2756,18.065,12.39,,9.1184,,,
2/26/1998,,,5.9709,6.78,9.8263,34.4349,,3.25,11.2236,,10.4497,23.3629,7.3333,23.7747,14.8275,19.7574,0.375,2.5625,18.4571,,23.1213,14.366,3.1344,6.5257,10.3733,,1.0173,,5.6875,7.6961,23.6648,4.0325,,23.625,,,22.4272,4.9898,34.8373,44.2715,19.41,29.512,19.38,8.4371,15.06,15.5895,10.377,9.7055,8.25,1.8415,8.7127,29.0549,34.0978,11.8603,6.5844,6.3172,18.25,12.22,,9.192,,,
2/27/1998,,,5.9831,6.78,9.8672,34.5601,,3.345,11.1335,,10.5786,23.0478,7.5633,23.8222,14.9375,19.7743,0.3698,2.5787,18.7616,,22.8139,14.4264,3.1344,6.486,10.73,,1.0083,,5.72,7.9902,23.6648,3.9225,,22.75,,,22.7287,4.8351,35.0343,44.3822,19.6429,29.8867,19.5,8.4371,14.94,15.2872,10.377,9.6516,8.125,1.8757,8.6599,28.8769,33.9405,12.0331,6.5638,6.3511,18.69,12.4225,,9.1184,,,
3/2/1998,,,5.8747,6.69,9.9173,35.0995,,3.3125,10.9826,,10.601,22.729,7.1667,24.1313,14.875,19.7284,0.349,2.5787,18.8794,,22.9652,14.329,3.1976,6.5536,11.2067,,1.0136,,5.625,7.8922,23.5439,3.5325,,22.625,,,22.5388,4.8351,34.6031,44.2715,19.5504,29.6993,20.12,8.7476,14.125,15.1681,10.5195,9.4272,7.75,1.8415,8.7529,29.2756,33.0134,12.3209,6.6179,6.3577,18.315,12.22,,9.4508,,,
3/3/1998,,,5.8041,6.595,9.9001,34.6757,,3.5,11.1985,,10.601,22.6602,6.855,24.3215,14.9075,19.0788,0.375,2.8675,18.8598,,22.3259,14.2686,3.1976,6.5645,11.5433,,1.0173,,5.6575,7.9529,23.8974,4.125,,22.875,,,22.4634,4.9898,34.273,45.3358,19.5726,29.6993,20.12,8.6441,15.44,15.0281,10.4463,9.5439,7.625,1.8619,8.8312,29.3682,33.1127,12.565,6.7866,6.3303,18.375,12.095,,9.8185,,,
3/4/1998,,,5.9003,6.655,9.7933,35.8219,,3.47,11.0539,,10.4254,22.9192,6.5417,24.0362,14.72,19.2744,0.3854,2.7887,18.6928,,22.3893,14.1965,3.1466,6.4464,10.8967,,1.0136,,5.6875,7.9294,23.4881,4.095,,22.815,,,22.1046,4.8351,33.4053,45.9743,19.0624,29.3597,20.25,8.3584,15.25,14.6723,10.4001,9.5439,7.5,1.8619,8.8058,29.6814,33.27,12.4223,6.9489,6.2394,18.065,11.735,,9.6332,,,
3/5/1998,,,5.9514,6.875,9.8592,35.2825,,3.5325,10.9889,,10.2162,22.8938,6.875,23.7747,14.5,18.9725,0.3802,2.7575,18.5749,,22.2966,14.3777,3.1079,6.3787,10.77,,1.0173,,5.7825,7.8059,23.3765,3.97,,22.515,,,21.7849,4.8351,34.273,46.7746,19.0181,29.0776,20.44,8.4371,14.875,14.7794,10.3269,9.5439,7.516,1.8205,8.8587,29.5889,32.9554,12.2933,6.8548,6.1089,17.5,11.7025,,9.5597,,,
3/6/1998,,,6.0793,7.095,10.0083,35.4559,,3.75,11.0811,,10.345,23.7106,7.2083,24.369,14.5325,19.3203,0.3802,2.7887,18.7517,,22.4772,14.4751,3.1854,6.3959,10.77,,1.0595,,5.72,7.8059,23.3113,4.095,,23.78,,,22.2764,4.9898,35.2047,47.4642,19.2251,29.9474,20.38,8.7724,15.06,14.8986,10.5696,9.6516,7.625,1.8271,9.1887,30.3934,33.0134,12.6088,6.9218,6.212,17.44,11.8275,,9.6891,,,
3/9/1998,,,6.1048,7.22,9.9753,36.3035,,3.5625,11.3954,,10.5076,23.7106,7,24.9634,14.9075,19.5618,0.375,2.7975,18.791,,22.9944,14.9504,3.2485,6.3454,10.9567,,1.0646,,5.96,7.7451,23.4323,4.265,,23,,,22.3699,4.8351,34.4061,47.626,18.8554,30.253,21.38,8.7476,15,15.0074,10.5927,9.5439,7.563,1.7863,9.7048,29.9021,32.5415,12.7815,6.9824,6.1297,17.375,11.515,,9.6508,,,
3/10/1998,,,6.0598,7.69,10.1402,36.5443,,3.515,11.3954,,10.6198,23.9611,7.3333,25.5102,15.4525,20.0593,0.3698,2.8512,19.1054,,22.7212,14.7556,3.2485,6.514,11,,1.0665,,6.2825,7.7941,24.1299,4.1725,,22.47,,,22.6141,4.8351,35.3697,49.6437,19.41,30.7466,21.75,8.8759,14.75,15.1801,10.5465,9.8761,7.563,1.7929,9.6371,29.9448,32.4919,12.7953,7.1511,6.1495,17.5,12.095,,9.7626,,,
3/11/1998,,,6.1048,7.655,10.2391,37.6905,,3.6575,11.5254,,10.9146,24.2552,7.48,25.4389,15.2825,20.3467,0.3698,3,18.9836,,22.9359,14.5861,3.2485,6.6384,11.02,,1.0806,,6.1725,7.8196,24.5392,4.2975,,21.5,,,22.8976,4.6779,35.3377,49.7033,19.3878,30.5115,22.38,8.9794,14.25,15.1145,10.6389,9.9928,7.813,1.7929,9.4129,30.2154,31.9207,12.9266,7.1111,6.1297,16.97,12.1725,,9.892,,,
3/12/1998,,,6.201,7.375,10.2958,38.5285,,3.5625,12.2336,,10.832,25.141,7.5733,25.5102,16.345,20.7548,0.3802,2.9537,19.2105,,22.6919,14.4887,3.2363,6.7222,11.7067,,1.1068,,6.3125,7.7216,24.2416,4.375,,21.625,,,22.9157,4.8351,34.9012,50.8697,19.2029,30.347,22.25,8.6441,14.31,14.8882,10.6158,10.1544,8.5,1.8205,9.4933,30.6141,31.8213,13.0556,7.2257,6.1429,17.25,12.4525,,10.295,,,
