Date,A,ABBV,ABC,ABMD,ABT,AGN,ALGN,ALXN,AMGN,ANTM,BAX,BDX,BIIB,BMY,BSX,CAH,CELG,CERN,CI,CNC,COO,CVS,DGX,DHR,DVA,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,NKTR,PFE,PKI,PRGO,REGN,RMD,SYK,TFX,TMO,UHS,UNH,VAR,VRTX,WAT,WCG,XRAY,ZBH,ZTS,XLV
1/2/1998,,,5.8823,8.125,8.8874,30.9518,,2.97,11.2076,,9.3376,18.052,5.645,22.498,11.5625,18.2739,0.3594,2.7431,16.9247,,19.7053,12.3856,3.4911,5.6282,9.0433,,1.0636,,5.2975,6.9118,19.6148,4.015,,21.375,,,19.4223,4.5232,36.3888,45.0831,18.4874,25.0359,17,8.3046,12.845,12.9295,7.9895,12.6247,8.875,1.5395,7.8592,26.2906,35.7297,11.404,5.3506,5.4751,16.69,9.39,,8.7375,,,
1/5/1998,,,5.8385,8.155,8.9361,32.3312,,2.97,11.1681,,9.4773,18.1423,5.6667,22.7785,11.75,18.5871,0.375,2.9613,16.9149,,19.7639,12.7629,3.4523,5.6507,9,,1.0879,,5.3125,6.6667,19.7262,3.97,,21.125,,,19.4044,4.5232,37.9723,44.6598,18.9268,25.1988,16.75,8.3046,13.94,13.6333,8.3453,12.7319,9,1.5395,7.9246,26.2906,35.0017,11.3327,5.3431,5.6054,16.565,9.14,,8.4086,,,
1/6/1998,,,5.7297,8.25,8.7885,31.9768,,3,11.0393,,9.4419,18.1206,5.8333,22.914,11.5325,18.5273,0.3776,3.0623,16.905,,19.8225,12.2398,3.3892,5.6732,8.9167,,1.0915,,5.36,6.7412,19.2621,3.9375,,20.5,,,19.1058,4.2114,37.3126,43.8131,18.4874,24.8498,16.69,8.2011,15.69,13.196,8.1311,12.4014,8.5,1.5395,7.8992,26.3829,34.7949,11.289,5.3711,5.5167,16.44,9.8125,,8.5554,,,
1/7/1998,,,5.7877,8.53,8.8465,31.3158,,3,11.0518,,9.4885,17.9834,5.7083,22.9283,11.5625,18.348,0.401,2.6733,16.6791,,20.2519,12.3001,3.3382,5.8029,8.6867,,1.0845,,5.2975,6.7647,20.1903,3.97,,20.44,,,19.2939,4.0542,36.5841,43.6015,18.3489,24.4543,16.56,8.3584,15.5,13.3463,7.9895,12.2316,8.25,1.5395,7.8064,26.2481,34.0752,11.289,5.4174,5.4204,16.315,9.515,,8.4086,,,
1/8/1998,,,5.8192,8.69,8.9612,32.0343,,2.9375,11.0912,,9.4997,18.2795,5.875,22.4219,12.3125,17.7503,0.3802,2.697,16.7479,,20.4666,12.1173,3.3382,5.8308,8.4167,,1.1018,,5.0325,6.7157,19.3177,3.72,,20.125,,,19.5178,4.366,36.1566,44.0756,18.0938,24.7102,17.25,8.4619,16,13.2609,8.1081,12.3388,8.25,1.5533,7.8064,25.6734,33.2479,11.2614,5.4378,5.3864,16.565,10.2975,,8.3528,,,
1/9/1998,,,5.635,8.125,8.8623,30.1183,,3.0325,10.9354,,9.3134,17.8932,5.99,21.352,11.8275,16.959,0.3646,2.5174,16.7086,,19.6126,12.0939,3.2608,5.4931,8.1667,,1.0706,,5.0325,6.3725,18.2224,3.345,,19.69,,,19.2939,4.2114,35.1695,42.8649,17.5836,23.9424,16.88,8.2798,15.405,12.6306,7.5341,11.9546,8.688,1.5395,7.5828,25.0492,33.0411,11.19,5.3301,5.2014,16.405,10.0475,,7.9475,,,
1/12/1998,,,5.4692,8.125,9.1667,29.5148,,3,10.9998,,9.0694,17.8715,5.8333,21.9916,11.47,17.2435,0.3698,2.4788,16.8559,,19.4613,12.2514,3.273,5.431,7.9167,,1.0321,,4.9375,5.9078,18.5658,3.22,,18,,,19.685,3.8995,36.0246,42.2807,17.2619,24.7102,17,8.0479,14.625,13.0576,7.8211,11.2845,8.375,1.567,7.6355,25.3613,32.6771,11.2752,5.2354,5.3109,15.94,10.14,,7.9298,,,
1/13/1998,,,5.5587,7.875,9.2077,29.4573,,3.25,10.792,,9.0694,17.9184,6.23,21.8869,11.0625,17.167,0.3594,2.6496,16.907,,20.1933,12.2514,3.273,5.4256,8.1267,,1.0739,,5.3125,6.0549,18.3338,3.39,,19,,,19.8163,3.8995,35.861,42.9157,17.1214,24.7335,18.75,8.1514,15.345,13.2062,7.8211,11.5615,8.375,1.567,7.6883,25.2265,33.4548,11.4915,5.1686,5.4269,16.5,10.11,,8.0767,,,
1/14/1998,,,5.6666,8.125,9.2327,30.4728,,3.25,10.3889,,9.291,18.2795,6.5,21.8727,10.8125,16.9877,0.3672,2.6346,16.9542,,20.4666,12.6404,3.2873,5.3977,8.2933,,1.053,,5.4075,6.0294,18.9186,3.47,,20.065,,,19.8522,4.366,36.0933,44.0756,17.3544,25.5711,18.25,8.4619,14.875,13.2916,8.089,11.3917,8.563,1.567,8.0448,25.2265,33.5044,11.3902,5.2634,5.4543,17.25,10.1875,,8.1883,,,
1/15/1998,,,5.806,8.19,9.1589,30.4728,,3.375,10.1812,,9.3488,18.886,6.5417,21.8727,10.765,16.959,0.3516,2.6184,16.7577,,20.5886,12.5431,3.3239,5.3697,8.2933,,1.0706,,5.22,6.0784,18.5101,3.4525,,20.5,,,19.6103,4.0542,35.3648,44.7106,16.87,25.2919,18,8.4371,14.97,12.95,8.0659,11.5079,8.375,1.567,7.952,25.0492,33.2976,11.1325,5.0609,5.3317,17.815,10.2025,,8.3146,,,
