Date,AAL,ALK,ALLE,AME,AOS,ARNC,BA,CAT,CHRW,CMI,CPRT,CSX,CTAS,DAL,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FBHS,FDX,FLS,FTV,GD,GE,GWW,HII,HON,INFO,IR,ITW,JBHT,JCI,JEC,KSU,LHX,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PCAR,PH,PNR,PWR,RHI,ROK,ROL,ROP,RSG,RTN,SNA,SWK,TDG,TXT,UAL,UNP,UPS,URI,UTX,VRSK,WAB,WM,XYL,XLI
1/2/1998,,,,3.3564,3.2938,28.8378,31.2332,13.9442,4.0943,9.1581,0.7554,5.8538,20.7466,,18.0877,16.1132,16.9719,15.5691,12.2093,4.038,1.8337,,27.4173,7.1275,,14.1171,12.9255,33.6959,,23.5743,,11.4835,19.4217,3.8353,11.7991,6.2359,0.9513,14.6436,28.9169,6.6286,13.5155,24.5506,,32.7056,18.6512,4.8979,21.2247,8.1621,,15.2051,10.6719,1.3329,12.5045,,30.0801,24.6047,26.3715,,23.6508,,10.4679,,20.06,12.0062,,11.7865,17.5147,,
1/5/1998,,,,3.3488,3.2738,29.3437,31.0735,14.1405,3.9828,9.1489,0.75,5.8875,21.9447,,17.7728,16.1941,16.6739,15.759,12.4104,3.9738,1.921,,27.5615,6.8838,,14.3227,13.1543,33.7373,,23.2759,,11.187,19.3825,3.8477,11.9968,6.2529,0.9304,14.7444,29.1205,6.9374,13.5982,24.5153,,33.0187,19.1136,5.0809,21.0807,8.6624,,14.8885,10.5111,1.3368,11.9656,,29.6138,24.4944,26.2673,,23.4846,,10.478,,18.81,11.9947,,12.1078,17.3473,,
1/6/1998,,,,3.4275,3.26,28.6861,30.5942,14.0324,3.8394,8.9958,0.7475,5.9355,21.203,,17.7129,16.1941,16.7652,15.6049,12.6016,3.9604,1.8449,,28.8014,7.0316,,14.2931,12.9797,33.9306,,23.3893,,11.2569,19.1149,3.86,11.9968,6.3286,0.9437,14.624,29.2119,6.6969,13.4995,24.5888,,33.0757,19.1136,4.9979,21.1643,8.6013,,14.6954,10.6342,1.3166,11.3446,,28.8193,24.4596,25.5785,,23.0126,,10.3738,,19.38,11.8617,,12.0511,17.5464,,
1/7/1998,,,,3.3323,3.2354,28.7366,30.754,13.7848,3.9385,8.9008,0.745,5.9627,21.5246,,17.4957,15.8303,16.4624,15.759,12.6198,3.8703,1.7999,,29.1396,7.0964,,14.3129,13.0897,33.9306,,23.2759,,11.1534,18.8309,3.7695,11.749,6.2969,0.9322,14.1978,30.7168,6.9538,13.6382,24.7888,,34.8689,19.4219,4.7914,21.5127,8.6624,,14.6491,10.3245,1.3126,12.0734,,27.9903,24.5293,25.5785,,22.635,,10.6579,,18.88,11.8207,,11.8148,17.4333,,
1/8/1998,,,,3.3488,3.1832,27.5224,29.6358,13.3209,4.0713,8.5073,0.7396,5.9017,22.6604,,16.9446,15.6641,16.9719,15.7948,12.7329,3.7926,1.7576,,29.2523,7.2078,,14.2109,12.9692,33.9306,,22.9775,,10.9073,18.1781,3.7839,11.7015,6.2969,0.9041,14.5817,29.9791,6.8336,13.6542,24.4947,,34.1573,18.9595,4.6443,22.1259,8.6319,,14.1433,10.1021,1.3615,12.1555,,28.2091,24.1287,25.5437,,22.6576,,10.594,,18.44,11.7189,,11.7865,16.9492,,
1/9/1998,,,,3.2853,3.111,26.8141,28.837,12.9311,3.8943,8.0204,0.7317,5.649,22.1107,,15.9999,15.2959,16.1596,15.6214,12.0166,3.7471,1.5695,,28.2063,7.0316,,13.9838,12.653,32.4016,,22.1957,,10.3312,17.4828,3.6027,11.3376,6.0992,0.8508,14.0936,29.4716,6.5602,13.4213,24.2948,,33.4172,18.497,4.5792,20.6161,8.4557,,13.6104,9.6792,1.3283,11.0752,,26.9138,23.5887,24.8549,,21.9968,,10.1114,,18.25,11.2461,,11.5785,16.6686,,
1/12/1998,,,,3.2218,3.0964,26.7636,28.9968,13.2156,3.7845,8.221,0.7242,5.7383,21.4623,,16.5919,15.3812,16.3999,15.9324,12.2442,3.6239,1.6172,,28.1792,6.902,,14.1796,13.0024,32.9194,,21.6347,,10.4347,17.4012,3.6027,11.6356,6.1602,0.8508,13.8919,29.6545,6.8336,13.3704,24.3477,,33.4172,18.8053,4.5415,21.3408,8.4111,,13.707,9.7169,1.2918,10.9369,,27.524,23.4784,25.4685,,22.2082,,10.3317,,17.81,11.4414,,11.0492,16.275,,
1/13/1998,,,,3.317,3.121,26.7129,28.7923,13.1075,3.85,8.2118,0.7292,5.7863,21.5557,,16.3557,15.2959,16.3422,16.1884,12.4355,3.5855,1.6636,,28.5174,6.9823,,14.303,13.046,32.7226,,21.9331,,10.6808,17.176,3.6542,11.7832,6.3286,0.8774,14.2791,29.5955,6.8691,13.6542,24.7358,,33.4742,18.9595,4.5387,21.8611,8.397,,14.6491,10.0525,1.2918,11.1529,,28.0997,23.0082,25.2891,,22.3744,,10.1955,,19.88,11.6467,,10.8696,16.3293,,
1/14/1998,,,,3.364,3.2308,26.7889,29.5527,13.1986,3.7951,8.3542,0.7267,5.7993,21.2652,,16.6895,15.8303,16.3422,16.739,12.61,3.5659,1.6708,,28.2378,7.226,,14.1549,12.9901,33.4129,,22.6075,,10.8038,18.1552,3.6542,11.8333,6.4506,0.8983,14.3605,29.4893,6.8172,13.6033,24.7153,,33.4742,18.7683,4.6801,21.8332,8.4698,,14.3093,10.114,1.3042,11.9653,,28.4624,23.223,25.399,,22.2573,,10.1114,,20.63,11.8831,,11.0161,16.6686,,
1/15/1998,,,,3.2688,3.2116,26.6877,28.1981,13.0193,3.8058,8.3741,0.7554,5.759,20.8762,,16.2172,15.6057,16.2509,16.9812,12.6631,3.5203,1.7212,,28.6301,7.0627,,14.102,12.6967,32.7468,,21.8555,,10.8374,17.9137,3.6418,11.9652,6.3896,0.8605,14.175,29.3418,6.7133,13.6542,24.2566,,33.3034,18.6142,4.6565,22.5022,8.3829,,14.3595,10.251,1.3003,11.6931,,29.0381,23.2578,25.2138,,21.9968,,10.0374,,21.13,11.6368,,10.9878,17.1211,,
1/16/1998,,,,3.364,3.217,26.9153,27.7572,12.9649,3.9385,8.3542,0.7604,5.7449,21.6542,,16.3557,15.4935,16.3422,17.05,12.9074,3.6239,1.7383,,29.7032,7.2415,,14.0723,12.8155,33.4578,,21.6705,,11.1171,18.1976,3.7056,11.7674,6.5872,0.885,14.5817,29.4155,6.9538,13.6382,24.6388,,33.3888,18.5772,4.8093,22.242,8.3665,,14.2861,10.3245,1.3205,11.7752,,29.1417,23.5481,25.5437,,21.9968,,10.0475,,21.38,11.6975,,11.0776,17.094,,
1/20/1998,,,,3.3564,3.2792,27.6489,27.7955,12.8762,4.0943,8.613,0.7512,5.8124,22.3026,,16.6706,15.8572,16.9719,17.2565,12.3922,3.7274,1.8562,,29.9557,7.2078,,14.102,13.198,33.8685,,21.3004,,10.9605,18.9125,3.718,12.0469,6.7848,0.8907,15.1122,29.5365,7.4158,13.6382,24.6388,,33.5596,19.4219,4.8564,19.5988,8.3383,,14.819,10.4992,1.3166,11.7493,,29.6483,23.7687,26.6609,,21.6191,,10.0795,,21.94,11.7189,,11.3422,16.7229,,
1/21/1998,,,,3.3564,3.2692,27.7755,28.115,13.4142,4.0713,8.1536,0.75,5.6153,22.0432,,16.2581,15.8887,16.3134,17.1353,12.5318,3.715,1.8674,,29.7573,7.0782,,13.9896,13.198,33.3508,,21.6705,,10.8542,18.4229,3.6809,11.7832,6.7238,0.8717,14.7672,30.0676,7.6536,13.6703,24.3813,,34.1288,19.3479,4.7207,20.3235,8.2795,,14.985,10.4357,1.3126,11.7493,,29.9362,23.3681,26.1226,,21.7362,,9.9214,,22.25,11.7599,,11.1957,16.3293,,
1/22/1998,,,,3.4275,3.2738,27.3707,28.9137,13.0365,4.0058,8.2011,0.7396,5.4454,22.1729,,16.1196,15.1836,16.1019,17.1876,12.4885,3.6891,1.8589,,29.6175,7.0627,,14.1748,13.1334,32.8952,,21.9689,,10.6808,18.3184,3.7448,11.6013,6.6335,0.8472,14.5622,30.6873,7.3803,13.6542,23.8989,,34.7266,19.3047,4.715,20.1516,8.2208,,14.9155,10.4357,1.2839,11.7233,,29.2914,23.2056,25.7926,,21.6418,,9.7852,,22.06,12.2525,,11.2241,16.1302,,
1/23/1998,,,,3.4351,3.2262,27.9778,28.3131,13.0193,4.1155,8.2593,0.745,5.4791,22.0432,,16.1983,15.3273,15.4386,17.1023,12.3405,3.4882,1.8985,,28.8555,7.0627,,13.9681,12.936,32.8089,,21.7839,,10.4011,18.2988,3.7695,11.683,6.5725,0.8339,14.7249,30.6283,7.1233,13.2687,24.1386,,34.7266,19.0766,4.6565,20.4675,8.0306,,14.3363,10.4118,1.3081,11.7233,,28.7848,23.0604,25.6479,,21.4794,,9.7532,,21.75,12.2623,,11.3706,15.7909,,
1/26/1998,,,,3.3005,3.303,28.1295,28.3961,13.0565,4.05,8.221,0.7396,5.5205,21.815,,15.981,15.1567,15.8616,16.7747,12.3754,3.365,1.8589,,28.8285,6.9668,,14.3814,13.046,32.9815,,22.1539,,10.5242,18.2988,3.7695,11.5512,6.5872,0.8169,14.5232,30.9824,7.1752,13.2018,24.2689,,35.0966,18.6882,4.6264,20.2074,8.1621,,14.4792,10.4496,1.3042,11.8314,,29.9362,23.0082,25.7926,,21.4794,,9.7953,,21.88,12.8566,,11.3989,15.7094,,
1/27/1998,,,,3.3488,3.2738,28.3066,28.754,13.2711,3.9828,8.2118,0.7346,5.6022,22.0432,,15.5496,14.8198,15.5011,16.9812,12.3056,3.1838,1.9264,,28.9141,6.9486,,14.3401,13.3185,33.2196,,21.9689,,10.4347,18.4033,4.0144,11.4378,6.5872,0.8623,14.7868,31.1004,7.0058,13.2526,23.8427,,35.239,18.8053,4.6443,20.2677,8.1316,,14.4792,10.7474,1.3446,11.8011,,30.5464,23.4436,26.0126,,21.4303,,9.7852,,22.19,12.9601,,11.3422,15.8225,,
1/28/1998,,,,3.3957,3.2347,29.1921,30.0703,13.7718,4.0058,8.4598,0.7346,5.6567,22.4322,,16.0597,14.9591,15.7126,16.9647,12.261,3.2232,1.9912,,29.9557,6.9668,,14.0607,13.3185,33.1782,,23.4609,,10.5745,18.462,4.9162,11.5697,6.6335,0.8699,14.7444,31.1594,7.5525,13.2366,25.0088,,35.4667,19.539,4.7857,20.2074,8.1656,,14.9387,10.7335,1.3733,12.5055,,30.4773,23.1533,25.7579,,21.9024,,9.8794,,23,13.3492,,11.5218,16.3022,,
