Date,AAPL,ACN,ADBE,ADI,ADP,ADS,ADSK,AKAM,AMAT,AMD,ANET,ANSS,APH,AVGO,BR,CDNS,CRM,CSCO,CTSH,CTXS,DXC,FFIV,FIS,FISV,FLIR,FLT,FTNT,GLW,GPN,HPE,HPQ,IBM,INTC,INTU,IPGP,IT,JKHY,JNPR,KEYS,KLAC,LRCX,MA,MCHP,MSFT,MSI,MU,MXIM,NTAP,NVDA,ORCL,PAYX,PYPL,QCOM,QRVO,RHT,SNPS,STX,SWKS,SYMC,TEL,TSS,TXN,V,VRSN,WDC,WU,XLNX,XRX,XLK
1/2/1998,0.5103,,4.9919,9.5876,15.6116,,8.9134,,6.0196,9.655,,1.75,3.2413,,,24.94,,7.6505,,7.8311,,,,3.6481,2.2176,,,9.7966,,,11.2465,36.2194,11.8703,6.2388,,34.8438,5.3688,,,11.6443,9.4139,,5.4916,10.6796,91.9613,13.94,10.4773,3.5493,,3.3811,8.3431,,2.3418,,,17.53,,4.922,1.9596,,11.1341,8.8706,,,14.3957,,7.0163,72.8694,
1/5/1998,0.4987,,5.061,10.0224,15.8224,,9.0916,,6.4332,9.655,,1.7813,3.2344,,,25.13,,7.6347,,7.4128,,,,3.6578,2.2592,,,10.2586,,,11.1716,36.5006,12.1759,6.162,,34.069,5.5284,,,12.2912,9.2225,,5.8357,10.6186,94.1286,13.94,10.6704,3.7434,,3.437,8.4181,,2.3675,,,17.405,,4.7283,2.1388,,11.5486,8.9633,,,15.0216,,6.8564,73.901,
1/6/1998,0.5948,,5.2311,9.6119,15.8562,,9.3602,,6.0681,9.94,,1.8595,3.1835,,,24.5,,7.5359,,7.7788,,,,3.5881,2.203,,,10.1948,,,11.2029,36.0925,11.952,6.1236,,33.3038,5.4929,,,11.2303,8.025,,5.5483,10.6796,92.9421,13.44,10.4181,3.73,,3.3355,8.2154,,2.3477,,,16.53,,5.1158,2.1388,,11.1914,8.7778,,,14.6043,,6.7892,73.2879,
1/7/1998,0.5496,,5.1534,9.198,15.6455,,9.0465,,5.7283,9.5,,1.8595,3.169,,,23.88,,7.3132,,7.5299,,,,3.5926,2.1053,,,10.1616,,,11.3022,35.7496,11.8899,5.8733,,33.6533,5.4791,,,10.638,7.8521,,5.0687,10.5518,92.1511,13.25,10.01,3.3829,,3.1062,8.1729,,2.1641,,,16.22,,5.1939,2.0823,,11.3281,8.4661,,,14.3957,,6.5041,70.7382,
1/8/1998,0.5713,,5.2002,9.2397,15.5804,,9.256,,5.6914,9.47,,1.8595,3.1545,,,24.31,,7.3962,,7.4253,,,,3.5785,2.1615,,,10.2739,,,11.3562,35.729,12.1449,5.7674,,33.0676,5.4929,,,10.5115,7.5805,,4.8967,10.6283,91.3601,14.19,9.9694,3.4106,,2.9857,8.1627,,2.1867,,,16,,5.0377,2.0152,,10.8607,8.2212,,,13.6697,,6.5622,69.2201,
1/9/1998,0.5713,,5.0844,8.697,15.2708,,8.556,,5.437,9.125,,1.922,3.1331,,,23.31,,7.1485,,7.0133,,,,3.4444,2.1334,,,9.7966,,,10.8005,34.3127,11.7477,5.3943,,31.537,5.1481,,,9.9911,7.0218,,4.7941,10.3433,87.8007,13.75,9.3651,3.1056,,2.7563,8.0877,,2.0991,,,15.69,,4.7658,1.9149,,10.5829,7.724,,,13.0938,,6.2897,66.6024,
1/12/1998,0.5731,,5.0228,8.697,15.596,,8.5108,,5.4487,8.875,,1.875,3.1076,,,22.75,,7.3382,,7.2423,,,,3.5326,2.1334,,,9.6843,,,10.8336,34.3333,12.3606,5.3835,,32.2361,5.0496,,,9.8474,7.1762,,4.6678,10.5469,86.2187,14.315,9.2498,3.0779,,2.6549,7.9175,,2.1271,,,16.565,,4.7064,1.8701,,10.4726,7.8854,,,12.5681,,6.1862,66.544,
1/13/1998,0.6124,,4.9611,9.2188,15.6455,,8.6608,,5.8137,10.44,,1.875,3.0822,,,23.75,,7.3791,,7.5173,,,,3.5741,2.2457,,,9.6996,,,11.128,35.0191,12.5747,6.162,,32.7085,5.1718,,,11.0147,7.775,,4.6221,10.7611,90.9646,16,9.5208,3.2309,,2.8019,8.0554,,2.2008,,,17,,5.0783,2.0823,,10.6093,8.7667,,,13.7197,,6.7656,68.4903,
1/14/1998,0.6203,,4.7923,8.697,15.6116,,8.8989,,5.7167,9.22,,1.9375,3.1476,,,23.13,,7.5108,,7.6868,,,,3.5556,2.1761,,,9.6996,,,10.9747,35.1906,12.3296,5.9117,,32.0094,5.2466,,,10.4943,7.6793,,5.0577,10.6796,90.0787,15.565,10.1252,3.12,,2.8754,8.4657,,2.2008,,,17.315,,5.7814,2.0994,,10.3095,8.5811,,,13.3025,,6.6984,68.9768,
1/15/1998,0.6027,,4.8379,9.1771,15.4009,,9.0179,,5.7885,9.03,,2.047,3.2234,,,24.06,,7.5688,,7.7652,,,,3.7407,2.2457,,,9.5082,,,11.1489,35.4718,12.3083,5.6722,,32.7085,5.4299,,,11.0521,7.3706,,5.0797,10.7758,88.4018,15.78,10.281,3.0646,,2.8298,7.8851,,2.0792,,,16.94,,5.5471,2.077,,10.3359,8.4884,,,13.7197,,6.6076,68.5486,
