Date,AAPL,ACN,ADBE,ADI,ADP,ADS,ADSK,AKAM,AMAT,AMD,ANET,ANSS,APH,AVGO,BR,CDNS,CRM,CSCO,CTSH,CTXS,DXC,FFIV,FIS,FISV,FLIR,FLT,FTNT,GLW,GPN,HPE,HPQ,IBM,INTC,INTU,IPGP,IT,JKHY,JNPR,KEYS,KLAC,LRCX,MA,MCHP,MSFT,MSI,MU,MXIM,NTAP,NVDA,ORCL,PAYX,PYPL,QCOM,QRVO,RHT,SNPS,STX,SWKS,SYMC,TEL,TSS,TXN,V,VRSN,WDC,WU,XLNX,XRX,XLK
1/2/1998,0.5084,,4.9919,9.5351,15.537,,8.9134,,5.9885,9.655,,1.75,3.2334,,,24.94,,7.6505,,7.8025,,,,3.6481,2.21,,,9.7299,,,11.1565,35.7909,11.7977,6.2388,,34.8438,5.353,,,11.5652,9.3597,,5.4665,10.6408,91.6347,13.94,10.3864,3.5493,,3.3811,8.2822,,2.3203,,,17.53,,4.8947,1.952,,11.1228,8.8128,,,14.2359,,6.9936,72.3574,
1/5/1998,0.4968,,5.061,9.9675,15.7467,,9.0916,,6.4,9.655,,1.7813,3.2265,,,25.13,,7.6347,,7.3857,,,,3.6578,2.2514,,,10.1888,,,11.0822,36.0688,12.1015,6.162,,34.069,5.5121,,,12.2077,9.1694,,5.809,10.5799,93.7944,13.94,10.5779,3.7434,,3.437,8.3565,,2.3458,,,17.405,,4.702,2.1304,,11.5369,8.905,,,14.8549,,6.8343,73.3817,
1/6/1998,0.5925,,5.2311,9.5593,15.7804,,9.3602,,6.0368,9.94,,1.8595,3.1757,,,24.5,,7.5359,,7.7504,,,,3.5881,2.1954,,,10.1254,,,11.1133,35.6656,11.879,6.1236,,33.3038,5.4768,,,11.154,7.9787,,5.5229,10.6408,92.6121,13.44,10.3277,3.73,,3.3355,8.1554,,2.3261,,,16.53,,5.0874,2.1304,,11.1801,8.7206,,,14.4422,,6.7673,72.7729,
1/7/1998,0.5475,,5.1534,9.1476,15.5707,,9.0465,,5.6988,9.5,,1.8595,3.1613,,,23.88,,7.3132,,7.5024,,,,3.5926,2.0981,,,10.0924,,,11.2118,35.3267,11.8172,5.8733,,33.6533,5.463,,,10.5657,7.8069,,5.0455,10.5134,91.8239,13.25,9.9232,3.3829,,3.1062,8.1131,,2.1443,,,16.22,,5.1651,2.0742,,11.3167,8.411,,,14.2359,,6.4831,70.2412,
1/8/1998,0.569,,5.2002,9.1891,15.5059,,9.256,,5.662,9.47,,1.8595,3.1468,,,24.31,,7.3962,,7.3982,,,,3.5785,2.154,,,10.204,,,11.2653,35.3064,12.0706,5.7674,,33.0676,5.4768,,,10.4401,7.5368,,4.8743,10.5897,91.0357,14.19,9.883,3.4106,,2.9857,8.103,,2.1667,,,16,,5.0097,2.0073,,10.8497,8.1677,,,13.5179,,6.541,68.7338,
1/9/1998,0.569,,5.0844,8.6494,15.1978,,8.556,,5.409,9.125,,1.922,3.1255,,,23.31,,7.1485,,6.9876,,,,3.4444,2.1261,,,9.7299,,,10.7141,33.9069,11.6759,5.3943,,31.537,5.133,,,9.9232,6.9814,,4.7722,10.3057,87.4889,13.75,9.2838,3.1056,,2.7563,8.0286,,2.0798,,,15.69,,4.7393,1.9074,,10.5722,7.6737,,,12.9485,,6.2695,66.1344,
1/12/1998,0.5709,,5.0228,8.6494,15.5215,,8.5108,,5.4206,8.875,,1.875,3.1001,,,22.75,,7.3382,,7.2158,,,,3.5326,2.1261,,,9.6184,,,10.7469,33.9272,12.2851,5.3835,,32.2361,5.0348,,,9.7804,7.1348,,4.6465,10.5085,85.9125,14.315,9.1696,3.0779,,2.6549,7.8596,,2.1076,,,16.565,,4.6802,1.8628,,10.4621,7.834,,,12.4286,,6.1663,66.0764,
1/13/1998,0.61,,4.9611,9.1683,15.5707,,8.6608,,5.7837,10.44,,1.875,3.0746,,,23.75,,7.3791,,7.4899,,,,3.5741,2.238,,,9.6336,,,11.039,34.6049,12.4978,6.162,,32.7085,5.1566,,,10.9398,7.7302,,4.6009,10.722,90.6416,16,9.4383,3.2309,,2.8019,7.9965,,2.1806,,,17,,5.0501,2.0742,,10.5986,8.7096,,,13.5675,,6.7438,68.009,
1/14/1998,0.6178,,4.7923,8.6494,15.537,,8.8989,,5.6872,9.22,,1.9375,3.1399,,,23.13,,7.5108,,7.6587,,,,3.5556,2.1686,,,9.6336,,,10.8869,34.7744,12.2542,5.9117,,32.0094,5.2312,,,10.4229,7.635,,5.0346,10.6408,89.7589,15.565,10.0374,3.12,,2.8754,8.4038,,2.1806,,,17.315,,5.7493,2.0912,,10.2991,8.5253,,,13.1548,,6.6768,68.4922,
1/15/1998,0.6003,,4.8379,9.1268,15.3272,,9.0179,,5.7586,9.03,,2.047,3.2155,,,24.06,,7.5688,,7.7368,,,,3.7407,2.238,,,9.4434,,,11.0597,35.0522,12.2331,5.6722,,32.7085,5.4139,,,10.9769,7.3282,,5.0565,10.7366,88.0879,15.78,10.1918,3.0646,,2.8298,7.8275,,2.0601,,,16.94,,5.5162,2.0689,,10.3255,8.4331,,,13.5675,,6.5863,68.067,
1/16/1998,0.5884,,4.8379,9.2133,15.4075,,9.0917,,5.747,8.905,,2.0938,3.1613,,,23.44,,7.6268,,7.6587,,,,3.7778,2.2133,,,9.522,,,11.0165,35.5809,12.1519,5.663,,32.8314,5.6241,,,10.5486,7.2883,,3.9869,10.9751,88.482,14.315,10.8867,3.1056,,2.8578,7.8816,,2.0601,,,17.25,,5.3981,2.0742,,10.2991,8.3299,,,13.1053,,6.4505,68.8497,
1/20/1998,0.5963,,4.8847,9.5351,15.8607,,9.0607,,5.9402,9.28,,2.047,3.2011,,,24.88,,7.8402,,8.1015,,,,3.8615,2.21,,,9.413,,,11.0701,36.7228,12.3858,6.0852,,35.6657,5.7223,,,11.548,7.7302,,4.2256,11.1829,90.547,15.03,11.2728,3.2032,,2.9769,8.441,,2.1273,,,17.815,,5.5939,2.1188,,10.2418,8.5253,,,14.1864,,6.9248,70.7823,
1/21/1998,0.5916,,4.8145,9.2548,15.8115,,9.0179,,6.23,9.28,,2.0938,3.3091,,,24.75,,7.8244,,7.815,,,,3.8519,2.182,,,9.2533,,,10.8973,33.9272,12.4572,6.1421,,35.3161,6.0405,,,10.7627,7.7118,,4.1691,11.1171,91.1303,16.065,11.6589,3.2587,,2.9592,8.4512,,2.4242,,,17.565,,5.7493,2.1188,,10.3255,8.8478,,,15.7874,,6.6533,70.0576,
