Date,ALB,AMCR,APD,AVY,BLL,CE,CF,CTVA,DD,DOW,ECL,EMN,FCX,FMC,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,VMC,WRK,XLB
1/2/1998,8.3786,,25.4636,25.5407,1.7794,,,,,,10.7387,15.2905,4.9175,11.2177,31.0573,23.2444,,,27.4883,27.5446,23.3447,6.9162,,16.5001,24.0122,19.1607,23.8937,,
1/5/1998,8.3786,,25.4849,25.3565,1.7704,,,,,,10.8353,15.3211,4.8589,11.1862,30.797,23.7266,,,27.5849,26.3606,22.2241,6.8373,,16.6264,24.2805,19.0301,24.1062,,
1/6/1998,8.2707,,24.9303,25.322,1.7386,,,,,,10.7387,15.2905,4.7818,11.1862,28.4122,23.8231,,,27.674,26.1057,22.4187,6.5906,,16.5546,24.0355,19.4562,23.8228,,
1/7/1998,8.1175,,24.6469,25.2529,1.72,,,,,,10.7155,15.0998,4.8404,11.0006,27.9946,23.6623,,,27.5329,25.8015,22.0841,6.5737,,16.5374,23.6233,19.2431,23.4049,,
1/8/1998,8.0304,,24.3209,24.6371,1.6978,,,,,,10.6304,15.0363,4.6862,10.8962,27.5406,23.0193,,,27.7186,25.6946,20.769,6.5737,,16.3222,23.0167,18.5559,23.0791,,
1/9/1998,7.7936,,23.3701,23.9177,1.5718,,,,,,10.5106,14.8277,4.4363,10.3791,26.784,21.9584,,,26.9757,24.412,19.6951,6.2734,,15.5675,22.0912,18.2122,22.4298,,
1/12/1998,7.9015,,23.6169,24.0616,1.6444,,,,,,10.4739,14.9091,4.319,10.6277,26.9353,21.5726,,,26.9757,24.9217,18.5824,6.4849,,15.5675,21.7762,18.3428,22.4015,,
1/13/1998,7.9224,,23.4067,24.3897,1.6126,,,,,,10.4623,14.7489,4.4918,10.5647,26.6327,21.9262,,,27.3992,25.078,19.6484,6.3791,,15.2978,21.7023,18.3841,22.7108,,
1/14/1998,7.7065,,23.559,24.6026,1.5592,,,,,,10.4623,14.9244,4.4517,10.6062,26.784,22.087,,,27.2134,25.2835,19.4072,6.3791,,15.622,22.1651,18.6452,22.9611,,
1/15/1998,7.6195,,23.6748,24.2458,1.5592,,,,,,10.3772,14.8125,4.3929,10.4206,27.2743,21.6047,,,26.9311,25.3904,20.2321,6.3523,,15.8372,22.4334,18.6865,23.1098,,
1/16/1998,7.6404,,24.0375,24.8903,1.597,,,,,,10.7502,15.1456,4.3929,10.6062,27.5406,22.4406,,,27.1168,25.5384,21.0569,6.5469,,16.107,23.0634,18.7689,23.3294,,
