Date,AIV,AMT,ARE,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY,XLRE
1/2/1998,8.6256,,13.9284,15.3898,12.306,,,,6.9534,,8.0526,14.2448,,9.6626,4.6744,8.8575,3.6307,3.8924,7.8188,7.6599,3.4997,7.6868,13.1696,9.3373,,12.1795,11.1325,4.0172,13.8482,3.167,,9.7384,
1/5/1998,8.5527,,13.9811,15.4409,12.4691,,,,6.9708,,8.0716,14.2448,,9.6626,4.6512,8.7135,3.6055,3.8847,7.9374,7.5078,3.5502,7.6095,13.2516,9.2969,,12.1513,11.2792,4.143,13.7156,3.1853,,9.877,
1/6/1998,8.5951,,14.2316,15.2954,12.4913,,,,6.8465,,8.0621,14.2946,,9.6626,4.6598,8.5973,3.543,3.8847,7.9536,7.4724,3.5844,7.628,13.3109,9.2531,,12.0903,11.2382,4.1087,13.6975,3.1435,,9.8509,
1/7/1998,8.5951,,14.2141,15.2954,12.4431,,,,6.8089,,8.0621,14.4769,,9.5917,4.6744,8.5415,3.6186,3.8847,7.9698,7.3719,3.5926,7.6095,13.5116,9.2531,,12.0292,11.1734,4.2144,13.7728,3.1357,,9.5256,
1/8/1998,8.581,,14.1028,15.1459,12.4913,,,,6.9187,,8.1019,14.452,,9.4984,4.6818,8.3928,3.5803,3.8847,7.9698,7.4561,3.5762,7.5879,13.5389,9.169,,11.9729,11.1529,4.1972,13.7337,3.1043,,9.2244,
1/9/1998,8.5669,,13.9916,15.2442,12.3987,,,,6.8263,,8.1114,14.3194,,9.3565,4.6598,8.2766,3.5611,3.8781,7.9212,7.4561,3.568,7.5323,13.7669,9.0008,,11.9729,10.9619,4.1972,13.7337,2.9815,,9.0598,
1/12/1998,8.6115,,13.6845,15.1459,12.2355,,,,6.7569,,8.0319,14.191,,9.3565,4.6439,8.193,3.5551,3.8374,7.9024,7.3529,3.5502,7.5508,13.7396,8.9369,,11.7381,10.8971,4.1772,14.0924,2.9162,,9.3128,
1/13/1998,8.6115,,14.2408,15.2954,12.0501,,,,6.8638,,8.0223,14.2158,,9.5693,4.6818,8.2487,3.6055,3.7955,7.9212,7.5078,3.5762,7.5879,14.4236,9.0445,,11.7945,10.8322,4.1772,13.8844,2.9397,,9.3871,
1/14/1998,8.7291,,14.2408,15.2442,12.191,,,,6.9361,,8.0621,14.3194,,9.3565,4.7282,8.9179,3.5551,3.7746,7.9886,7.7442,3.6526,7.6466,14.565,9.0849,,12.0011,11.0472,4.1801,14.1496,2.9893,,9.3871,
1/15/1998,8.7878,,14.2408,14.9964,12.3282,,,,6.9361,,8.1909,14.3484,,9.4274,4.7893,8.9179,3.5047,3.7405,8.021,7.7116,3.6185,7.5693,14.8477,9.0445,,11.8555,11.2382,4.1423,14.1677,3.0782,,9.2244,
1/16/1998,8.8019,,14.4366,15.0987,12.7917,,,,6.8638,,8.2911,14.3981,,9.4498,4.7966,8.7739,3.5238,3.6998,8.0372,7.7442,3.6185,7.5693,15.0483,9.0849,,11.9729,11.0233,4.1249,14.1858,3.316,,9.638,
1/20/1998,8.8019,,14.3787,15.1931,12.4431,,,,7.1153,,8.1321,14.3484,,9.4498,4.7514,9.0062,3.5551,3.713,8.021,7.8474,3.6608,7.6095,15.249,9.1287,,12.2077,11.1086,4.1249,14.9967,3.282,,9.9392,
1/21/1998,8.7878,,14.3253,15.0475,12.6767,,,,7.1153,,8.0223,14.2697,,9.405,4.7966,8.8901,3.5359,3.7339,8.0506,7.7442,3.6444,7.6466,14.907,9.1051,,12.264,11.1529,4.1423,14.6591,3.282,,9.9894,
1/22/1998,8.8748,,14.2141,14.9492,12.8139,,,,6.9187,,7.973,14.2946,,9.405,4.7209,8.7135,3.5611,3.768,8.0342,7.7605,3.6185,7.628,14.9343,9.0647,,12.4424,11.2178,4.1423,14.4511,3.2088,,9.9011,
1/23/1998,8.7573,,14.2408,14.9492,12.9548,,,,6.9187,,7.9619,14.3981,,9.3826,4.6976,8.8018,3.5299,3.7823,8.0012,7.7795,3.6103,7.5508,14.9936,9.0647,,12.4424,11.2382,4.1249,14.3576,3.1932,,9.7625,
1/26/1998,8.8748,,14.2675,14.9964,13.0253,,,,6.9361,,7.9826,14.3981,,9.405,4.6903,8.5973,3.543,3.768,7.9133,7.7279,3.6363,7.455,14.9343,9.0849,,12.4988,11.2178,4.1045,14.0924,3.1514,,9.7886,
1/27/1998,8.8019,,14.3253,14.9492,13.1847,,,,7.0257,,7.9921,14.3733,,9.3117,4.6818,8.4253,3.5551,3.7889,7.9133,7.6599,3.6526,7.4921,14.907,9.1287,,12.5598,11.1325,4.1045,14.1496,3.12,,9.7264,
1/28/1998,8.8161,,14.2986,14.9964,13.2106,,,,7.0083,,8.1512,14.3194,,9.3341,4.7209,8.3092,3.543,3.7955,7.9325,7.6925,3.6444,7.4149,14.907,9.1287,,12.5598,11.2178,4.0696,14.0743,3.1357,,10.0484,
1/29/1998,8.8019,,14.4366,14.9964,13.2551,,,,7.0979,,8.121,14.2946,,9.405,4.7734,8.2209,3.5803,3.7889,7.9325,7.6925,3.6745,7.4149,14.8203,9.1051,,12.5598,11.2382,4.0522,13.809,3.1932,,10.2237,
1/30/1998,8.7291,,14.8549,14.902,13.1847,,,,6.8638,,8.1321,14.2697,,9.2407,4.7429,8.1326,3.6055,3.7955,7.949,7.7116,3.658,7.5693,14.9936,9.1488,,13.0904,11.3235,4.0348,13.7156,3.201,,10.0343,
2/2/1998,8.7714,,14.797,15.0475,13.3033,,,,6.8812,,8.1321,14.1123,,9.4274,4.7209,8.4253,3.6055,3.8164,7.9655,7.7279,3.6662,7.6466,15.0757,9.1287,,12.8838,11.344,4.0522,13.7909,3.4963,,10.3244,
2/3/1998,8.8302,,14.5478,15.0475,13.3033,,,,6.8465,,8.0812,14.0625,,9.3117,4.6598,8.5694,3.5682,3.8164,7.982,7.6925,3.658,7.5693,15.021,9.169,,12.6208,11.3883,4.0696,13.7909,3.4127,,10.5883,
2/4/1998,9.0071,,14.797,15.0475,13.2329,,,,6.8638,,8.0223,13.9051,,9.2893,4.6512,8.8296,3.5682,3.7955,7.949,7.7279,3.6484,7.5323,15.0757,9.2531,,12.4706,11.431,4.0522,13.7548,3.4048,,10.2358,
2/5/1998,8.9617,,14.7125,14.9492,13.2774,,,,6.8638,,8.0223,14.0087,,9.3117,4.6158,8.7135,3.5299,3.8021,7.949,7.7333,3.6319,7.5693,15.021,9.2128,,12.4142,11.4102,4.0696,13.5193,3.4963,,10.3123,
2/6/1998,9.0214,,14.8549,14.9964,13.2551,,,,6.9361,,8.0319,14.2158,,9.3341,4.6618,8.8296,3.4603,3.8231,7.949,7.7858,3.6484,7.4921,15.135,9.2969,,12.3532,11.431,4.0696,13.1613,3.593,,10.2619,
2/9/1998,8.9784,,15.1041,14.902,13.2329,,,,6.9187,,8.0526,14.0377,,9.1959,4.6928,8.5694,3.4673,3.8021,7.949,7.7692,3.6484,7.5106,15.1897,9.2969,,12.2969,11.4102,4.0871,12.8943,3.5773,,10.3244,
2/10/1998,8.9784,,14.9929,14.9964,13.1847,,,,6.9014,,8.0621,13.9838,,9.3117,4.6928,8.6252,3.5551,3.8374,7.8639,7.8023,3.6319,7.6095,15.3037,9.233,,12.2077,11.476,4.1045,13.3888,3.6086,,10.3627,
2/11/1998,8.7685,,14.6324,14.8508,13.1402,,,,6.9679,,8.0414,13.7269,,9.2631,4.6381,8.6252,3.5551,3.8506,7.949,7.8023,3.6319,7.6095,14.9936,9.2535,,12.4424,11.4968,4.1045,13.6346,3.6008,,10.4513,
2/12/1998,8.7231,,14.6591,14.9492,13.092,,,,6.9503,,8.0319,13.6979,,9.2407,4.6618,8.5694,3.4542,3.8098,7.8639,7.8023,3.658,7.5693,14.793,9.168,,12.264,11.5384,4.1423,13.5011,3.5773,,10.3627,
2/13/1998,8.6492,,14.5745,14.902,13.0475,,,,6.7864,,7.9921,13.7269,,9.3117,4.6468,8.4253,3.5107,3.8021,7.8117,7.6808,3.6745,7.5693,14.793,9.062,,12.4424,11.5176,4.0871,13.5193,3.5695,,10.1975,
2/17/1998,8.7231,,14.4633,14.9492,13.0253,,,,6.804,,8.0128,13.6233,,9.2631,4.6779,8.3092,3.4542,3.8098,7.6386,7.6808,3.6827,7.6651,14.6516,9.0209,,12.4706,11.431,4.1423,13.5011,3.593,,10.1854,
2/18/1998,8.7398,,14.2141,15.0475,12.9771,,,,6.7308,,7.9524,13.5943,,9.2631,4.6692,8.4253,3.4038,3.7955,7.743,7.5621,3.658,7.455,14.4783,9.0209,,12.264,11.6492,4.1598,13.5011,3.5695,,10.2499,
2/19/1998,8.6492,,14.045,14.902,12.9771,,,,6.7133,,7.7933,13.5695,,9.3117,4.5996,8.8018,3.3665,3.8297,7.7073,7.5952,3.658,7.4149,14.4783,8.9765,,12.325,11.2578,4.1598,13.4434,3.8046,,10.1109,
2/20/1998,8.6349,,13.7957,14.7525,12.9326,,,,6.6577,,7.8029,13.6233,,9.2893,4.5064,9.2665,3.3282,3.8164,7.6579,7.7001,3.6058,7.4736,14.4783,8.956,,12.4424,11.1712,4.1249,13.3312,3.7968,,10.2116,
2/23/1998,8.6635,,13.7957,14.902,12.9326,,,,6.6196,,7.8728,13.5695,,9.405,4.5449,9.1224,3.3846,3.8649,7.6743,7.7692,3.6484,7.4334,14.5057,8.9765,,12.7335,10.9772,4.1423,13.1613,3.7889,,10.0605,
2/24/1998,8.6205,,14.1028,14.902,12.9771,,,,6.6401,,7.7933,13.4162,,9.3341,4.5225,9.0062,3.3786,3.8374,7.7952,7.8023,3.6484,7.3778,14.5376,8.997,,12.6772,10.8698,4.0871,13.1613,3.7315,,9.9598,
2/25/1998,8.6205,,14.4633,14.902,12.8844,,,,6.6752,,7.8029,13.5198,,9.3565,4.5374,9.2944,3.4169,3.8649,7.8639,7.8023,3.6662,7.3376,14.5376,8.997,,12.6208,10.8698,4.1423,13.2371,3.7576,,9.996,
2/26/1998,8.6038,,14.8238,14.9492,12.6545,,,,6.6957,,7.7933,13.4659,,9.3117,4.5996,9.2665,3.4169,3.8847,7.8639,7.8023,3.6278,7.3006,14.4783,8.997,,12.4424,10.804,4.1249,13.14,3.7654,,10.1491,
2/27/1998,8.6945,15.1332,15.1887,14.8508,12.6063,,,,6.7133,,7.6343,13.4162,,9.2407,4.6158,9.2061,3.429,3.8649,7.776,7.8023,3.567,7.2604,14.0497,8.956,,12.4706,10.6966,4.0696,12.8761,3.7471,,10.0605,
3/2/1998,8.7398,15.02,14.6012,14.7053,12.4691,,,,6.6577,,7.5547,13.4659,,9.2183,4.5536,9.2061,3.429,3.8781,7.7073,7.7858,3.5849,7.2419,13.9357,8.9355,,12.264,10.759,4.0696,12.3633,3.7315,,10.3748,
3/3/1998,8.7398,14.9068,14.5745,14.7053,12.2837,,,,6.6577,,7.6247,13.5695,,9.2893,4.6158,9.2386,3.3534,3.9056,7.7595,7.7499,3.6361,7.2789,13.7669,9.0209,,12.0903,10.7174,4.0871,12.4392,3.7236,,10.3627,
3/4/1998,8.7828,13.7139,14.5478,14.603,12.6471,,,,6.6196,,7.7138,14.1123,,9.2407,4.5996,9.2665,3.3342,3.899,7.7265,7.8382,3.6112,7.2233,13.6529,9.0209,,12.1513,10.6966,4.0696,12.515,3.7236,,10.3868,
3/5/1998,8.7088,14.036,14.4633,14.4063,12.7212,,,,6.7133,,7.6549,13.9341,,9.1698,4.5536,9.3827,3.2465,3.9122,7.743,7.7858,3.5421,7.2419,13.7669,8.956,,11.7381,10.565,4.0696,12.2298,3.6818,,10.1733,
3/6/1998,8.6802,14.036,14.6591,14.5558,12.7472,,,,6.804,,7.7536,13.9341,,9.2631,4.6158,9.4988,3.2273,3.9122,7.7595,7.957,3.5587,7.2604,14.0223,8.956,,11.8555,10.6516,4.0696,12.1358,3.6583,,10.2358,
3/9/1998,8.4416,13.8271,14.2986,14.6541,12.7212,,,,6.8215,,7.744,13.7766,,9.3341,4.5996,9.3222,3.3282,3.9056,7.7265,7.9239,3.5587,7.4149,13.8217,8.9115,,12.0292,10.6966,4.0522,11.89,3.6505,,10.3868,
3/10/1998,8.3366,14.1492,14.4099,14.6541,12.7694,,,,6.8596,,7.7536,13.9341,,9.2631,4.6071,9.3548,3.3534,3.9331,7.6908,7.9404,3.5158,7.4149,13.7669,8.826,,12.0292,10.7382,4.0696,12.2875,3.7315,,10.552,
3/11/1998,8.3509,14.1492,14.2986,14.603,12.699,,,,6.842,,7.7838,13.6979,,9.1474,4.5921,9.4384,3.3786,3.8715,7.7265,7.9073,3.5587,7.4736,13.7943,8.7645,,11.7381,10.7174,4.0522,12.0235,3.6818,,11.2309,
3/12/1998,8.3056,14.2624,14.2141,14.4574,12.7212,,,,6.8596,,7.7933,13.6482,,9.1959,4.5611,9.1782,3.3786,3.8781,7.7265,7.8023,3.5932,7.4149,13.7806,8.7405,,11.8273,10.998,4.0522,12.4392,3.6661,,11.3196,
3/13/1998,8.2459,14.3669,14.2141,14.2607,12.699,,,,6.842,,7.7631,13.6979,,9.2631,4.4753,9.2665,3.429,3.844,7.743,7.8023,3.5932,7.3778,13.6107,8.6995,,11.386,11.1712,4.0522,12.7426,3.6583,,11.0033,
3/16/1998,8.2459,14.036,14.352,14.5086,12.306,,,,6.7659,,7.7536,13.6482,,9.3341,4.5138,9.2386,3.6812,3.8572,7.7073,7.9239,3.5932,7.3847,13.6382,8.7405,,11.325,10.998,4.0348,12.6849,3.6583,,11.3317,
3/17/1998,8.6945,13.8271,14.2408,14.5086,12.2355,,,,6.7484,,7.7138,13.6979,,9.405,4.4828,8.8296,3.5299,3.8715,7.6908,7.9929,3.6195,7.3659,13.8082,8.6345,,11.447,11.0846,3.997,12.6667,3.6897,,11.243,
