Identifier,Sector
ATVI,Communication Services
CBS,Communication Services
CHTR,Communication Services
CMCSA,Communication Services
CTL,Communication Services
DIS,Communication Services
DISCA,Communication Services
DISCK,Communication Services
DISH,Communication Services
EA,Communication Services
FB,Communication Services
FOX,Communication Services
FOXA,Communication Services
GOOG,Communication Services
GOOGL,Communication Services
IPG,Communication Services
NFLX,Communication Services
NWS,Communication Services
NWSA,Communication Services
OMC,Communication Services
T,Communication Services
TRIP,Communication Services
TTWO,Communication Services
TWTR,Communication Services
VIAB,Communication Services
VZ,Communication Services
AAP,Consumer Discretionary
AMZN,Consumer Discretionary
APTV,Consumer Discretionary
AZO,Consumer Discretionary
BBY,Consumer Discretionary
BKNG,Consumer Discretionary
BWA,Consumer Discretionary
CCL,Consumer Discretionary
CMG,Consumer Discretionary
CPRI,Consumer Discretionary
DG,Consumer Discretionary
DHI,Consumer Discretionary
DLTR,Consumer Discretionary
DRI,Consumer Discretionary
EBAY,Consumer Discretionary
EXPE,Consumer Discretionary
F,Consumer Discretionary
FL,Consumer Discretionary
GM,Consumer Discretionary
GPC,Consumer Discretionary
GPS,Consumer Discretionary
GRMN,Consumer Discretionary
HAS,Consumer Discretionary
HBI,Consumer Discretionary
HD,Consumer Discretionary
HLT,Consumer Discretionary
HOG,Consumer Discretionary
HRB,Consumer Discretionary
JWN,Consumer Discretionary
KMX,Consumer Discretionary
KSS,Consumer Discretionary
LB,Consumer Discretionary
LEG,Consumer Discretionary
LEN,Consumer Discretionary
LKQ,Consumer Discretionary
LOW,Consumer Discretionary
M,Consumer Discretionary
MAR,Consumer Discretionary
MCD,Consumer Discretionary
MGM,Consumer Discretionary
MHK,Consumer Discretionary
NCLH,Consumer Discretionary
NKE,Consumer Discretionary
NWL,Consumer Discretionary
ORLY,Consumer Discretionary
PHM,Consumer Discretionary
PVH,Consumer Discretionary
RCL,Consumer Discretionary
RL,Consumer Discretionary
ROST,Consumer Discretionary
SBUX,Consumer Discretionary
TGT,Consumer Discretionary
TIF,Consumer Discretionary
TJX,Consumer Discretionary
TPR,Consumer Discretionary
TSCO,Consumer Discretionary
UA,Consumer Discretionary
UAA,Consumer Discretionary
ULTA,Consumer Discretionary
VFC,Consumer Discretionary
WHR,Consumer Discretionary
WYNN,Consumer Discretionary
YUM,Consumer Discretionary
ADM,Consumer Staples
BF.B,Consumer Staples
CAG,Consumer Staples
CHD,Consumer Staples
CL,Consumer Staples
CLX,Consumer Staples
COST,Consumer Staples
COTY,Consumer Staples
CPB,Consumer Staples
EL,Consumer Staples
GIS,Consumer Staples
HRL,Consumer Staples
HSY,Consumer Staples
K,Consumer Staples
KHC,Consumer Staples
KMB,Consumer Staples
KO,Consumer Staples
KR,Consumer Staples
LW,Consumer Staples
MDLZ,Consumer Staples
MKC,Consumer Staples
MNST,Consumer Staples
MO,Consumer Staples
PEP,Consumer Staples
PG,Consumer Staples
PM,Consumer Staples
SJM,Consumer Staples
STZ,Consumer Staples
SYY,Consumer Staples
TAP,Consumer Staples
TSN,Consumer Staples
WBA,Consumer Staples
WMT,Consumer Staples
APA,Energy
APC,Energy
BHGE,Energy
COG,Energy
COP,Energy
CVX,Energy
CXO,Energy
DVN,Energy
EOG,Energy
FANG,Energy
FTI,Energy
HAL,Energy
HES,Energy
HFC,Energy
HP,Energy
KMI,Energy
MPC,Energy
MRO,Energy
NBL,Energy
NOV,Energy
OKE,Energy
OXY,Energy
PSX,Energy
PXD,Energy
SLB,Energy
VLO,Energy
WMB,Energy
XEC,Energy
XOM,Energy
AFL,Financials
AIG,Financials
AIZ,Financials
AJG,Financials
ALL,Financials
AMG,Financials
AMP,Financials
AON,Financials
AXP,Financials
BAC,Financials
BBT,Financials
BEN,Financials
BK,Financials
BLK,Financials
BRK.B,Financials
C,Financials
CB,Financials
CBOE,Financials
CFG,Financials
CINF,Financials
CMA,Financials
CME,Financials
COF,Financials
DFS,Financials
ETFC,Financials
FITB,Financials
FRC,Financials
GS,Financials
HBAN,Financials
HIG,Financials
ICE,Financials
IVZ,Financials
JEF,Financials
JPM,Financials
KEY,Financials
L,Financials
LNC,Financials
MCO,Financials
MET,Financials
MKTX,Financials
