Date,AEE,AEP,AES,ATO,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EVRG,EXC,FE,LNT,NEE,NI,NRG,PEG,PNW,PPL,SO,SRE,WEC,XEL,XLU
1/2/1998,14.0534,18.726,16.4527,11.9527,,22.4563,9.5342,8.3984,13.0984,17.9899,13.7375,15.0265,6.6098,12.6589,,5.6276,10.2661,6.0892,14.1538,3.7902,,6.1729,16.5526,4.4562,3.7982,,6.7127,10.8862,
1/5/1998,13.9516,18.6565,16.7032,11.8739,,22.4563,9.3728,8.3249,12.8374,17.6643,13.59,14.8552,6.7852,12.3951,,5.5564,10.0884,6.0101,13.929,3.8047,,6.0759,16.3306,4.3629,3.7425,,6.668,10.7922,
1/6/1998,13.7481,18.6127,16.6125,11.8241,,22.5178,9.4902,8.2613,12.8147,17.6838,13.4225,14.717,6.8509,12.2079,,5.5403,10.1524,5.9403,13.7951,3.7948,,5.9925,16.0808,4.3965,3.6796,,6.6397,10.6379,
1/7/1998,13.6234,18.5433,16.794,11.6665,,22.7429,9.3288,8.1877,12.8147,17.7652,13.2985,14.5402,6.9551,12.1271,,5.4416,10.1097,5.9531,13.5416,3.7902,,5.9672,15.9103,4.3741,3.6883,,6.5502,10.5326,
1/8/1998,13.4592,18.5908,16.4527,11.7204,,22.4563,9.5122,8.311,13.0038,18.195,13.4024,14.1257,7.0208,12.1271,,5.5266,10.0884,5.9752,13.6445,3.8239,,6.0526,16.0808,4.3965,3.7162,,6.668,10.5571,
1/9/1998,13.584,18.4739,16.1586,11.2267,,22.4871,9.4902,8.0506,12.8828,18.1722,13.255,13.9212,6.8838,11.8632,,5.4852,10.0635,5.8722,13.6301,3.8193,,6.0157,15.9341,4.3498,3.7162,,6.7127,10.4499,
1/12/1998,13.7054,18.6821,16.0896,11.7743,,22.4871,9.6479,8.1122,13.0492,18.1527,13.4024,14.5402,6.8509,12.1526,,5.4852,10.2199,5.9973,13.7353,3.8667,,6.0895,15.9817,4.3965,3.6971,,6.6397,10.5439,
1/13/1998,13.6037,18.6346,16.1368,11.8241,,22.5178,9.5342,8.0128,13.0719,18.0517,13.3823,14.612,6.9222,12.2079,,5.4255,10.1097,5.9642,13.6445,3.8522,,6.0526,15.9063,4.3498,3.7337,,6.595,10.5439,
1/14/1998,13.5413,18.5652,15.7047,11.7453,,22.4871,9.5562,8.1003,13.0719,18.0517,13.3388,14.6783,6.9222,12.1271,,5.4691,10.1097,5.9642,13.721,3.8713,,6.0526,15.9341,4.3275,3.7337,,6.595,10.4969,
1/15/1998,13.2327,18.3167,15.1382,11.7743,,22.3591,9.3948,8.0764,12.8828,17.7457,13.3622,14.6452,6.8838,11.8335,,5.3267,10.0422,5.9403,13.5703,3.8713,,6.0274,15.9579,4.292,3.6883,,6.5078,10.3332,
1/16/1998,13.2951,18.3167,14.8877,11.8241,,22.3898,9.3508,8.0883,13.1437,17.5438,13.3622,14.717,6.8509,11.9143,,5.3267,10.0884,6.0322,13.5106,3.9096,,6.0643,15.8588,4.2696,3.6883,,6.4772,10.369,
1/20/1998,12.1658,18.3167,15.16,11.7204,,22.5178,9.4205,8.0883,13.1664,17.4005,13.3823,14.9546,6.988,12.0207,,5.3543,10.131,6.0322,13.4962,3.9341,,6.1244,15.7597,4.3275,3.6796,,6.5078,10.3803,
