Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,28.48,28.95,28.31,28.39,22.45,2828000
2016-09-01,28.47,28.58,27.97,28.03,22.17,2094800
2016-09-02,28.21,28.48,28.04,28.39,22.45,1690100
2016-09-06,28.38,28.67,28.25,28.37,22.44,1944100
2016-09-07,28.03,28.23,27.89,28.13,22.54,1516100
2016-09-08,27.97,28.11,27.75,27.78,22.26,1728800
2016-09-09,27.94,28.03,27.17,27.18,21.78,2485400
2016-09-12,27.38,27.38,26.85,27.04,21.67,3607000
2016-09-13,26.95,27.39,26.81,26.99,21.63,2825400
2016-09-14,27.63,27.63,26.94,27.03,21.66,1854300
2016-09-15,26.88,27.27,26.69,27.25,21.83,2210500
2016-09-16,27.21,27.26,26.9,27.09,21.71,1922000
2016-09-19,27.39,28.18,27.39,27.9,22.36,3349800
2016-09-20,28.08,28.18,27.63,27.72,22.21,1865100
2016-09-21,27.79,28.16,27.71,28.13,22.54,1663700
2016-09-22,28.29,28.45,27.89,28.27,22.65,1790300
2016-09-23,28.24,28.58,28.19,28.19,22.59,1370200
2016-09-26,28.11,28.2,27.64,27.64,22.15,1074900
2016-09-27,27.65,27.76,27.27,27.43,21.98,1443000
2016-09-28,27.45,27.86,27.2,27.49,22.03,1166400
2016-09-29,27.5,27.66,27.13,27.14,21.75,1758100
2016-09-30,27.38,27.7,27.25,27.59,22.11,1788800
2016-10-03,27.59,27.86,27.45,27.78,22.26,1625400
2016-10-04,27.78,27.84,27.03,27.13,21.74,2345700
2016-10-05,27.27,27.48,26.95,27.2,21.79,1941100
2016-10-06,27.08,27.1,26.3,26.68,21.38,3747500
2016-10-07,26.8,26.93,26.47,26.68,21.38,2145400
2016-10-10,26.84,27.14,26.65,26.83,21.5,1599600
2016-10-11,26.82,26.86,26.01,26.05,20.87,2142200
2016-10-12,26.14,26.46,26.0,26.12,20.93,2446800
2016-10-13,26.0,26.14,25.35,25.47,20.41,2680300
2016-10-14,25.58,25.69,25.11,25.38,20.34,3136100
2016-10-17,25.32,25.57,24.65,24.7,19.79,5481500
2016-10-18,24.97,25.11,24.78,24.82,19.89,2069400
2016-10-19,24.88,25.01,24.45,25.0,20.03,2332400
2016-10-20,24.95,25.2,24.91,25.11,20.12,2265400
2016-10-21,25.09,25.09,24.72,25.01,20.04,1753200
2016-10-24,25.37,25.37,24.85,25.14,20.14,1873500
2016-10-25,25.02,25.15,24.65,24.75,19.83,1909900
2016-10-26,24.73,25.19,24.35,24.77,19.85,3323900
2016-10-27,24.84,24.91,23.89,23.99,19.22,2703400
2016-10-28,23.99,24.22,23.69,23.9,19.15,1871100
2016-10-31,23.95,24.18,23.76,24.05,19.27,2151200
2016-11-01,24.01,24.01,23.32,23.56,18.88,2499200
2016-11-02,20.59,21.54,20.1,20.93,16.77,13653300
2016-11-03,20.77,20.92,20.52,20.83,16.69,5559900
2016-11-04,20.79,21.22,20.61,20.73,16.61,3076400
2016-11-07,21.0,21.53,20.75,21.24,17.02,2881800
2016-11-08,21.14,21.25,20.86,20.91,16.75,1884000
2016-11-09,20.59,21.61,20.5,21.53,17.25,1740500
2016-11-10,21.76,22.52,21.71,21.87,17.52,2523800
2016-11-11,21.81,22.37,21.5,22.32,17.88,2197400
2016-11-14,22.44,23.29,22.4,22.99,18.42,2075400
2016-11-15,22.93,22.99,22.19,22.65,18.15,2216800
2016-11-16,22.53,23.18,22.44,23.06,18.48,1708300
2016-11-17,23.31,23.5,23.01,23.46,18.8,1143500
2016-11-18,23.37,23.54,23.03,23.46,18.8,1679000
2016-11-21,23.53,23.57,23.16,23.46,18.8,2235500
2016-11-22,23.69,24.21,23.6,24.11,19.32,3741700
2016-11-23,24.78,26.41,24.64,26.06,20.88,9376800
2016-11-25,26.14,26.49,25.78,25.82,20.69,2313300
2016-11-28,26.0,26.0,24.76,25.15,20.15,2815700
2016-11-29,24.85,25.03,24.35,24.49,19.92,2321100
2016-11-30,24.46,24.84,24.25,24.69,20.08,3192300
2016-12-01,24.66,25.02,24.45,24.64,20.04,1440700
2016-12-02,24.61,24.83,24.13,24.27,19.74,1572800
2016-12-05,24.44,24.88,24.27,24.52,19.94,2335300
2016-12-06,24.65,24.93,24.59,24.89,20.24,1508000
2016-12-07,25.17,26.11,25.16,25.94,21.1,2799300
2016-12-08,26.0,26.18,25.54,25.97,21.12,3100200
2016-12-09,25.9,26.33,25.77,26.02,21.16,2451700
2016-12-12,26.06,26.47,25.77,26.42,21.49,2146200
2016-12-13,26.51,26.85,26.33,26.39,21.46,2399300
2016-12-14,26.34,26.42,25.19,25.28,20.56,2373300
2016-12-15,25.27,25.71,25.1,25.34,20.61,1964800
2016-12-16,25.35,25.68,25.29,25.42,20.67,3383300
2016-12-19,25.41,25.91,25.41,25.9,21.06,1316700
2016-12-20,25.86,26.16,25.84,26.12,21.24,1031700
2016-12-21,26.07,26.54,25.85,26.39,21.46,1879400
2016-12-22,26.37,26.37,25.04,25.06,20.38,2296500
2016-12-23,25.56,26.01,25.32,25.41,20.66,1977600
2016-12-27,25.41,26.0,25.4,25.95,21.1,1596100
2016-12-28,25.79,25.95,25.08,25.27,20.55,1716100
2016-12-29,25.24,25.76,25.24,25.34,20.61,1714800
2016-12-30,25.42,25.75,25.22,25.26,20.54,1747800
