Date,Spy,BIL-T,Cash,NoCash,bmSPY,EW,SPY_12,IR_12m,diff_Ind_1,Avg_Ind_2,Cond 1 ,Cond2,Combined,Final Cond,NoCash Weights,Cash Weights,Portfolio Return,TBILL,Cash,NoCash,bmSPY,EW,Portfolio Return,TBILL
1/31/2001,1366.01001,#N/A,-0.08%,-0.08%,,,,,,,,,,,,,,,100,100,100,100,100,100
2/28/2001,1239.939941,#N/A,-0.08%,-0.08%,-9.54%,-4.88%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
3/30/2001,1160.329956,#N/A,-0.08%,-0.08%,-5.60%,-5.36%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
4/30/2001,1249.459961,#N/A,-0.08%,-0.08%,8.54%,7.89%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
5/31/2001,1255.819946,#N/A,-0.08%,-0.08%,-0.56%,1.75%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
6/29/2001,1224.380005,#N/A,-0.08%,-0.08%,-2.38%,-3.23%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
7/31/2001,1211.22998,#N/A,-0.08%,-0.08%,-1.02%,-0.55%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
8/31/2001,1133.579956,#N/A,-0.08%,-0.08%,-5.93%,-4.87%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
9/28/2001,1040.939941,#N/A,-0.08%,-0.08%,-8.16%,-9.27%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
10/31/2001,1059.780029,#N/A,-0.08%,-0.08%,1.30%,1.44%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
11/30/2001,1139.449951,#N/A,-0.08%,-0.08%,7.80%,7.27%,,,,,,,,,,,,#N/A,100,100,100,100,100,100
12/31/2001,1148.079956,#N/A,-0.08%,-0.08%,0.56%,1.83%,-0.15953767,#N/A,#N/A,-37.67001333,#N/A,0,#N/A,#N/A,#N/A,#N/A,0.00%,#N/A,100,100,100,100,100,100
1/31/2002,1130.199951,#N/A,-0.08%,-0.08%,-0.98%,-1.24%,-0.088504279,#N/A,#N/A,-35.89918008,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,100,100,100,100
2/28/2002,1106.72998,#N/A,1.67%,1.67%,-1.79%,0.60%,-0.046193736,#N/A,#N/A,-48.268321,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,100,100,100,100
3/29/2002,1147.390015,#N/A,3.29%,3.29%,3.33%,4.69%,-0.08169125,#N/A,#N/A,-6.529957583,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,100,100,100,100
